time,open,high,low,close,volume
1772524800,0.2687,0.2701,0.2627,0.2647,29910818.8
1772539200,0.2647,0.2674,0.2615,0.2651,52524512.7
1772553600,0.2651,0.2721,0.2627,0.2636,41798481.3
1772568000,0.2636,0.2647,0.2604,0.2625,33275883.5
1772582400,0.2626,0.2663,0.2608,0.2627,22845244.2
1772596800,0.2627,0.2654,0.2584,0.265,32404733.6
1772611200,0.265,0.2743,0.2637,0.2687,62825422.9
1772625600,0.2687,0.2813,0.2658,0.2808,75752499.5
1772640000,0.2809,0.285,0.2771,0.2821,71731073.7
1772654400,0.2822,0.2828,0.2737,0.2763,30452841.2
1772668800,0.2763,0.2769,0.2726,0.2741,23266678.2
1772683200,0.2742,0.2765,0.2709,0.2722,17491549.7
1772697600,0.2722,0.2779,0.2702,0.2742,31291803.9
1772712000,0.2742,0.278,0.2697,0.2712,34963412.8
1772726400,0.2712,0.2719,0.2651,0.2694,27140495
1772740800,0.2694,0.272,0.2676,0.2692,12941563.2
1772755200,0.2691,0.2716,0.2671,0.2707,11197643.6
1772769600,0.2707,0.272,0.2672,0.2715,8709670.1
1772784000,0.2716,0.2716,0.2657,0.2663,12458479.4
1772798400,0.2662,0.2691,0.2558,0.2568,64933302.6
1772812800,0.2568,0.2606,0.2555,0.2586,25675701
1772827200,0.2585,0.2602,0.2573,0.259,8653011.9
1772841600,0.259,0.261,0.2586,0.2587,8346002.1
1772856000,0.2586,0.2592,0.2568,0.2584,8929922
1772870400,0.2583,0.2595,0.2575,0.2589,7480024.2
1772884800,0.2588,0.259,0.2517,0.2549,48248851.4
1772899200,0.2549,0.2573,0.2533,0.2543,17765623.8
1772913600,0.2543,0.2557,0.2529,0.2544,7613504.1
1772928000,0.2545,0.2548,0.2508,0.2521,9646053.1
1772942400,0.2521,0.2535,0.2496,0.2524,16161722.9
1772956800,0.2524,0.2574,0.2509,0.2548,18065888
1772971200,0.2548,0.2553,0.2481,0.2496,22658968
1772985600,0.2497,0.2543,0.2485,0.2533,14214119.9
1773000000,0.2532,0.2546,0.2458,0.2493,32166987.5
1773014400,0.2493,0.2567,0.2489,0.2536,19035848.3
1773028800,0.2537,0.2594,0.2524,0.255,23232019.6
1773043200,0.2551,0.2587,0.2535,0.2549,15054100.9
1773057600,0.255,0.2601,0.2543,0.2559,40148089.1
1773072000,0.2559,0.2629,0.2551,0.2595,27307622
1773086400,0.2595,0.2601,0.2547,0.2552,13721995.6
1773100800,0.2551,0.2636,0.255,0.2588,20230356.9
1773115200,0.2588,0.2618,0.2582,0.2604,12646282.1
1773129600,0.2605,0.2684,0.2602,0.2642,33430735.5
1773144000,0.2643,0.2738,0.261,0.2714,58420396.3
1773158400,0.2714,0.2739,0.262,0.2624,41432543.6
1773172800,0.2624,0.2645,0.2605,0.2621,23794332.9
1773187200,0.262,0.2626,0.2587,0.2597,21590131.6
1773201600,0.2597,0.2624,0.2566,0.2575,17134640.3
1773216000,0.2574,0.2601,0.2571,0.2588,14014169.7
1773230400,0.2587,0.2679,0.2579,0.2625,65685417.1
1773244800,0.2625,0.2668,0.2618,0.2652,17811844.7
1773259200,0.2651,0.2662,0.2617,0.2626,12149099.9
1773273600,0.2626,0.2631,0.2585,0.259,11346192.8
1773288000,0.259,0.261,0.258,0.2606,8360429.3
1773302400,0.2606,0.2638,0.26,0.2621,17136090.1
1773316800,0.262,0.2642,0.2583,0.262,24734841.6
1773331200,0.262,0.2636,0.2602,0.263,12046395.1
1773345600,0.263,0.2659,0.2616,0.2636,12449010.6
1773360000,0.2635,0.273,0.2629,0.2717,40604381.6
1773374400,0.2717,0.2758,0.2702,0.2716,30188613.8
1773388800,0.2716,0.2759,0.2709,0.2743,20606108.2
1773403200,0.2744,0.2816,0.2706,0.2715,61484745.9
1773417600,0.2716,0.2731,0.2661,0.2673,26412942.8
1773432000,0.2673,0.2689,0.2636,0.2656,13317433.8
1773446400,0.2656,0.2661,0.263,0.2654,17615773.4
1773460800,0.2654,0.2666,0.2611,0.2617,18470382.7
1773475200,0.2617,0.262,0.2594,0.2611,20528951.5
1773489600,0.261,0.2619,0.2599,0.2607,13748453.6
1773504000,0.2606,0.2617,0.2585,0.2592,13238111.9
1773518400,0.2592,0.2638,0.2588,0.2634,14055779.9
1773532800,0.2634,0.2662,0.2612,0.2649,13265474
1773547200,0.2649,0.2673,0.2631,0.2647,13279819
1773561600,0.2648,0.2665,0.2645,0.2656,10681876.4
1773576000,0.2657,0.2665,0.2623,0.2638,10860294.5
1773590400,0.2637,0.2655,0.2621,0.2637,7305043.2
1773604800,0.2638,0.272,0.2626,0.2702,31475365.3
1773619200,0.2702,0.2805,0.2687,0.2774,54692447.3
1773633600,0.2774,0.2926,0.2774,0.2899,106125564.2
1773648000,0.29,0.2936,0.2842,0.2854,57222294
1773662400,0.2854,0.2894,0.2823,0.2835,41509398
1773676800,0.2836,0.2897,0.2835,0.2883,36572275.1
1773691200,0.2882,0.2919,0.2868,0.2904,39219628.3
1773705600,0.2904,0.2932,0.284,0.2857,36188854.2
1773720000,0.2858,0.2885,0.2819,0.2866,43099742.4
