time,open,high,low,close,volume
1779483300,0.98528,0.98529,0.9848,0.98504,258
1779656400,0.98737,0.98737,0.98737,0.98737,2
1779656700,0.98735,0.98736,0.98703,0.98711,22
1779657000,0.98715,0.98718,0.98715,0.98715,8
1779657300,0.98713,0.98728,0.98713,0.98719,24
1779657600,0.98712,0.98713,0.98712,0.98713,4
1779657900,0.98779,0.98779,0.98779,0.98779,1
1779658200,0.98771,0.98776,0.98771,0.98776,7
1779658500,0.98765,0.98765,0.98763,0.98763,4
1779658800,0.98764,0.98764,0.98764,0.98764,2
1779659100,0.98751,0.98751,0.98751,0.98751,2
1779659400,0.98747,0.98747,0.98742,0.98743,7
1779659700,0.98741,0.98746,0.9874,0.98745,10
1779660000,0.98806,0.98815,0.98792,0.98794,44
1779660300,0.98841,0.98849,0.98839,0.98845,23
1779660600,0.98839,0.98839,0.98827,0.98827,52
1779660900,0.98818,0.98829,0.98818,0.98821,59
1779661200,0.98801,0.98805,0.988,0.98803,37
1779661500,0.98786,0.98786,0.98783,0.98784,15
1779661800,0.9876,0.9876,0.98756,0.98756,18
1779662100,0.98757,0.98757,0.98755,0.98755,5
1779662400,0.98757,0.98757,0.9875,0.98751,24
1779662700,0.98756,0.98761,0.98756,0.98759,27
1779663000,0.98801,0.98803,0.98799,0.988,21
1779663300,0.9879,0.9879,0.98788,0.98788,5
1779663600,0.98794,0.98799,0.98794,0.98799,9
1779663900,0.98818,0.98818,0.98811,0.98811,36
1779664200,0.98811,0.98817,0.98811,0.98815,27
1779664500,0.98795,0.98797,0.98795,0.98797,4
1779664800,0.98795,0.98796,0.98793,0.98793,9
1779665100,0.98796,0.98796,0.98796,0.98796,1
1779665400,0.98793,0.98793,0.98784,0.98787,33
1779665700,0.98806,0.98812,0.98806,0.98812,29
1779666000,0.98829,0.9883,0.98825,0.9883,17
1779666300,0.98833,0.98835,0.98833,0.98834,14
1779666600,0.98817,0.98817,0.98808,0.98808,10
1779666900,0.98805,0.98812,0.98805,0.98806,25
1779667200,0.98778,0.98789,0.98778,0.98781,57
1779667500,0.9876,0.98769,0.9876,0.98768,33
1779667800,0.98806,0.98814,0.98804,0.98814,23
1779668100,0.98806,0.98811,0.98802,0.98811,20
1779668400,0.98821,0.98823,0.9882,0.9882,37
1779668700,0.98859,0.9886,0.98853,0.98856,17
1779669000,0.98867,0.98874,0.98867,0.9887,16
1779669300,0.98844,0.98848,0.98843,0.98846,9
1779669600,0.98851,0.98852,0.98841,0.98841,42
1779669900,0.98828,0.98837,0.98826,0.98834,69
1779670200,0.98879,0.98884,0.98869,0.98872,41
1779670500,0.98874,0.98879,0.98874,0.98878,27
1779670800,0.98812,0.9882,0.98812,0.9882,10
1779671100,0.98839,0.98847,0.98838,0.98844,60
1779671400,0.98853,0.98862,0.98853,0.98859,42
1779671700,0.98892,0.98895,0.98891,0.98892,24
1779672000,0.98893,0.98893,0.98893,0.98893,5
1779672300,0.98882,0.98896,0.98882,0.9889,42
1779672600,0.98938,0.98938,0.98931,0.98931,23
1779672900,0.98895,0.98897,0.98894,0.98897,11
1779673200,0.98925,0.98925,0.98923,0.98925,8
1779673500,0.98907,0.98908,0.98903,0.98904,33
1779673800,0.98899,0.98901,0.98894,0.98896,32
1779674100,0.98889,0.98892,0.98887,0.9889,19
1779674400,0.98882,0.98889,0.98882,0.98884,14
1779674700,0.98895,0.98895,0.9889,0.9889,38
1779675000,0.98921,0.98924,0.98919,0.98924,35
1779675300,0.98904,0.98905,0.98898,0.98901,24
1779675600,0.98905,0.98905,0.98902,0.98902,7
1779675900,0.98941,0.98945,0.98939,0.98941,38
1779676200,0.98928,0.98928,0.98924,0.98927,20
1779676500,0.98922,0.98928,0.9892,0.98926,24
1779676800,0.98906,0.98906,0.989,0.98901,18
1779677100,0.98911,0.98911,0.9891,0.9891,6
1779677400,0.98901,0.98902,0.98901,0.98902,6
1779677700,0.98876,0.98876,0.98862,0.98865,37
1779678000,0.98865,0.98885,0.98865,0.98885,30
1779678300,0.98873,0.98873,0.98862,0.98864,47
1779678600,0.98865,0.98865,0.98862,0.98865,16
1779678900,0.98864,0.98866,0.98864,0.98864,9
1779679200,0.98868,0.98878,0.98868,0.98876,13
1779679500,0.98861,0.98864,0.98859,0.98864,22
1779679800,0.98883,0.98889,0.98883,0.98887,21
1779680100,0.9889,0.98902,0.9889,0.98897,30
1779680400,0.98882,0.98882,0.98876,0.98876,21
1779680700,0.98888,0.9889,0.98884,0.98888,54
1779681000,0.98881,0.98883,0.98879,0.98881,23
1779681300,0.98894,0.98897,0.98891,0.98891,35
1779681600,0.98881,0.9889,0.98881,0.98886,31
1779681900,0.98896,0.98896,0.98893,0.98893,6
1779682200,0.98893,0.98893,0.98893,0.98893,3
1779682500,0.98894,0.98899,0.98892,0.98893,32
1779682800,0.98896,0.98896,0.98893,0.98894,7
1779683100,0.98907,0.98907,0.98906,0.98906,5
1779683400,0.98931,0.98932,0.9893,0.98931,10
1779683700,0.98932,0.98947,0.98932,0.98944,36
1779684000,0.98957,0.98957,0.98954,0.98957,19
1779684300,0.9897,0.98971,0.9897,0.9897,9
1779684600,0.98984,0.98987,0.98984,0.98987,13
1779684900,0.98982,0.98983,0.9898,0.98983,13
1779685200,0.98968,0.98976,0.98966,0.98972,42
1779685500,0.98979,0.9898,0.98977,0.98978,31
1779685800,0.98974,0.98981,0.98973,0.98976,31
1779686100,0.98991,0.98991,0.9899,0.98991,12
1779686400,0.98984,0.98984,0.98983,0.98983,3
1779686700,0.98973,0.98979,0.98973,0.98978,27
1779687000,0.98966,0.98966,0.98958,0.98958,31
1779687300,0.98983,0.98985,0.98983,0.98983,24
1779687600,0.98994,0.98995,0.9899,0.9899,16
1779687900,0.98982,0.98982,0.98978,0.98982,6
1779688200,0.98963,0.98963,0.98957,0.98959,35
1779688500,0.98965,0.98965,0.9896,0.98961,20
1779688800,0.98948,0.98948,0.98934,0.98943,39
1779689100,0.98979,0.98979,0.98979,0.98979,1
1779689400,0.98998,0.99003,0.98998,0.99003,39
1779689700,0.99005,0.99006,0.99,0.99,23
1779690000,0.98979,0.98981,0.98978,0.98979,12
1779690300,0.98964,0.98965,0.98963,0.98965,11
1779690600,0.98961,0.98961,0.98953,0.98959,48
1779690900,0.98975,0.98978,0.98973,0.98973,17
1779691200,0.9897,0.9897,0.98965,0.98965,5
1779691500,0.98947,0.98951,0.98947,0.9895,34
1779691800,0.98955,0.98959,0.98953,0.98953,24
1779692100,0.98952,0.98953,0.9895,0.98952,35
1779692400,0.98961,0.98963,0.98957,0.98958,39
1779692700,0.98961,0.98964,0.98956,0.98956,17
1779693000,0.98919,0.98919,0.98911,0.98917,40
1779693300,0.9892,0.98923,0.98914,0.9892,29
1779693600,0.98848,0.9885,0.98848,0.9885,4
1779693900,0.98879,0.98883,0.98874,0.98876,62
1779694200,0.98894,0.98895,0.98888,0.98894,31
1779694500,0.98912,0.98919,0.98912,0.98918,21
1779694800,0.98912,0.98912,0.98912,0.98912,3
1779695100,0.98914,0.98919,0.98914,0.98916,39
1779695400,0.98919,0.9892,0.98912,0.98912,31
1779695700,0.98908,0.98915,0.98908,0.98913,27
1779696000,0.98925,0.98926,0.98921,0.98921,32
1779696300,0.98925,0.98928,0.98925,0.98928,5
1779696600,0.98948,0.98952,0.98947,0.9895,34
1779696900,0.98935,0.98936,0.98926,0.9893,180
1779697200,0.9894,0.98945,0.9894,0.98943,33
1779697500,0.98939,0.98941,0.98938,0.98941,27
1779697800,0.98951,0.98955,0.98947,0.98949,47
1779698100,0.98997,0.98998,0.98976,0.98992,337
1779698400,0.98993,0.99001,0.98977,0.9899,338
1779698700,0.9899,0.99004,0.98981,0.98999,329
1779699000,0.98999,0.99,0.98966,0.9897,376
1779699300,0.98969,0.98997,0.98969,0.98987,403
1779699600,0.98989,0.99004,0.98985,0.99003,269
1779699900,0.99001,0.99013,0.98988,0.98994,279
1779700200,0.98994,0.99014,0.98992,0.99,287
1779700500,0.99,0.9901,0.98992,0.99,306
1779700800,0.99001,0.99006,0.98995,0.99,255
1779701100,0.99,0.99001,0.98988,0.98989,246
1779701400,0.98991,0.99015,0.98989,0.99013,263
1779701700,0.99012,0.99015,0.99001,0.99012,263
1779702000,0.99013,0.9902,0.9901,0.99018,119
1779702300,0.9902,0.9902,0.99017,0.99017,12
1779702600,0.99,0.99,0.99,0.99,1
1779702900,0.99,0.99006,0.99,0.99006,33
1779703200,0.99002,0.99017,0.99001,0.99016,31
1779703500,0.99007,0.9901,0.99006,0.9901,11
1779703800,0.99025,0.9903,0.99018,0.9902,254
1779704100,0.99019,0.99038,0.99018,0.99032,212
1779704400,0.99034,0.99034,0.99018,0.99021,262
1779704700,0.99021,0.99023,0.99005,0.99007,186
1779705000,0.99008,0.99008,0.98996,0.99002,244
1779705300,0.99002,0.99002,0.98984,0.98986,200
1779705600,0.98986,0.98988,0.98985,0.98986,13
1779705900,0.99008,0.99012,0.99006,0.99006,8
1779706200,0.99,0.99003,0.98999,0.99001,25
1779706500,0.99001,0.99001,0.99001,0.99001,11
1779706800,0.98998,0.98998,0.98996,0.98998,12
1779707100,0.98998,0.98999,0.98996,0.98998,23
