time,open,high,low,close,volume
1779483300,0.71288,0.71293,0.71269,0.71274,148
1779656400,0.71543,0.71543,0.71543,0.71543,2
1779656700,0.71533,0.71548,0.71484,0.71527,44
1779657000,0.71546,0.71548,0.7154,0.7154,7
1779657300,0.71545,0.71553,0.71544,0.71544,11
1779657600,0.71549,0.71549,0.71549,0.71549,2
1779657900,0.71558,0.71559,0.71558,0.71559,5
1779658200,0.71547,0.71551,0.71547,0.71551,7
1779658500,0.71541,0.71542,0.71536,0.71536,8
1779658800,0.71541,0.71541,0.71538,0.71541,4
1779659100,0.71539,0.71539,0.71539,0.71539,2
1779659400,0.7153,0.71532,0.7153,0.7153,8
1779659700,0.71528,0.71543,0.71528,0.71541,32
1779660000,0.71547,0.71613,0.71538,0.71591,265
1779660300,0.71579,0.71594,0.71579,0.7159,68
1779660600,0.71585,0.71592,0.71578,0.71592,118
1779660900,0.7158,0.71598,0.71578,0.71578,90
1779661200,0.71573,0.71577,0.71571,0.71572,82
1779661500,0.71567,0.71572,0.71565,0.71572,63
1779661800,0.71557,0.71557,0.7155,0.71554,84
1779662100,0.71561,0.71567,0.71561,0.71563,38
1779662400,0.71567,0.71568,0.71561,0.71561,41
1779662700,0.71563,0.7157,0.71563,0.7157,40
1779663000,0.71594,0.71596,0.71592,0.71592,39
1779663300,0.71583,0.71584,0.71582,0.71583,15
1779663600,0.71584,0.71613,0.71584,0.71612,91
1779663900,0.71608,0.7161,0.71604,0.71604,52
1779664200,0.71609,0.71613,0.71609,0.71612,17
1779664500,0.71596,0.71597,0.71596,0.71597,12
1779664800,0.71594,0.71595,0.71594,0.71594,7
1779665100,0.71599,0.71599,0.71588,0.71588,13
1779665400,0.71595,0.71602,0.71587,0.71602,64
1779665700,0.71601,0.71606,0.71601,0.71605,73
1779666000,0.71614,0.71616,0.71612,0.71616,40
1779666300,0.71612,0.71612,0.71601,0.71606,63
1779666600,0.71602,0.71602,0.71587,0.71592,22
1779666900,0.71588,0.71593,0.71588,0.71591,15
1779667200,0.71564,0.71574,0.71563,0.71563,146
1779667500,0.71543,0.71549,0.71542,0.71548,27
1779667800,0.71577,0.71586,0.71576,0.71584,53
1779668100,0.71576,0.71577,0.7157,0.71572,67
1779668400,0.71578,0.71584,0.71576,0.71584,42
1779668700,0.71614,0.71614,0.71595,0.71596,88
1779669000,0.71615,0.71627,0.71615,0.7162,61
