time,open,high,low,close,volume
1779483300,115.167,115.186,115.162,115.172,254
1779656400,114.902,114.902,114.902,114.902,2
1779656700,114.906,114.93,114.905,114.928,28
1779657000,114.925,114.926,114.924,114.926,6
1779657300,114.94,114.97,114.94,114.955,46
1779657600,114.963,114.963,114.911,114.913,12
1779657900,114.961,114.974,114.959,114.974,14
1779658200,114.971,114.98,114.969,114.976,12
1779658500,115.006,115.006,114.999,114.999,6
1779658800,115.012,115.012,115.01,115.01,4
1779659100,114.936,114.947,114.922,114.922,31
1779659400,114.932,114.932,114.913,114.923,5
1779659700,114.906,114.926,114.896,114.913,16
1779660000,115.02,115.114,115.011,115.1,288
1779660300,115.06,115.06,115.027,115.035,72
1779660600,115.039,115.079,115.039,115.078,114
1779660900,115.087,115.102,115.083,115.093,144
1779661200,115.117,115.122,115.111,115.116,56
1779661500,115.117,115.117,115.099,115.099,37
1779661800,115.102,115.107,115.088,115.106,117
1779662100,115.103,115.104,115.093,115.093,40
1779662400,115.111,115.116,115.109,115.113,82
1779662700,115.112,115.123,115.107,115.109,113
1779663000,115.112,115.112,115.11,115.111,17
1779663300,115.114,115.115,115.111,115.111,35
1779663600,115.118,115.129,115.113,115.119,142
1779663900,115.117,115.125,115.112,115.124,86
1779664200,115.122,115.122,115.113,115.116,31
1779664500,115.129,115.132,115.127,115.127,50
1779664800,115.133,115.135,115.125,115.127,26
1779665100,115.135,115.135,115.134,115.135,3
1779665400,115.14,115.14,115.134,115.139,58
1779665700,115.134,115.139,115.129,115.136,65
1779666000,115.13,115.138,115.126,115.135,61
1779666300,115.142,115.148,115.142,115.147,86
1779666600,115.147,115.148,115.143,115.145,29
1779666900,115.155,115.16,115.153,115.157,54
1779667200,115.164,115.167,115.132,115.132,176
1779667500,115.144,115.146,115.143,115.145,42
1779667800,115.123,115.124,115.115,115.119,62
1779668100,115.118,115.118,115.091,115.097,174
1779668400,115.087,115.104,115.082,115.101,118
1779668700,115.102,115.105,115.093,115.1,58
1779669000,115.098,115.105,115.095,115.104,103
1779669300,115.093,115.099,115.093,115.095,58
1779669600,115.101,115.103,115.098,115.102,75
1779669900,115.095,115.096,115.084,115.085,102
1779670200,115.092,115.102,115.087,115.093,91
1779670500,115.112,115.112,115.083,115.088,114
1779670800,115.116,115.121,115.091,115.103,251
1779671100,115.109,115.113,115.104,115.104,106
1779671400,115.101,115.11,115.099,115.106,90
1779671700,115.104,115.114,115.1,115.111,92
1779672000,115.094,115.099,115.088,115.099,48
1779672300,115.106,115.107,115.101,115.103,47
1779672600,115.087,115.087,115.074,115.081,143
1779672900,115.096,115.106,115.094,115.105,73
1779673200,115.099,115.102,115.098,115.099,46
1779673500,115.117,115.131,115.116,115.13,92
1779673800,115.125,115.128,115.123,115.125,54
1779674100,115.128,115.132,115.123,115.123,42
1779674400,115.138,115.146,115.133,115.142,110
1779674700,115.142,115.144,115.136,115.141,72
1779675000,115.133,115.136,115.133,115.134,51
1779675300,115.139,115.142,115.134,115.141,91
1779675600,115.142,115.144,115.141,115.143,19
1779675900,115.129,115.136,115.128,115.132,78
1779676200,115.13,115.132,115.125,115.131,41
1779676500,115.136,115.137,115.133,115.133,31
1779676800,115.128,115.132,115.125,115.127,47
1779677100,115.127,115.127,115.115,115.123,56
1779677400,115.12,115.121,115.115,115.117,34
1779677700,115.115,115.117,115.112,115.115,42
1779678000,115.106,115.108,115.1,115.107,120
1779678300,115.108,115.109,115.1,115.1,30
1779678600,115.105,115.109,115.104,115.108,40
1779678900,115.107,115.11,115.105,115.107,52
1779679200,115.101,115.104,115.101,115.102,39
1779679500,115.095,115.1,115.094,115.099,20
1779679800,115.086,115.086,115.077,115.085,79
1779680100,115.082,115.082,115.07,115.077,67
