time,open,high,low,close,volume
1775332800,8.88,8.91,8.6,8.62,203503.77
1775347200,8.63,8.65,8.47,8.48,119474.33
1775361600,8.48,8.5,8.41,8.46,97410.61
1775376000,8.45,8.54,8.44,8.5,109305.2
1775390400,8.5,8.66,8.4,8.54,132500.2
1775404800,8.53,8.62,8.48,8.6,44385.32
1775419200,8.6,8.83,8.59,8.73,91889.98
1775433600,8.74,8.82,8.66,8.73,98296.8
1775448000,8.73,8.74,8.67,8.69,41676.17
1775462400,8.7,8.78,8.68,8.7,79041.96
1775476800,8.7,8.72,8.54,8.6,55866.45
1775491200,8.6,8.65,8.58,8.59,35068.46
1775505600,8.59,8.6,8.37,8.42,57743.48
1775520000,8.43,8.45,8.32,8.39,35880.23
1775534400,8.39,8.39,8.13,8.19,140257.59
1775548800,8.19,8.21,8.1,8.17,91149.65
1775563200,8.17,8.32,8.13,8.31,101898.29
1775577600,8.31,8.48,8.31,8.42,86901
1775592000,8.43,8.95,8.39,8.86,186776.22
1775606400,8.85,8.88,8.67,8.69,116934.95
1775620800,8.69,8.79,8.69,8.78,41363.04
1775635200,8.78,8.78,8.64,8.67,48539.13
1775649600,8.68,8.72,8.49,8.52,114679.35
1775664000,8.52,8.6,8.47,8.5,67223.86
1775678400,8.5,8.51,8.37,8.42,55969.78
1775692800,8.41,8.42,8.32,8.4,60627.74
1775707200,8.39,8.47,8.37,8.41,18381.29
1775721600,8.41,8.42,8.35,8.36,31280.15
1775736000,8.37,8.43,8.31,8.38,89570.95
1775750400,8.39,8.45,8.36,8.41,50170.53
1775764800,8.42,8.62,8.4,8.43,71717.95
1775779200,8.44,8.49,8.37,8.44,65200.47
1775793600,8.44,8.58,8.43,8.46,36458.43
1775808000,8.47,8.54,8.45,8.46,34557.86
1775822400,8.46,8.65,8.43,8.46,85942.92
1775836800,8.46,8.56,8.43,8.56,55168.5
1775851200,8.56,8.57,8.47,8.49,29821.63
1775865600,8.49,8.5,8.43,8.45,41310.01
1775880000,8.45,8.46,8.33,8.37,69983.69
1775894400,8.37,8.39,8.34,8.36,34142.55
1775908800,8.36,8.37,8.26,8.34,94885.65
1775923200,8.33,8.57,8.31,8.54,70954.01
1775937600,8.55,8.57,8.39,8.44,55196.21
1775952000,8.43,8.46,8.16,8.24,121082.84
1775966400,8.23,8.25,8.2,8.21,30260.08
1775980800,8.21,8.22,8.16,8.19,36983.4
1775995200,8.19,8.21,8.1,8.12,84498.87
1776009600,8.12,8.21,8.11,8.14,44691.63
1776024000,8.15,8.18,8.1,8.13,65054.48
1776038400,8.13,8.29,8.11,8.23,89118.82
1776052800,8.23,8.25,8.18,8.2,23736.05
1776067200,8.2,8.22,8.14,8.16,58440.64
1776081600,8.16,8.28,8.14,8.16,64862.93
1776096000,8.16,8.37,8.12,8.35,57764.64
1776110400,8.36,8.62,8.27,8.6,92127.69
1776124800,8.6,8.63,8.48,8.51,80261.4
1776139200,8.51,8.57,8.41,8.44,62996.15
1776153600,8.44,8.53,8.43,8.45,51097.76
1776168000,8.45,8.58,8.36,8.38,205142.31
1776182400,8.38,8.45,8.26,8.3,58852.46
1776196800,8.31,8.35,8.27,8.31,33052.77
1776211200,8.32,8.39,8.29,8.31,34932.71
1776225600,8.31,8.37,8.26,8.28,30683.68
1776240000,8.28,8.42,8.27,8.4,32490.66
1776254400,8.4,8.46,8.36,8.4,45510.7
1776268800,8.4,8.54,8.39,8.51,39984.96
1776283200,8.52,8.53,8.42,8.45,42257.29
1776297600,8.45,8.56,8.39,8.54,58765.45
1776312000,8.54,8.59,8.52,8.55,70327.24
1776326400,8.55,8.56,8.44,8.49,41522.64
1776340800,8.49,8.68,8.36,8.62,172698.75
1776355200,8.62,8.85,8.49,8.83,127822.85
1776369600,8.82,8.9,8.62,8.75,83868.36
1776384000,8.75,8.78,8.59,8.62,100491.27
1776398400,8.62,8.69,8.51,8.68,53566.52
1776412800,8.69,8.75,8.57,8.66,96400.78
1776427200,8.66,8.92,8.63,8.77,143015.01
1776441600,8.77,8.94,8.76,8.83,70364.82
1776456000,8.83,8.87,8.73,8.78,32688.78
1776470400,8.78,8.83,8.65,8.67,54367.7
1776484800,8.67,8.74,8.62,8.73,44476.05
1776499200,8.73,8.74,8.51,8.56,72726.46
1776513600,8.56,8.6,8.52,8.56,34634.11
1776528000,8.56,8.58,8.43,8.46,58480.14
1776542400,8.46,8.55,8.45,8.5,17801.21
1776556800,8.51,8.51,8.35,8.39,66367.61
1776571200,8.39,8.43,8.31,8.36,43038.11
1776585600,8.35,8.42,8.31,8.41,44478.92
1776600000,8.41,8.53,8.39,8.46,47942.15
1776614400,8.47,8.48,8.3,8.38,44416.24
1776628800,8.38,8.38,8.18,8.23,85736.46
1776643200,8.23,8.38,8.22,8.36,24540.48
1776657600,8.37,8.48,8.3,8.4,39461.57
1776672000,8.41,8.46,8.36,8.41,33636.89
1776686400,8.41,8.48,8.31,8.39,50763.68
1776700800,8.39,8.48,8.36,8.43,35312.7
1776715200,8.43,8.49,8.38,8.4,15863.27
1776729600,8.4,8.44,8.34,8.39,12764.36
1776744000,8.39,8.46,8.38,8.45,24740.66
1776758400,8.44,8.54,8.44,8.49,80280.94
1776772800,8.49,8.51,8.4,8.47,64447.05
1776787200,8.48,8.5,8.28,8.3,61067.13
1776801600,8.29,8.44,8.29,8.44,27278.07
1776816000,8.44,8.59,8.41,8.53,47006.53
1776830400,8.54,8.67,8.54,8.66,46069.39
1776844800,8.65,8.75,8.64,8.72,49644.25
1776859200,8.73,8.74,8.63,8.66,68171.9
1776873600,8.66,8.68,8.53,8.56,45400.47
1776888000,8.56,8.58,8.44,8.44,26537.52
1776902400,8.44,8.47,8.34,8.39,42175.69
1776916800,8.38,8.49,8.37,8.45,27717.58
1776931200,8.45,8.5,8.37,8.48,36038.43
1776945600,8.48,8.56,8.43,8.54,50436.64
1776960000,8.54,8.54,8.35,8.44,56980.7
1776974400,8.44,8.54,8.44,8.52,30716.01
1776988800,8.52,8.55,8.43,8.46,35633.84
1777003200,8.46,8.49,8.43,8.46,21948.12
1777017600,8.47,8.59,8.46,8.55,35998.58
1777032000,8.56,8.61,8.49,8.6,31679.56
1777046400,8.6,8.61,8.55,8.57,20606.06
1777060800,8.58,8.61,8.5,8.53,27025.24
1777075200,8.53,8.56,8.48,8.55,18083.2
1777089600,8.55,8.58,8.51,8.54,32715.3
1777104000,8.54,8.58,8.49,8.52,17321.22
1777118400,8.52,8.53,8.45,8.47,22168.74
1777132800,8.47,8.48,8.4,8.41,24066.6
1777147200,8.42,8.46,8.4,8.44,10331.43
1777161600,8.44,8.44,8.39,8.4,20242.73
1777176000,8.4,8.5,8.39,8.46,64762.76
1777190400,8.46,8.52,8.42,8.49,18931.86
1777204800,8.5,8.51,8.41,8.47,19998.96
1777219200,8.47,8.55,8.44,8.51,30667.62
1777233600,8.51,8.55,8.46,8.53,41957.1
1777248000,8.53,8.63,8.49,8.6,33262.09
1777262400,8.6,8.61,8.33,8.36,96554.44
1777276800,8.36,8.41,8.34,8.38,41163.52
1777291200,8.39,8.44,8.25,8.29,47080.63
1777305600,8.29,8.33,8.24,8.31,33166.73
1777320000,8.31,8.4,8.31,8.4,57717.25
1777334400,8.39,8.42,8.36,8.4,51636.28
1777348800,8.4,8.48,8.36,8.41,44736.69
1777363200,8.4,8.44,8.34,8.36,28332.93
1777377600,8.36,8.42,8.33,8.39,57962.24
1777392000,8.39,8.43,8.34,8.42,26470
1777406400,8.43,8.44,8.37,8.4,22965.92
1777420800,8.4,8.48,8.39,8.46,38272.5
1777435200,8.47,8.52,8.45,8.48,46555.69
1777449600,8.49,8.61,8.46,8.52,133007.99
1777464000,8.53,8.53,8.29,8.3,99865.38
1777478400,8.3,8.36,8.13,8.24,113543.61
1777492800,8.24,8.36,8.24,8.34,34984.32
1777507200,8.34,8.41,8.3,8.35,30876.3
1777521600,8.35,8.36,8.27,8.35,30133.31
1777536000,8.36,8.43,8.34,8.39,37817.86
1777550400,8.39,8.47,8.36,8.42,41131.34
1777564800,8.42,8.43,8.34,8.36,28537.52
1777579200,8.36,8.37,8.31,8.35,18702.57
1777593600,8.34,8.46,8.34,8.41,34797.47
1777608000,8.41,8.43,8.36,8.38,13608.09
1777622400,8.38,8.45,8.34,8.45,113868.28
1777636800,8.45,8.52,8.41,8.48,105429.09
1777651200,8.49,8.5,8.44,8.46,25802.97
1777665600,8.46,8.47,8.38,8.41,31336.2
1777680000,8.41,8.47,8.4,8.45,20832.4
1777694400,8.45,8.46,8.4,8.44,16764.97
1777708800,8.44,8.54,8.44,8.47,41739.14
1777723200,8.48,8.52,8.46,8.52,48397.37
1777737600,8.52,8.57,8.5,8.56,20905.43
1777752000,8.57,8.59,8.52,8.53,47192.78
1777766400,8.53,8.53,8.42,8.44,26859.8
1777780800,8.45,8.48,8.43,8.45,21336.77
1777795200,8.45,8.5,8.43,8.48,27408.46
1777809600,8.48,8.5,8.44,8.47,26332.82
1777824000,8.47,8.53,8.46,8.5,26837.79
1777838400,8.5,8.56,8.46,8.48,30436.2
1777852800,8.48,8.71,8.43,8.71,105013.24
1777867200,8.71,8.73,8.62,8.67,100161.2
1777881600,8.66,8.73,8.49,8.63,117730.04
1777896000,8.64,8.87,8.6,8.68,205792.97
1777910400,8.68,8.77,8.61,8.71,48084.94
1777924800,8.71,8.76,8.66,8.68,34100.76
1777939200,8.68,8.87,8.68,8.84,90770.56
1777953600,8.84,8.87,8.75,8.82,81957.47
1777968000,8.82,9.05,8.82,8.95,137076.22
1777982400,8.95,8.98,8.84,8.91,87063.92
1777996800,8.92,8.95,8.87,8.93,22125.89
1778011200,8.93,9.09,8.93,9.02,106357.44
1778025600,9.02,9.35,9,9.26,149728.55
1778040000,9.27,9.37,9.2,9.25,208555.09
1778054400,9.26,9.42,9.25,9.32,146325.21
1778068800,9.33,9.5,9.16,9.45,284385.21
1778083200,9.45,9.53,9.23,9.27,149725.87
1778097600,9.27,9.4,9.25,9.4,44388.81
1778112000,9.39,9.4,9.13,9.13,152519.33
1778126400,9.14,9.38,9.13,9.3,78261.52
1778140800,9.31,9.36,9.21,9.26,77816.46
1778155200,9.26,9.35,9.07,9.21,74686.44
1778169600,9.21,9.35,9.19,9.2,89133.73
1778184000,9.2,9.27,9.16,9.22,35550.07
1778198400,9.23,9.31,9.21,9.26,73796.48
1778212800,9.26,9.39,9.26,9.37,88352.33
1778227200,9.37,9.56,9.35,9.44,174311.12
1778241600,9.45,9.65,9.32,9.63,177551.38
1778256000,9.63,9.89,9.61,9.83,357658.88
1778270400,9.83,9.87,9.75,9.77,79502.8
1778284800,9.78,9.83,9.71,9.75,47733.75
1778299200,9.75,9.93,9.71,9.73,68646.79
1778313600,9.74,9.76,9.55,9.59,77323.55
1778328000,9.59,9.61,9.45,9.48,95560.72
