time,open,high,low,close,volume
1779273000,2133.33,2137.02,2132.18,2132.59,1702.38
1779273900,2132.6,2133.64,2130.81,2130.82,836.5989
1779274800,2130.82,2132.24,2129.59,2129.59,721.1557
1779275700,2129.59,2130.69,2128.09,2128.11,931.5206
1779276600,2128.11,2130.48,2125,2126.53,2051.9919
1779277500,2126.53,2128.48,2124.28,2128.3,1218.737
1779278400,2128.31,2132.31,2127.02,2130.88,1282.7871
1779279300,2130.89,2133.13,2127.36,2131.14,1431.5412
1779280200,2131.13,2133.48,2131.13,2132.03,998.696
1779281100,2132.03,2140,2131.44,2134.01,2129.3392
1779282000,2134.02,2135.73,2130.35,2131.13,1101.2431
1779282900,2131.14,2131.5,2124.71,2126.74,2917.0443
1779283800,2126.74,2128.02,2115.69,2121.15,7854.6668
1779284700,2121.15,2128.6,2117.67,2120.61,4536.1067
1779285600,2120.62,2126.3,2113.87,2122.69,4033.8967
1779286500,2122.7,2139.63,2122.7,2131.31,6530.959
1779287400,2131.32,2136.72,2128.64,2133.53,4124.4642
1779288300,2133.53,2138.57,2132.66,2135.25,4822.6776
1779289200,2135.24,2136.01,2129.02,2129.67,1787.7963
1779290100,2129.67,2149,2129.67,2138.99,10051.5013
1779291000,2138.99,2140.98,2132.79,2135.69,2243.3058
1779291900,2135.68,2140.73,2134.21,2136.75,3070.9584
1779292800,2136.76,2140.51,2136.69,2138.18,1826.8505
1779293700,2138.17,2138.17,2124.1,2127,3547.7523
1779294600,2127,2136.26,2125.21,2135.52,2106.9247
1779295500,2135.53,2137.78,2133.16,2135.46,1856.1004
1779296400,2135.46,2140.88,2132.14,2138.97,2765.8909
1779297300,2138.97,2148.7,2137.24,2145.3,3705.7125
1779298200,2145.3,2148.77,2141.98,2144.63,2503.066
1779299100,2144.63,2146.05,2139.81,2140.5,1804.4432
1779300000,2140.5,2140.95,2137,2137.91,2016.7453
1779300900,2137.91,2140.42,2133.54,2135.74,1817.1154
1779301800,2135.74,2137.48,2133.99,2134.76,965.6222
1779302700,2134.75,2134.94,2131.3,2132.1,1223.9658
1779303600,2132.1,2133.69,2129.11,2131.94,1450.8853
1779304500,2131.93,2137.63,2131.04,2137.62,1505.9114
