time,open,high,low,close,volume
1779453360,1.60086,1.60094,1.6008,1.60086,136
1779453420,1.60086,1.60098,1.60081,1.60094,119
1779453480,1.60094,1.60106,1.60092,1.60101,95
1779453540,1.60103,1.60117,1.60103,1.60105,118
1779453600,1.60105,1.60106,1.6008,1.60082,123
1779453660,1.60082,1.60101,1.6008,1.60097,110
1779453720,1.60092,1.60098,1.60085,1.60088,111
1779453780,1.6009,1.60111,1.60087,1.601,118
1779453840,1.601,1.60119,1.60099,1.60119,94
1779453900,1.60119,1.60134,1.60116,1.60124,127
1779453960,1.60126,1.60131,1.60118,1.60127,90
1779454020,1.60127,1.60148,1.60126,1.60136,112
1779454080,1.60139,1.60172,1.60139,1.6017,113
1779454140,1.6017,1.60185,1.60164,1.60182,89
1779454200,1.60182,1.60185,1.60167,1.60167,82
1779454260,1.60165,1.60172,1.60161,1.60169,79
1779454320,1.60166,1.60177,1.60163,1.60163,78
1779454380,1.60166,1.60171,1.60163,1.60169,90
1779454440,1.60169,1.60174,1.60158,1.60163,112
1779454500,1.60167,1.6018,1.60157,1.60158,112
1779454560,1.60158,1.60171,1.60157,1.60169,117
1779454620,1.60171,1.60184,1.60165,1.60178,97
1779454680,1.60175,1.6018,1.60158,1.60163,122
1779454740,1.60165,1.60186,1.60158,1.60185,131
1779454800,1.60189,1.60193,1.6018,1.60184,153
1779454860,1.60183,1.60193,1.60173,1.60174,144
1779454920,1.60173,1.60177,1.60147,1.60147,128
1779454980,1.60144,1.60171,1.60143,1.60171,138
1779455040,1.60173,1.60175,1.60136,1.60139,146
1779455100,1.60138,1.60149,1.60118,1.60119,124
1779455160,1.60119,1.6012,1.60097,1.60115,132
1779455220,1.60114,1.60155,1.60114,1.60152,116
1779455280,1.60149,1.60158,1.60132,1.60156,112
1779455340,1.60157,1.60229,1.60153,1.60218,178
1779455400,1.6022,1.60232,1.60192,1.60221,191
1779455460,1.60218,1.60237,1.60214,1.6022,196
1779455520,1.60221,1.60252,1.60221,1.60236,180
1779455580,1.60234,1.60248,1.60207,1.60209,167
1779455640,1.60209,1.60212,1.6018,1.6019,152
1779455700,1.60193,1.60207,1.60187,1.60199,155
1779455760,1.60201,1.60216,1.60194,1.60204,141
1779455820,1.60204,1.60205,1.60187,1.6019,135
1779455880,1.60188,1.60213,1.60188,1.60203,144
1779455940,1.60201,1.60223,1.60185,1.60219,191
1779456000,1.60223,1.60232,1.60202,1.60202,145
1779456060,1.60208,1.6021,1.60182,1.60185,123
1779456120,1.60185,1.60201,1.60182,1.60199,121
1779456180,1.60197,1.60201,1.6019,1.60196,105
1779456240,1.60195,1.60197,1.60181,1.60183,78
1779456300,1.60183,1.60202,1.6018,1.60194,117
1779456360,1.60193,1.60206,1.60193,1.60204,118
1779456420,1.60207,1.60221,1.60204,1.60211,103
1779456480,1.60209,1.6023,1.60208,1.6023,109
1779456540,1.60231,1.60239,1.60228,1.60228,112
1779456600,1.60225,1.60241,1.6022,1.60228,178
1779456660,1.60224,1.60236,1.60219,1.6023,171
1779456720,1.6023,1.60236,1.60222,1.60227,138
1779456780,1.60227,1.60249,1.60191,1.60194,174
1779456840,1.60194,1.60205,1.60184,1.60198,160
1779456900,1.60194,1.60233,1.60194,1.60228,176
1779456960,1.60226,1.60236,1.6022,1.60222,156
1779457020,1.60222,1.6023,1.60207,1.60226,136
1779457080,1.60227,1.60241,1.60221,1.60222,166
1779457140,1.60223,1.60226,1.60214,1.60223,140
1779457200,1.60223,1.60233,1.60194,1.60206,141
1779457260,1.60204,1.60208,1.60179,1.60186,160
1779457320,1.60184,1.60193,1.60147,1.60154,189
1779457380,1.60156,1.60166,1.60145,1.60163,145
1779457440,1.60163,1.60164,1.60141,1.60146,132
1779457500,1.60147,1.60154,1.60134,1.60134,100
1779457560,1.60137,1.60149,1.60129,1.60137,144
1779457620,1.60133,1.60141,1.60128,1.60132,104
1779457680,1.60126,1.60132,1.60103,1.60111,140
1779457740,1.6011,1.60116,1.60095,1.60098,130
1779457800,1.60098,1.60103,1.60079,1.60091,131
1779457860,1.60091,1.60132,1.60091,1.60128,173
1779457920,1.60128,1.60137,1.60119,1.60136,135
1779457980,1.60137,1.60137,1.60124,1.60134,146
1779458040,1.60135,1.60145,1.6013,1.60145,119
1779458100,1.60137,1.60137,1.60117,1.60118,141
1779458160,1.6012,1.60131,1.60119,1.6013,100
1779458220,1.60128,1.60146,1.60125,1.6013,129
1779458280,1.60129,1.60135,1.60114,1.60118,113
1779458340,1.60118,1.60127,1.60106,1.60106,100
1779458400,1.60054,1.60116,1.60038,1.60039,221
1779458460,1.6004,1.60058,1.60029,1.6005,194
1779458520,1.60049,1.60069,1.60034,1.60042,189
1779458580,1.60041,1.60042,1.60012,1.60024,199
1779458640,1.60023,1.60049,1.60013,1.6004,182
1779458700,1.60041,1.60062,1.60039,1.60046,173
1779458760,1.60047,1.60051,1.60019,1.60024,178
1779458820,1.60024,1.6003,1.60014,1.60025,166
1779458880,1.60025,1.60038,1.6002,1.60027,172
1779458940,1.60027,1.60059,1.60023,1.60058,161
1779459000,1.60059,1.60075,1.60051,1.60073,151
1779459060,1.60073,1.60073,1.60055,1.6006,125
1779459120,1.60062,1.60062,1.60045,1.60049,105
1779459180,1.60046,1.60046,1.60007,1.60019,177
1779459240,1.6002,1.60038,1.60018,1.60034,154
1779459300,1.60033,1.60066,1.60029,1.60062,157
1779459360,1.60061,1.60075,1.6005,1.60069,178
1779459420,1.60068,1.60081,1.6005,1.6005,166
1779459480,1.60049,1.60062,1.60043,1.60049,165
1779459540,1.60048,1.60071,1.60042,1.60067,144
1779459600,1.60071,1.60083,1.60067,1.60082,147
1779459660,1.60082,1.60093,1.60068,1.60087,155
1779459720,1.60084,1.60094,1.60078,1.60079,94
1779459780,1.6008,1.60109,1.6008,1.60097,145
1779459840,1.60095,1.60119,1.60095,1.60116,139
1779459900,1.60115,1.60148,1.60115,1.60148,142
1779459960,1.60146,1.60159,1.60146,1.60155,133
1779460020,1.60156,1.60165,1.6015,1.60159,143
1779460080,1.60159,1.60162,1.60142,1.60144,155
1779460140,1.60145,1.60165,1.60139,1.60162,140
1779460200,1.60159,1.60179,1.60152,1.60178,167
1779460260,1.60178,1.60209,1.60173,1.60208,145
1779460320,1.60208,1.60223,1.60208,1.60215,132
1779460380,1.60221,1.6023,1.60212,1.6023,125
1779460440,1.60229,1.60253,1.60229,1.60242,146
1779460500,1.60238,1.60239,1.6021,1.6021,121
1779460560,1.60209,1.60223,1.60205,1.60219,157
1779460620,1.60221,1.60228,1.60214,1.60226,121
1779460680,1.60224,1.60238,1.60223,1.60238,134
1779460740,1.60238,1.60239,1.6021,1.60213,161
1779460800,1.60212,1.60234,1.60212,1.60227,172
1779460860,1.60224,1.60244,1.60216,1.60244,138
1779460920,1.60241,1.60262,1.60234,1.6026,133
1779460980,1.60259,1.60259,1.60244,1.60251,125
1779461040,1.6025,1.60264,1.60247,1.60257,130
1779461100,1.60257,1.60272,1.60252,1.60262,137
1779461160,1.60262,1.6027,1.60254,1.60268,103
1779461220,1.60268,1.60268,1.60244,1.60251,125
1779461280,1.60251,1.60251,1.60233,1.60235,112
1779461340,1.60235,1.60242,1.6022,1.60221,138
1779461400,1.60222,1.60234,1.60215,1.60224,161
1779461460,1.60221,1.60252,1.60219,1.60243,189
1779461520,1.60244,1.60259,1.60233,1.6025,164
1779461580,1.60248,1.6027,1.60246,1.6027,186
1779461640,1.6027,1.60273,1.60259,1.60268,171
1779461700,1.60265,1.60292,1.60254,1.60286,197
1779461760,1.60284,1.60284,1.60237,1.60237,166
1779461820,1.60241,1.60292,1.60235,1.60288,199
1779461880,1.60287,1.60288,1.60264,1.6027,158
1779461940,1.60271,1.60273,1.60261,1.60273,195
1779462000,1.60272,1.60283,1.60249,1.60283,195
1779462060,1.60278,1.60283,1.60262,1.60277,193
1779462120,1.60278,1.60288,1.6027,1.60281,159
1779462180,1.60279,1.60295,1.60262,1.60295,144
1779462240,1.60294,1.60298,1.60285,1.60297,146
1779462300,1.60294,1.60316,1.60294,1.60315,157
1779462360,1.60316,1.60322,1.60297,1.60299,165
1779462420,1.60301,1.60334,1.603,1.60334,143
1779462480,1.60333,1.60337,1.60296,1.603,146
1779462540,1.603,1.60302,1.60283,1.60294,127
1779462600,1.60292,1.60296,1.60286,1.60295,108
1779462660,1.60294,1.60301,1.60279,1.60301,120
1779462720,1.603,1.60312,1.603,1.60303,114
1779462780,1.60303,1.60324,1.60303,1.60324,114
1779462840,1.60323,1.60331,1.60319,1.6032,113
1779462900,1.6032,1.60339,1.60311,1.60339,119
1779462960,1.60337,1.60343,1.60309,1.60317,138
1779463020,1.60314,1.60317,1.60308,1.60311,117
1779463080,1.6031,1.6032,1.60308,1.60311,125
1779463140,1.60311,1.60318,1.603,1.60301,111
1779463200,1.60303,1.60312,1.60297,1.60311,114
1779463260,1.60309,1.6031,1.60286,1.60287,129
1779463320,1.60289,1.603,1.60275,1.603,96
1779463380,1.603,1.60306,1.6029,1.6029,96
1779463440,1.60291,1.60296,1.60282,1.60285,104
1779463500,1.60287,1.60287,1.6027,1.60277,100
1779463560,1.60279,1.60302,1.60274,1.603,133
1779463620,1.60298,1.6033,1.60298,1.60328,105
1779463680,1.60327,1.60336,1.60322,1.60331,127
1779463740,1.60332,1.60332,1.60318,1.60323,112
1779463800,1.6032,1.60324,1.60292,1.60308,176
1779463860,1.6031,1.60312,1.60285,1.60288,152
1779463920,1.60285,1.60291,1.60269,1.6027,148
1779463980,1.60269,1.60283,1.60267,1.60276,135
1779464040,1.60276,1.60276,1.60262,1.60265,156
1779464100,1.60261,1.60266,1.6024,1.6025,152
1779464160,1.6025,1.60279,1.6025,1.60278,133
1779464220,1.60279,1.60299,1.60279,1.60296,135
1779464280,1.60295,1.60297,1.60279,1.60279,133
1779464340,1.60281,1.60296,1.60279,1.60287,122
1779464400,1.60284,1.60302,1.60274,1.603,121
1779464460,1.60299,1.60306,1.60297,1.60303,120
1779464520,1.60302,1.60313,1.60301,1.60308,99
1779464580,1.60307,1.60327,1.60302,1.6032,117
1779464640,1.60322,1.60326,1.60312,1.60321,90
1779464700,1.60322,1.60333,1.60319,1.60331,109
1779464760,1.60332,1.60333,1.60316,1.6032,109
1779464820,1.60318,1.60358,1.60318,1.6035,109
1779464880,1.60351,1.60354,1.60332,1.60334,138
1779464940,1.60332,1.60347,1.60325,1.60339,111
