time,open,high,low,close,volume
1779480000,0.86357,0.86379,0.86329,0.86379,2774
1779656400,0.86398,0.86409,0.86398,0.864,12
1779660000,0.86437,0.86438,0.8634,0.86346,602
1779663600,0.86346,0.86349,0.86343,0.86344,122
1779667200,0.86356,0.8636,0.86336,0.86342,310
1779670800,0.86329,0.8633,0.8632,0.8633,467
1779674400,0.86343,0.86344,0.8634,0.86344,180
1779678000,0.8635,0.86362,0.86347,0.86359,187
1779681600,0.86359,0.86359,0.86352,0.86353,150
1779685200,0.86343,0.86345,0.86331,0.86333,245
1779688800,0.86328,0.86335,0.86327,0.86334,237
1779692400,0.86318,0.86331,0.86317,0.86328,263
1779696000,0.863,0.86307,0.86288,0.86297,960
1779699600,0.8629,0.86296,0.86273,0.86274,1745
1779703200,0.86277,0.86307,0.86274,0.86298,1451
1779706800,0.86299,0.86304,0.86297,0.86298,96
1779710400,0.86259,0.86274,0.86244,0.86273,1982
1779714000,0.8628,0.86283,0.86274,0.86277,226
1779717600,0.8625,0.86257,0.86246,0.86247,170
1779721200,0.86232,0.8624,0.86227,0.86239,298
1779724800,0.86223,0.86234,0.86198,0.86204,1869
1779728400,0.86205,0.86212,0.862,0.8621,893
1779732000,0.86209,0.8621,0.86205,0.86206,74
1779735600,0.86203,0.86203,0.86201,0.86201,63
1779739200,0.86185,0.86189,0.86184,0.86188,46
1779742800,0.86169,0.86184,0.86144,0.86158,17
1779746400,0.86191,0.86212,0.86191,0.8621,329
1779750000,0.86205,0.8621,0.86202,0.86206,147
1779753600,0.86219,0.86231,0.86217,0.86229,308
1779757200,0.86248,0.86253,0.86241,0.86252,424
1779760800,0.8626,0.8626,0.86255,0.86256,188
1779764400,0.86256,0.8626,0.86255,0.86259,161
1779768000,0.86262,0.86265,0.86261,0.86265,69
1779771600,0.86265,0.86276,0.86265,0.86274,253
1779775200,0.86289,0.86304,0.86289,0.86303,294
1779778800,0.86327,0.86335,0.86321,0.86322,391
1779782400,0.86361,0.86381,0.86346,0.86355,3753
1779786000,0.86354,0.86363,0.86333,0.86339,555
1779789600,0.86346,0.86365,0.86346,0.86355,252
1779793200,0.8633,0.86331,0.86317,0.86319,270
1779796800,0.86378,0.86386,0.86373,0.86383,250
1779800400,0.86372,0.86379,0.86365,0.86377,374
1779804000,0.86342,0.86353,0.8633,0.86338,430
1779807600,0.86433,0.8644,0.86413,0.86437,536
1779811200,0.86482,0.86493,0.86475,0.86477,345
1779814800,0.86478,0.86479,0.8647,0.86474,313
1779818400,0.8648,0.86489,0.86478,0.86481,201
1779822000,0.86496,0.865,0.86492,0.86494,164
1779825600,0.86488,0.86491,0.86478,0.8648,216
1779829200,0.86471,0.86472,0.86389,0.86468,14
1779832800,0.86478,0.86488,0.8647,0.86485,292
1779836400,0.86488,0.86493,0.86488,0.86492,106
1779840000,0.86485,0.86488,0.86481,0.86486,244
1779843600,0.86492,0.86501,0.86489,0.86498,342
1779847200,0.86515,0.86517,0.86509,0.86512,358
1779850800,0.86512,0.86515,0.86505,0.86513,247
1779854400,0.86501,0.86506,0.865,0.86502,129
1779858000,0.86524,0.86528,0.86519,0.86526,247
1779861600,0.86542,0.86552,0.86542,0.86545,288
1779865200,0.86566,0.86576,0.8656,0.86571,322
1779868800,0.86593,0.86593,0.86579,0.86581,332
1779872400,0.86601,0.86602,0.86587,0.86587,280
1779876000,0.86604,0.86611,0.86602,0.86604,266
1779879600,0.86594,0.86607,0.86585,0.86602,264
1779883200,0.86623,0.86634,0.86617,0.8663,306
1779886800,0.86634,0.86638,0.86605,0.86611,851
1779890400,0.86569,0.86624,0.86551,0.86621,5743
1779894000,0.86638,0.86644,0.86626,0.8663,927
1779897600,0.86603,0.86621,0.86601,0.86617,436
1779901200,0.86608,0.86621,0.86597,0.86603,539
1779904800,0.86595,0.86602,0.86589,0.86594,460
1779908400,0.86592,0.866,0.8659,0.86599,294
1779912000,0.86584,0.8659,0.86577,0.86579,258
1779915600,0.86584,0.86585,0.86584,0.86584,7
1779919200,0.86598,0.86608,0.86591,0.86604,311
1779922800,0.8658,0.8659,0.8658,0.86589,57
1779926400,0.86597,0.86606,0.86593,0.86606,389
1779930000,0.86632,0.86639,0.8663,0.86637,329
1779933600,0.8665,0.86652,0.86639,0.86641,310
1779937200,0.86647,0.86656,0.86645,0.86649,333
1779940800,0.86676,0.86681,0.86666,0.86667,337
1779944400,0.86651,0.86657,0.86647,0.86649,281
1779948000,0.86613,0.86617,0.86604,0.86614,479
1779951600,0.86615,0.8662,0.86605,0.86611,353
1779955200,0.86637,0.86663,0.86632,0.86659,2527
1779958800,0.86672,0.86675,0.86658,0.86658,525
1779962400,0.86689,0.86699,0.86684,0.86689,335
