time,open,high,low,close,volume
1779480000,1.48501,1.48525,1.48257,1.48318,2898
1779656400,1.48661,1.48661,1.48532,1.48645,454
1779660000,1.48641,1.48735,1.48635,1.48669,793
1779663600,1.48734,1.48752,1.48721,1.48747,335
1779667200,1.48684,1.48712,1.48643,1.48649,900
1779670800,1.48592,1.48629,1.4857,1.48626,1173
1779674400,1.48605,1.48635,1.48602,1.48629,543
1779678000,1.4862,1.48623,1.48594,1.48602,693
1779681600,1.48645,1.48645,1.4862,1.48631,679
1779685200,1.48643,1.48671,1.48643,1.48661,743
1779688800,1.4867,1.48682,1.48665,1.48671,691
1779692400,1.48678,1.48687,1.48659,1.4866,668
1779696000,1.48673,1.48711,1.48644,1.48709,1895
1779699600,1.48694,1.48713,1.48664,1.48703,2741
1779703200,1.48694,1.48732,1.48692,1.48721,2335
1779706800,1.48736,1.48738,1.48729,1.48731,221
1779710400,1.48727,1.48782,1.48716,1.48768,4378
1779714000,1.48765,1.48777,1.48754,1.48757,611
1779717600,1.48681,1.48684,1.48669,1.48681,325
1779721200,1.48663,1.48672,1.48653,1.48668,426
1779724800,1.48665,1.48675,1.48618,1.48647,2842
1779728400,1.48646,1.48673,1.48639,1.48673,1552
1779732000,1.48673,1.48674,1.48656,1.48658,158
1779735600,1.4867,1.48675,1.48665,1.48666,106
1779739200,1.48648,1.48648,1.48633,1.48644,101
1779742800,1.48536,1.48568,1.48494,1.48523,81
1779746400,1.48496,1.4862,1.48475,1.486,645
1779750000,1.48666,1.48668,1.48643,1.48664,333
1779753600,1.48655,1.48696,1.48644,1.4869,979
1779757200,1.48622,1.48635,1.48587,1.48604,1100
1779760800,1.48587,1.48588,1.4857,1.48576,777
1779764400,1.48603,1.48626,1.48598,1.4862,605
1779768000,1.48597,1.48608,1.48585,1.48589,265
1779771600,1.48573,1.4859,1.48568,1.4858,734
1779775200,1.4857,1.48604,1.48569,1.48588,701
1779778800,1.48619,1.48728,1.48582,1.48673,6210
1779782400,1.48677,1.48763,1.48672,1.48719,5201
1779786000,1.48722,1.48747,1.48697,1.48746,999
1779789600,1.48769,1.48777,1.48753,1.48754,432
1779793200,1.48708,1.48722,1.48697,1.48716,701
1779796800,1.48671,1.48683,1.48656,1.4867,744
1779800400,1.48627,1.48638,1.48616,1.48619,878
1779804000,1.48406,1.48559,1.48376,1.48514,949
1779807600,1.48533,1.48538,1.48505,1.48519,1100
1779811200,1.48517,1.48526,1.48501,1.48526,709
1779814800,1.48526,1.48531,1.48503,1.48507,739
1779818400,1.48531,1.48537,1.48524,1.48529,487
1779822000,1.48557,1.48562,1.48534,1.48543,501
1779825600,1.48568,1.48578,1.48566,1.48571,348
1779829200,1.4845,1.48486,1.48377,1.48482,15
1779832800,1.48563,1.48608,1.48563,1.48582,352
1779836400,1.48598,1.48601,1.48579,1.48584,599
1779840000,1.48583,1.48618,1.48561,1.48615,932
1779843600,1.48607,1.48607,1.48572,1.4858,1004
1779847200,1.48612,1.48642,1.48596,1.48632,1092
1779850800,1.4864,1.4865,1.48617,1.48636,828
1779854400,1.48641,1.48644,1.48616,1.4863,607
1779858000,1.4862,1.48635,1.48608,1.48625,729
1779861600,1.48639,1.48654,1.48627,1.48652,761
1779865200,1.48722,1.48735,1.48704,1.48707,561
1779868800,1.48711,1.48726,1.48695,1.48712,539
1779872400,1.48712,1.48718,1.48687,1.48689,763
1779876000,1.48676,1.4868,1.48665,1.48666,594
1779879600,1.48685,1.4869,1.48666,1.48676,764
1779883200,1.48697,1.48704,1.48685,1.487,875
1779886800,1.48707,1.48732,1.48689,1.48706,1958
1779890400,1.48598,1.48708,1.48496,1.48512,9300
1779894000,1.48512,1.48572,1.48483,1.48541,1408
1779897600,1.48528,1.48528,1.48483,1.48493,1061
1779901200,1.48544,1.48554,1.48491,1.48503,1407
1779904800,1.48528,1.48531,1.48506,1.48511,708
1779908400,1.48543,1.48574,1.48536,1.48557,548
1779912000,1.48531,1.48535,1.48518,1.48521,426
1779915600,1.48376,1.48381,1.48376,1.48381,4
1779919200,1.48432,1.48522,1.48409,1.48515,430
1779922800,1.485,1.48515,1.48488,1.48505,542
1779926400,1.48466,1.48515,1.48464,1.48515,1183
1779930000,1.48543,1.48554,1.4852,1.48532,1137
1779933600,1.48516,1.4854,1.48512,1.48533,1100
1779937200,1.48554,1.48558,1.48522,1.48531,997
1779940800,1.48415,1.48422,1.48392,1.4841,1123
1779944400,1.48377,1.48391,1.48327,1.48338,1158
1779948000,1.4839,1.48418,1.48386,1.48396,916
1779951600,1.48486,1.4853,1.4848,1.48524,1035
1779955200,1.48531,1.48558,1.48511,1.48532,2909
1779958800,1.48598,1.48608,1.48574,1.4859,799
