time,open,high,low,close,volume
1779480000,1.88449,1.88555,1.88389,1.88401,5061
1779656400,1.87849,1.87912,1.87796,1.87858,668
1779660000,1.88069,1.8829,1.88066,1.88276,1371
1779663600,1.88372,1.88372,1.88314,1.88354,745
1779667200,1.88366,1.88412,1.8832,1.88331,1470
1779670800,1.88283,1.88289,1.88165,1.88165,2183
1779674400,1.88106,1.88106,1.88013,1.88032,868
1779678000,1.88111,1.88125,1.8808,1.88112,860
1779681600,1.88165,1.88165,1.8813,1.88141,578
1779685200,1.88083,1.88103,1.88047,1.88078,1300
1779688800,1.88169,1.88169,1.88083,1.8809,1111
1779692400,1.88188,1.88349,1.88176,1.88317,7446
1779696000,1.88315,1.88352,1.88284,1.88343,1096
1779699600,1.88271,1.88315,1.88221,1.88269,4153
1779703200,1.88259,1.88267,1.8819,1.88251,3567
1779706800,1.8825,1.88277,1.88231,1.88235,658
1779710400,1.88275,1.88315,1.88237,1.88296,6105
1779714000,1.88303,1.88311,1.88228,1.88259,1323
1779717600,1.88228,1.88228,1.88192,1.88204,925
1779721200,1.88074,1.88115,1.88066,1.88098,1115
1779724800,1.88234,1.88277,1.88212,1.88246,4232
1779728400,1.88248,1.88264,1.88197,1.88212,2246
1779732000,1.88215,1.88231,1.8821,1.88215,755
1779735600,1.88241,1.88247,1.88225,1.88226,341
1779739200,1.88234,1.8824,1.88222,1.88233,297
1779742800,1.88119,1.88232,1.88049,1.88213,95
1779746400,1.88242,1.88268,1.88207,1.88249,902
1779750000,1.88229,1.88234,1.882,1.88215,475
1779753600,1.88268,1.8831,1.88254,1.88267,1598
1779757200,1.88198,1.88287,1.88176,1.88239,2118
1779760800,1.8823,1.88255,1.88211,1.88249,1484
1779764400,1.8821,1.88216,1.88121,1.88147,1025
1779768000,1.88097,1.8815,1.8808,1.8811,638
1779771600,1.88254,1.88346,1.88243,1.88291,1408
1779775200,1.88206,1.88222,1.88147,1.88182,1171
1779782400,1.88086,1.88149,1.88072,1.88112,2120
1779786000,1.88099,1.88238,1.88065,1.882,1785
1779789600,1.88206,1.88237,1.88175,1.88225,1194
1779793200,1.88186,1.88224,1.88172,1.88203,1223
1779796800,1.88004,1.88026,1.87965,1.87978,1487
1779800400,1.87873,1.87886,1.87803,1.87823,2115
1779804000,1.87776,1.87811,1.87718,1.87721,2638
1779807600,1.8763,1.87689,1.87602,1.87627,2472
1779811200,1.87628,1.87659,1.87603,1.87649,1783
1779814800,1.87652,1.87716,1.87629,1.87693,1767
1779818400,1.87665,1.87672,1.87615,1.87618,1061
1779822000,1.87563,1.87594,1.87552,1.87554,1381
1779825600,1.87597,1.87679,1.87596,1.87664,767
1779829200,1.87422,1.87484,1.87422,1.87469,132
1779832800,1.8761,1.87664,1.8761,1.87654,755
1779836400,1.87656,1.87659,1.87633,1.8765,407
1779840000,1.87631,1.87691,1.87618,1.87641,1484
1779843600,1.87517,1.87525,1.87449,1.87482,1576
1779847200,1.87895,1.87953,1.87758,1.87799,2190
1779850800,1.87838,1.87844,1.87749,1.87833,1418
1779854400,1.87921,1.8797,1.87871,1.87876,1198
1779858000,1.87879,1.87924,1.87861,1.87877,1263
1779861600,1.87975,1.88027,1.87936,1.87973,1329
1779865200,1.88235,1.88253,1.88147,1.88219,1431
1779868800,1.88322,1.88337,1.88284,1.88308,1405
1779872400,1.88282,1.88355,1.88271,1.88321,1680
1779876000,1.8825,1.88252,1.88182,1.8821,1116
1779879600,1.88402,1.88407,1.88329,1.88368,1253
1779883200,1.88358,1.88434,1.88356,1.88427,2025
1779886800,1.88397,1.88521,1.8836,1.88473,8754
1779890400,1.88396,1.88487,1.88383,1.8847,3008
1779894000,1.88275,1.88278,1.8811,1.88132,5497
1779897600,1.88193,1.88204,1.88123,1.88137,2497
1779901200,1.88126,1.8818,1.88103,1.88123,3826
1779904800,1.88165,1.88177,1.88139,1.88156,1722
1779908400,1.88109,1.88135,1.88048,1.8805,1427
1779912000,1.88054,1.88078,1.88038,1.88059,1001
1779915600,1.87845,1.8791,1.87845,1.8791,35
1779919200,1.88049,1.88072,1.87983,1.88026,705
1779922800,1.88011,1.88023,1.87944,1.88003,1111
1779926400,1.88089,1.8816,1.88081,1.88138,2212
1779930000,1.8809,1.88203,1.88014,1.88198,4004
1779933600,1.882,1.88238,1.88123,1.88128,4282
1779937200,1.88108,1.88278,1.88019,1.88242,4017
1779940800,1.88242,1.88346,1.88197,1.88249,2354
1779944400,1.88298,1.88359,1.88099,1.88186,7338
1779948000,1.88175,1.88199,1.88043,1.88144,3980
1779951600,1.88238,1.88282,1.881,1.8811,4040
1779955200,1.88184,1.88322,1.88162,1.88297,7709
1779958800,1.88293,1.88339,1.88191,1.88195,3471
