time,open,high,low,close,volume
1779469200,213.98,214.016,213.772,213.801,27298
1779656400,213.643,213.74,213.457,213.719,434
1779670800,214.174,214.225,214.05,214.193,18992
1779685200,214.192,214.44,214.19,214.434,23918
1779699600,214.433,214.608,214.385,214.527,19794
1779714000,214.527,214.597,214.417,214.571,21233
1779728400,214.574,214.681,214.563,214.635,9143
1779742800,214.517,214.543,214.407,214.538,100
1779757200,214.517,214.548,214.315,214.347,20103
1779771600,214.346,214.642,214.265,214.536,28179
1779786000,214.54,214.679,214.391,214.429,28887
1779800400,214.433,214.509,214.077,214.129,35897
1779814800,214.13,214.325,214.105,214.195,20340
1779829200,214.063,214.143,214.063,214.127,98
1779843600,214.316,214.324,214.166,214.245,21389
1779858000,214.247,214.417,214.189,214.327,25969
1779872400,214.323,214.373,214.129,214.255,29897
1779886800,214.25,214.481,214.003,214.217,39060
1779901200,214.22,214.283,214.074,214.176,21917
1779915600,214.017,214.055,214.014,214.052,32
1779930000,214.027,214.027,213.329,213.476,26788
1779944400,213.474,213.886,213.424,213.7,29228
