time,open,high,low,close,volume
1736200800,2.21628,2.21974,2.20642,2.21422,162684
1736287200,2.2129,2.21801,2.20034,2.20386,168835
1736373600,2.20112,2.20811,2.19272,2.19773,153579
1736460000,2.19684,2.20611,2.19539,2.19728,173420
1736719200,2.19326,2.19751,2.18066,2.18536,177851
1736805600,2.18316,2.18676,2.16968,2.17945,177886
1736892000,2.17808,2.18254,2.1713,2.17954,158395
1736978400,2.17709,2.18293,2.17327,2.18226,172411
1737064800,2.18134,2.18627,2.17501,2.17827,155927
1737324000,2.17378,2.17951,2.16879,2.17324,159662
1737410400,2.17132,2.17962,2.16928,2.17504,193182
1737496800,2.17436,2.1828,2.17268,2.17371,169070
1737583200,2.1709,2.17827,2.17016,2.17642,160994
1737669600,2.17395,2.18619,2.16801,2.18549,166658
1737928800,2.18502,2.19837,2.1847,2.1952,183066
1738015200,2.19447,2.2013,2.19326,2.1955,164620
1738101600,2.19328,2.20287,2.19326,2.19971,166152
1738188000,2.19816,2.20707,2.19728,2.20325,156040
1738274400,2.20244,2.20685,2.19349,2.19666,177157
1738533600,2.19774,2.22117,2.19774,2.21176,238602
1738620000,2.21048,2.21845,2.20693,2.20798,175462
1738706400,2.20637,2.20958,2.19459,2.19845,156250
1738792800,2.20096,2.20493,2.18424,2.19089,150160
1738879200,2.18938,2.19648,2.18528,2.18956,158495
1739138400,2.1928,2.19572,2.18782,2.19209,147712
1739224800,2.19012,2.20164,2.18329,2.20098,137633
1739311200,2.19762,2.21063,2.19614,2.20556,165033
1739397600,2.20278,2.21762,2.20193,2.21288,177482
1739484000,2.20988,2.21352,2.19334,2.19413,154097
1739743200,2.1973,2.20282,2.19061,2.20088,129551
1739829600,2.1977,2.21279,2.19756,2.21107,149933
1739916000,2.20888,2.2212,2.20103,2.20585,159760
1740002400,2.20342,2.20954,2.19366,2.19838,171703
1740088800,2.19616,2.20217,2.19514,2.19839,173255
1740348000,2.19496,2.20526,2.19376,2.20186,186119
1740434400,2.20161,2.21693,2.20078,2.2122,183251
1740520800,2.20976,2.22677,2.20968,2.22543,179452
1740607200,2.22404,2.23895,2.22197,2.23736,182445
1740693600,2.23532,2.25144,2.2348,2.24563,184775
1740952800,2.24502,2.26383,2.24124,2.26098,195091
1741039200,2.259,2.2692,2.25812,2.2585,220800
1741125600,2.26126,2.26586,2.24973,2.25168,218838
1741212000,2.2505,2.25418,2.24114,2.24584,223946
1741298400,2.24348,2.26613,2.24295,2.2612,203539
1741554000,2.25783,2.26637,2.24766,2.25964,198198
1741640400,2.25815,2.27014,2.25681,2.26521,200102
1741726800,2.26296,2.27228,2.26092,2.26218,176751
1741813200,2.25991,2.27529,2.25798,2.27325,170279
1741899600,2.27035,2.27361,2.24696,2.24851,165659
1742158800,2.24716,2.25007,2.23037,2.2315,143128
1742245200,2.2316,2.23618,2.22695,2.23364,138757
1742331600,2.23316,2.24419,2.23193,2.23572,146412
1742418000,2.23333,2.26305,2.22825,2.25161,146049
1742504400,2.25144,2.25496,2.24526,2.25177,137914
1742763600,2.24412,2.26177,2.24412,2.25578,150982
1742850000,2.25437,2.25999,2.25144,2.25781,136507
1742936400,2.25615,2.26225,2.23971,2.2498,146866
