time,open,high,low,close,volume
1736200800,1.25081,1.25757,1.2477,1.2477,111655
1736287200,1.24753,1.24942,1.23209,1.23631,119794
1736373600,1.23574,1.23662,1.22383,1.2306,106445
1736460000,1.23018,1.23219,1.21912,1.22064,124660
1736719200,1.21972,1.22103,1.20995,1.2203,127499
1736805600,1.2196,1.22503,1.21375,1.22155,130364
1736892000,1.22124,1.2306,1.21577,1.22434,113717
1736978400,1.22353,1.22604,1.21749,1.22378,124435
1737064800,1.22338,1.22441,1.21605,1.21695,107843
1737324000,1.21656,1.23445,1.21608,1.2327,112472
1737410400,1.23236,1.23601,1.22293,1.23537,139027
1737496800,1.23446,1.23762,1.23074,1.23159,116392
1737583200,1.23092,1.23757,1.22935,1.23521,112921
1737669600,1.23467,1.25016,1.23467,1.24815,119590
1737928800,1.24664,1.25233,1.2426,1.24994,133906
1738015200,1.24948,1.24978,1.24146,1.24421,120007
1738101600,1.2437,1.24633,1.23933,1.24491,125779
1738188000,1.24443,1.24765,1.24077,1.24168,116285
1738274400,1.2413,1.24718,1.23861,1.23879,130823
1738533600,1.22939,1.24546,1.22496,1.24494,179836
1738620000,1.24493,1.24932,1.23793,1.24809,125641
1738706400,1.24756,1.255,1.24633,1.25039,111268
1738792800,1.25046,1.25098,1.23604,1.24345,107318
1738879200,1.2431,1.24921,1.23761,1.24005,113774
1739138400,1.23692,1.24224,1.23631,1.23663,99476
1739224800,1.2362,1.24547,1.23327,1.24466,92977
1739311200,1.24358,1.24838,1.23754,1.24432,117985
1739397600,1.2439,1.2568,1.2436,1.25659,128328
1739484000,1.25575,1.26305,1.25487,1.25856,104883
1739743200,1.25698,1.26349,1.25698,1.26254,83132
1739829600,1.26168,1.26243,1.25826,1.26135,101029
1739916000,1.26108,1.26387,1.25631,1.25852,112848
1740002400,1.25762,1.26713,1.25762,1.26691,116367
1740088800,1.26631,1.26786,1.2625,1.26314,118549
1740348000,1.26278,1.26907,1.2612,1.26244,126100
1740434400,1.26224,1.26776,1.26059,1.26662,127932
1740520800,1.26619,1.27158,1.26355,1.26767,121135
1740607200,1.26721,1.26887,1.2598,1.26006,126927
1740693600,1.25938,1.26219,1.25594,1.2577,129715
1740952800,1.2581,1.27245,1.25594,1.27011,141440
1741039200,1.2694,1.27997,1.26788,1.2795,161738
1741125600,1.27902,1.29009,1.27677,1.28957,163097
1741212000,1.28927,1.29239,1.28658,1.28816,164475
1741298400,1.2875,1.29448,1.28722,1.29214,144859
1741554000,1.2914,1.29466,1.28616,1.28781,140652
1741640400,1.2873,1.29657,1.28726,1.29497,145840
1741726800,1.29434,1.29866,1.29134,1.29626,126924
1741813200,1.29571,1.29736,1.2921,1.29505,117768
1741899600,1.29432,1.29588,1.2911,1.29363,121173
1742158800,1.29175,1.29988,1.29168,1.29901,95668
1742245200,1.29877,1.30098,1.29515,1.30012,101375
1742331600,1.2998,1.30112,1.2955,1.30031,103680
1742418000,1.29944,1.30151,1.2936,1.29664,101263
1742504400,1.29642,1.29706,1.28879,1.29119,95673
1742763600,1.28883,1.29743,1.28883,1.29225,107529
1742850000,1.29205,1.29668,1.29018,1.29445,94130
1742936400,1.29405,1.29495,1.28745,1.28881,95613
1743022800,1.2887,1.29921,1.28709,1.29489,88296
1743109200,1.29453,1.29683,1.29225,1.29421,77287
1743368400,1.29307,1.29727,1.28864,1.29164,91724
1743454800,1.29108,1.29407,1.28794,1.2923,89853
1743541200,1.29176,1.30247,1.29004,1.30102,89976
1743627600,1.29961,1.32072,1.29725,1.31009,168622
1743714000,1.30877,1.31137,1.28532,1.28922,191681
1743973200,1.28187,1.29339,1.27081,1.27235,219209
1744059600,1.27156,1.28147,1.27154,1.2765,167158
1744146000,1.2753,1.28638,1.27432,1.28248,206070
1744232400,1.28084,1.2996,1.28007,1.29697,176527
1744318800,1.29627,1.31451,1.29627,1.30787,199742
1744578000,1.30923,1.3201,1.3063,1.319,136280
1744664400,1.31815,1.3252,1.31639,1.3231,106432
1744750800,1.3218,1.32922,1.32122,1.32402,114939
1744837200,1.32262,1.32732,1.32029,1.32678,104622
1744923600,1.3248,1.32989,1.3245,1.32948,245110
1745182800,1.32757,1.34221,1.3269,1.33795,98576
1745269200,1.33646,1.34239,1.3326,1.33316,110126
1745355600,1.33243,1.33388,1.32336,1.32532,130312
1745442000,1.32528,1.33489,1.32439,1.33384,90535
1745528400,1.33385,1.33397,1.32739,1.33099,83523
1745787600,1.32945,1.34439,1.328,1.34425,87113
1745874000,1.34229,1.34435,1.33803,1.34068,88030
1745960400,1.33978,1.34149,1.33091,1.33304,105268
1746046800,1.333,1.33455,1.32604,1.32779,98276
1746133200,1.32715,1.33308,1.32605,1.32709,115441
1746392400,1.32583,1.33365,1.32566,1.32966,96460
1746478800,1.32942,1.34024,1.32602,1.33685,102828
1746565200,1.3366,1.3378,1.32801,1.32909,115850
1746651600,1.32864,1.33563,1.32365,1.32448,118728
1746738000,1.32439,1.33227,1.32121,1.33006,90221
1746997200,1.32578,1.32993,1.314,1.31761,123210
1747083600,1.31676,1.33161,1.31671,1.33039,103469
1747170000,1.33026,1.33604,1.32534,1.32597,112403
1747256400,1.32528,1.33199,1.32528,1.33041,104873
1747342800,1.32985,1.33328,1.32507,1.3283,95827
1747602000,1.32685,1.3404,1.32644,1.3361,106645
1747688400,1.33576,1.3395,1.33349,1.33932,105037
1747774800,1.33842,1.34688,1.33778,1.34194,116999
1747861200,1.34149,1.34411,1.33909,1.34179,112872
1747947600,1.34176,1.35394,1.34081,1.35375,103049
1748206800,1.35209,1.35934,1.35209,1.35631,73159
1748293200,1.35585,1.35869,1.35004,1.3507,96353
1748379600,1.35008,1.35225,1.34501,1.34697,97788
1748466000,1.34643,1.35072,1.34156,1.34913,115476
1748552400,1.3485,1.35112,1.3448,1.3455,107686
1748811600,1.34616,1.35598,1.34479,1.35439,102544
1748898000,1.35378,1.35595,1.3492,1.35181,94852
1748984400,1.3512,1.35801,1.3501,1.35529,97132
1749070800,1.35505,1.36167,1.35408,1.35698,104272
1749157200,1.35649,1.35847,1.35077,1.35261,99496
1749416400,1.35192,1.35815,1.35162,1.35502,74544
1749502800,1.3544,1.35644,1.34564,1.34978,95105
1749589200,1.34956,1.35673,1.34645,1.35474,97773
1749675600,1.35398,1.36235,1.35228,1.36126,110030
1749762000,1.361,1.36327,1.35164,1.35736,123528
1750021200,1.35588,1.36224,1.35349,1.35764,112953
1750107600,1.35752,1.358,1.34154,1.34282,120945
1750194000,1.34204,1.34766,1.34008,1.34205,118789
1750280400,1.34168,1.347,1.33827,1.34676,100663
1750366800,1.34546,1.35109,1.34401,1.34463,108063
1750626000,1.3398,1.35309,1.33704,1.35238,136418
1750712400,1.35174,1.36483,1.35134,1.36146,118088
1750798800,1.36104,1.36714,1.35907,1.36636,98138
1750885200,1.36592,1.37708,1.36482,1.37274,120147
1750971600,1.37248,1.37526,1.36829,1.37204,111767
1751230800,1.36978,1.37406,1.36743,1.37341,107973
1751317200,1.37238,1.37887,1.37037,1.3746,107876
1751403600,1.37408,1.37526,1.35629,1.36334,104237
1751490000,1.36341,1.36757,1.35859,1.36539,98180
1751576400,1.3655,1.36815,1.36351,1.36424,98739
1751835600,1.3648,1.36578,1.35753,1.36007,103860
1751922000,1.35994,1.36464,1.35257,1.35922,105567
1752008400,1.35836,1.36198,1.35645,1.35856,95114
1752094800,1.35837,1.36196,1.35332,1.35795,87152
1752181200,1.35693,1.35855,1.34814,1.3489,106250
1752440400,1.3483,1.35044,1.34245,1.34267,95052
1752526800,1.34221,1.34673,1.33789,1.33843,98707
1752613200,1.33831,1.34857,1.3365,1.34195,112442
1752699600,1.34162,1.34209,1.33741,1.34176,97597
1752786000,1.34101,1.34752,1.34053,1.34059,87007
1753045200,1.34136,1.35105,1.34021,1.34915,88182
1753131600,1.34881,1.35337,1.34615,1.35335,89891
1753218000,1.35291,1.35839,1.35152,1.35797,104860
1753304400,1.35756,1.35888,1.35028,1.35068,101441
1753390800,1.35102,1.35125,1.34163,1.34313,101343
1753650000,1.3421,1.34528,1.33514,1.33542,107884
1753736400,1.33557,1.3364,1.33079,1.335,107434
1753822800,1.33461,1.33858,1.32276,1.32367,119191
1753909200,1.32355,1.32821,1.31857,1.32031,116988
1753995600,1.32058,1.33107,1.31414,1.32764,133711
1754254800,1.3282,1.33308,1.32536,1.32839,125702
1754341200,1.32844,1.33164,1.32595,1.33005,116113
1754427600,1.32971,1.33683,1.32811,1.33569,106075
1754514000,1.3354,1.34482,1.33458,1.34426,115085
1754600400,1.34416,1.34587,1.34179,1.34473,101004
1754859600,1.34398,1.34767,1.33991,1.34316,89036
1754946000,1.34246,1.35238,1.3419,1.34994,113425
1755032400,1.34991,1.35848,1.34917,1.35768,95671
1755118800,1.35701,1.35948,1.35209,1.35295,105023
1755205200,1.35295,1.35749,1.3522,1.35548,86075
1755464400,1.3545,1.35653,1.35021,1.3503,88735
1755550800,1.35078,1.35312,1.34778,1.34921,92690
1755637200,1.34885,1.35095,1.34477,1.34545,100831
1755723600,1.3456,1.34829,1.34057,1.3413,100989
1755810000,1.34082,1.35441,1.33906,1.35285,106158
1756069200,1.35095,1.35274,1.34462,1.34518,96615
1756155600,1.34503,1.34931,1.34348,1.34772,119569
1756242000,1.34772,1.35019,1.34166,1.34982,99792
1756328400,1.34921,1.35307,1.34829,1.35115,100720
1756414800,1.35091,1.35169,1.34464,1.35042,103356
1756674000,1.34881,1.355,1.34875,1.35439,81969
1756760400,1.35416,1.35496,1.33405,1.3394,128948
1756846800,1.33886,1.34583,1.33333,1.34456,113320
1756933200,1.34418,1.34592,1.34165,1.34352,104554
1757019600,1.34276,1.35547,1.34218,1.35047,118700
1757278800,1.34956,1.35564,1.34824,1.35441,110015
1757365200,1.35444,1.35905,1.35182,1.35269,112208
1757451600,1.35232,1.35641,1.35132,1.35305,112023
1757538000,1.35241,1.35829,1.34941,1.3572,114126
1757624400,1.3572,1.35805,1.35243,1.35569,109086
1757883600,1.35465,1.36198,1.35412,1.35977,106625
1757970000,1.35983,1.36719,1.35944,1.36449,107167
1758056400,1.36453,1.37265,1.36196,1.36229,98534
1758142800,1.36245,1.36606,1.35342,1.35524,118176
1758229200,1.35496,1.35595,1.34631,1.34704,124543
1758488400,1.34632,1.35204,1.34531,1.35119,106571
1758574800,1.35062,1.35366,1.3487,1.35253,123116
1758661200,1.35182,1.35286,1.34266,1.3447,108265
1758747600,1.34411,1.34669,1.33238,1.33418,123270
1758834000,1.33351,1.34131,1.33293,1.33997,110941
1759093200,1.33859,1.3457,1.33857,1.34306,104712
1759179600,1.34248,1.3467,1.34136,1.34439,112857
1759266000,1.34439,1.35275,1.34348,1.34764,123762
1759352400,1.34755,1.35103,1.34009,1.34384,105429
1759438800,1.34307,1.34862,1.34289,1.34781,102727
1759698000,1.3431,1.349,1.34168,1.34844,126389
1759784400,1.34836,1.34873,1.33921,1.34227,109867
1759870800,1.34256,1.34386,1.33711,1.34029,116470
1759957200,1.34011,1.34193,1.32797,1.33017,128913
1760043600,1.3296,1.33704,1.32619,1.33488,132896
1760302800,1.33415,1.33665,1.33151,1.3333,123820
1760389200,1.33271,1.33527,1.32486,1.33184,141592
1760475600,1.3321,1.34077,1.33146,1.34029,122984
1760562000,1.33938,1.34547,1.33891,1.34353,131874
1760648400,1.34334,1.34716,1.33911,1.34241,124706
1760907600,1.34254,1.34433,1.34001,1.34036,94560
1760994000,1.34028,1.34163,1.33612,1.3369,114482
1761080400,1.33693,1.33872,1.33058,1.33555,109628
1761166800,1.33542,1.336,1.33079,1.33254,81478
1761253200,1.33218,1.33592,1.32877,1.33101,105119
1761512400,1.33162,1.33533,1.33108,1.33344,93073
1761598800,1.33339,1.33699,1.32476,1.32694,105180
1761685200,1.32693,1.32807,1.31406,1.31941,119170
1761771600,1.31922,1.32191,1.31165,1.31486,115983
1761858000,1.31439,1.3165,1.30971,1.31486,94267
1762120800,1.31258,1.31624,1.31083,1.31385,85915
1762207200,1.31404,1.31404,1.30102,1.30196,98241
1762293600,1.30199,1.30544,1.30103,1.30516,89893
1762380000,1.30472,1.31427,1.30451,1.31368,98974
1762466400,1.31245,1.31748,1.30948,1.31611,98427
1762725600,1.3145,1.31912,1.31365,1.31743,96719
1762812000,1.31724,1.31845,1.31167,1.31488,100405
1762898400,1.31506,1.31555,1.30846,1.31326,92676
1762984800,1.313,1.32155,1.31006,1.31899,114166
1763071200,1.31866,1.32007,1.31082,1.31682,118117
1763330400,1.31485,1.31933,1.3136,1.31534,96074
1763416800,1.31568,1.31771,1.3134,1.31447,112748
1763503200,1.31469,1.31556,1.30437,1.30581,111450
1763589600,1.30578,1.31241,1.30381,1.30721,111046
1763676000,1.30707,1.31098,1.30389,1.31005,129120
1763935200,1.30941,1.31179,1.30808,1.3104,103204
1764021600,1.31042,1.32144,1.30957,1.31644,109737
1764108000,1.31649,1.32438,1.31247,1.32428,124706
1764194400,1.32304,1.32685,1.32102,1.32389,78935
1764280800,1.32371,1.32546,1.32012,1.32364,159208
1764540000,1.32244,1.32753,1.32056,1.3212,123091
1764626400,1.32137,1.32218,1.31797,1.32119,91447
1764712800,1.32119,1.33533,1.3198,1.33525,92457
1764799200,1.33497,1.33855,1.33212,1.33265,91810
1764885600,1.33263,1.33624,1.33159,1.33299,91520
1765144800,1.33165,1.33469,1.33058,1.33213,99096
1765231200,1.33213,1.33562,1.32874,1.32977,105285
1765317600,1.3298,1.33887,1.32938,1.338,113204
1765404000,1.33817,1.34383,1.33546,1.33862,113799
1765490400,1.33861,1.33999,1.33423,1.33672,106654
1765749600,1.33712,1.34015,1.33543,1.33768,98190
1765836000,1.33702,1.3456,1.33553,1.34193,126893
1765922400,1.3421,1.34271,1.33117,1.33746,114631
1766008800,1.33755,1.34463,1.33394,1.33816,114082
1766095200,1.33786,1.33942,1.33571,1.33737,107185
1766354400,1.3377,1.34776,1.33717,1.34621,103531
1766440800,1.3457,1.35236,1.34561,1.35168,109995
1766527200,1.35016,1.35341,1.34921,1.35031,116118
1766700000,1.35152,1.35272,1.34774,1.34944,88605
1766959200,1.34835,1.35155,1.34692,1.35131,114211
1767045600,1.35061,1.35306,1.34495,1.34678,94535
1767132000,1.3465,1.34836,1.34019,1.34729,103314
1767304800,1.34641,1.35019,1.34339,1.34587,95920
1767564000,1.34455,1.35484,1.34141,1.35419,118051
1767650400,1.35395,1.35678,1.34916,1.35017,109835
1767736800,1.34997,1.3517,1.34556,1.34566,103683
1767823200,1.34564,1.34656,1.34157,1.34399,98489
1767909600,1.34332,1.3451,1.33925,1.33977,112041
1768168800,1.33943,1.3486,1.3391,1.34641,103875
1768255200,1.34626,1.34947,1.34206,1.3421,103165
1768341600,1.34213,1.34643,1.3419,1.34467,93953
1768428000,1.34376,1.34448,1.33627,1.33816,94976
1768514400,1.33769,1.34132,1.33662,1.33756,87828
1768773600,1.33441,1.34349,1.33406,1.3425,84330
1768860000,1.34217,1.34916,1.34102,1.34419,116382
1768946400,1.34411,1.3459,1.34013,1.34301,115570
1769032800,1.34257,1.35071,1.34017,1.3501,104756
1769119200,1.34938,1.36457,1.34824,1.36419,115157
1769378400,1.36612,1.37131,1.36429,1.36776,129920
1769464800,1.36771,1.38689,1.3664,1.38473,136654
1769551200,1.38468,1.38469,1.37497,1.38065,145244
1769637600,1.38054,1.38476,1.37424,1.3809,155530
1769724000,1.38032,1.38145,1.36794,1.36841,167803
1769983200,1.36876,1.37153,1.3623,1.36681,164595
1770069600,1.36632,1.37072,1.36506,1.36977,131862
1770156000,1.36923,1.37333,1.36424,1.36521,125582
1770242400,1.36563,1.36626,1.35177,1.35297,142873
1770328800,1.35341,1.36234,1.35086,1.36092,111255
1770588000,1.35912,1.37003,1.35862,1.36949,122084
1770674400,1.36861,1.36968,1.36376,1.36414,106826
1770760800,1.36501,1.37124,1.36098,1.36279,123885
1770847200,1.36229,1.36715,1.36046,1.3622,123338
1770933600,1.36147,1.36592,1.35906,1.36536,115277
1771192800,1.3639,1.36619,1.36247,1.36286,67949
