time,open,high,low,close,volume
1725847200,0.3778,0.3779,0.3772,0.3775,281448.8
1725847500,0.3777,0.3778,0.3758,0.3764,327327.8
1725847800,0.3763,0.377,0.3762,0.3769,85167.3
1725848100,0.3768,0.3769,0.3758,0.3759,63442.4
1725848400,0.376,0.3762,0.3759,0.376,10888.2
1725848700,0.376,0.3761,0.3757,0.3759,70298.6
1725849000,0.376,0.376,0.3754,0.3755,68780.6
1725849300,0.3755,0.3756,0.3751,0.3755,81749
1725849600,0.3756,0.3766,0.3755,0.3762,88595.1
1725849900,0.3762,0.3765,0.3762,0.3764,11257.4
1725850200,0.3764,0.3768,0.3763,0.3766,45676.8
1725850500,0.3766,0.3769,0.3765,0.3765,38285.8
1725850800,0.3766,0.3767,0.3758,0.3759,100296.2
1725851100,0.3759,0.376,0.3756,0.3757,32151.2
1725851400,0.3757,0.3759,0.3753,0.3754,248770.3
1725851700,0.3754,0.3756,0.3744,0.3744,195513.4
1725852000,0.3744,0.3745,0.3734,0.3737,131025.9
1725852300,0.3738,0.3747,0.3738,0.3745,38244
1725852600,0.3745,0.3751,0.3742,0.3748,176286.8
1725852900,0.3749,0.3753,0.3747,0.3751,120348.4
1725853200,0.375,0.3769,0.375,0.3768,157577.7
1725853500,0.3768,0.377,0.3761,0.3764,190697.6
1725853800,0.3763,0.3764,0.3756,0.3756,213035.8
1725854100,0.3756,0.3757,0.3754,0.3755,70641.5
1725854400,0.3755,0.376,0.3755,0.3758,47189.6
1725854700,0.3757,0.3759,0.3754,0.3757,55935.5
1725855000,0.3755,0.3758,0.3754,0.3755,34679.2
1725855300,0.3755,0.3756,0.3748,0.3748,73929.3
1725855600,0.3749,0.3752,0.3746,0.3748,28744.2
1725855900,0.3748,0.3748,0.3742,0.3743,14933.6
1725856200,0.3744,0.3755,0.3743,0.3748,198544.8
1725856500,0.3747,0.375,0.3745,0.3748,66054.5
1725856800,0.3748,0.3749,0.3746,0.3748,37890.4
1725857100,0.3748,0.3751,0.3746,0.375,51742.6
1725857400,0.3749,0.3756,0.3749,0.3754,147043.1
1725857700,0.3754,0.3759,0.3751,0.3754,115226.8
1725858000,0.3753,0.3754,0.3742,0.3751,170470.5
