time,open,high,low,close,volume
1775332800,1.27,1.273,1.252,1.255,989414.4
1775347200,1.256,1.266,1.253,1.261,1112168.9
1775361600,1.261,1.271,1.238,1.24,1624830.1
1775376000,1.24,1.25,1.239,1.247,709218.2
1775390400,1.247,1.263,1.234,1.247,1749275.7
1775404800,1.247,1.251,1.227,1.233,635176.7
1775419200,1.233,1.252,1.224,1.248,1632897.1
1775433600,1.248,1.277,1.247,1.274,1742827.1
1775448000,1.274,1.28,1.263,1.269,1357553.8
1775462400,1.268,1.301,1.268,1.295,1895210.4
1775476800,1.296,1.302,1.271,1.279,1994074
1775491200,1.279,1.286,1.267,1.274,1138977
1775505600,1.273,1.28,1.237,1.248,2293736.7
1775520000,1.248,1.25,1.23,1.24,1304786
1775534400,1.24,1.242,1.226,1.236,1173137.3
1775548800,1.236,1.256,1.234,1.236,1260979.5
1775563200,1.236,1.249,1.221,1.239,1961094
1775577600,1.238,1.266,1.234,1.262,2035254.1
1775592000,1.262,1.34,1.262,1.31,6040573.2
1775606400,1.309,1.313,1.285,1.299,2087163.9
1775620800,1.299,1.352,1.298,1.351,4775917.1
1775635200,1.351,1.378,1.34,1.36,5543160.5
1775649600,1.36,1.392,1.345,1.35,5816561.9
1775664000,1.35,1.368,1.34,1.345,2196957.4
1775678400,1.345,1.355,1.328,1.33,2650783
1775692800,1.33,1.343,1.32,1.331,3609829.8
1775707200,1.33,1.356,1.327,1.35,2327246.7
1775721600,1.349,1.35,1.327,1.329,1359087.7
1775736000,1.33,1.392,1.324,1.38,4305396.4
1775750400,1.381,1.392,1.349,1.362,3439641.7
1775764800,1.362,1.388,1.352,1.366,2910640.6
1775779200,1.366,1.378,1.352,1.357,2754153.9
1775793600,1.358,1.377,1.348,1.356,1912927.9
1775808000,1.356,1.384,1.345,1.365,2063517.5
1775822400,1.364,1.395,1.354,1.377,3032491.1
1775836800,1.376,1.381,1.36,1.378,1396846.8
1775851200,1.378,1.38,1.347,1.361,1774187.5
1775865600,1.361,1.365,1.339,1.353,1271942.4
1775880000,1.354,1.355,1.331,1.34,1246755
1775894400,1.34,1.353,1.339,1.352,832921.9
1775908800,1.352,1.369,1.348,1.367,1084388.4
1775923200,1.368,1.422,1.367,1.408,4106679.5
1775937600,1.408,1.425,1.394,1.402,2646532.4
1775952000,1.403,1.407,1.335,1.343,2883017.4
1775966400,1.343,1.345,1.33,1.336,1108023.6
1775980800,1.336,1.342,1.323,1.332,1699511.1
1775995200,1.331,1.353,1.329,1.336,2231779.8
1776009600,1.335,1.368,1.334,1.356,1303975.7
1776024000,1.357,1.369,1.343,1.346,1770366.1
1776038400,1.347,1.388,1.345,1.368,2979133.7
1776052800,1.368,1.395,1.349,1.387,2907659.9
1776067200,1.387,1.395,1.37,1.38,2491404.5
1776081600,1.38,1.41,1.364,1.377,4163381.4
1776096000,1.377,1.414,1.374,1.408,1981051.6
1776110400,1.407,1.421,1.386,1.419,2505402.7
1776124800,1.419,1.423,1.404,1.41,2213109
1776139200,1.409,1.434,1.399,1.433,2006401.8
1776153600,1.434,1.439,1.399,1.405,2727546.1
1776168000,1.404,1.415,1.369,1.384,5028294.9
1776182400,1.383,1.389,1.356,1.37,3179754.7
1776196800,1.37,1.373,1.351,1.36,1487425.2
1776211200,1.36,1.371,1.358,1.367,1277596.6
