time,open,high,low,close,volume
1779469200,0.80896,0.80989,0.80792,0.8081,19712
1779656400,0.80998,0.81152,0.80902,0.81058,13212
1779670800,0.81059,0.81144,0.81025,0.81125,16833
1779685200,0.81123,0.81159,0.81006,0.81104,17070
1779699600,0.81105,0.81167,0.81069,0.81116,12254
1779714000,0.81114,0.81132,0.81,0.81054,14260
1779728400,0.81054,0.81077,0.81029,0.81048,6362
1779742800,0.81024,0.81047,0.80846,0.80879,12313
1779757200,0.80878,0.8089,0.80756,0.8079,18024
1779771600,0.80789,0.80839,0.80657,0.80673,21272
1779786000,0.80671,0.80731,0.80645,0.80695,18435
1779800400,0.80692,0.80715,0.80523,0.80581,25557
1779814800,0.80582,0.80646,0.80573,0.80601,14925
1779829200,0.80575,0.80724,0.8055,0.80707,10728
1779843600,0.80702,0.81175,0.80638,0.81158,20548
1779858000,0.81155,0.81282,0.81068,0.81275,20786
1779872400,0.81274,0.81635,0.81256,0.81522,21967
1779886800,0.81516,0.8172,0.81465,0.81485,30348
1779901200,0.81483,0.81674,0.81412,0.81673,16727
1779915600,0.81556,0.81716,0.81503,0.81702,13199
1779930000,0.81704,0.81837,0.81272,0.81299,24114
1779944400,0.81301,0.81586,0.81301,0.81585,22306
