time,open,high,low,close,volume
1779483360,0.58476,0.58477,0.58471,0.58471,10
1779656460,0.58724,0.58725,0.58682,0.58725,27
1779656520,0.58718,0.58725,0.58682,0.58725,23
1779656580,0.58682,0.58725,0.58682,0.58725,10
1779656700,0.58595,0.58739,0.58595,0.58739,12
1779656760,0.58739,0.58739,0.58739,0.58739,2
1779656880,0.58734,0.58739,0.58734,0.58739,2
1779657000,0.58706,0.58727,0.58706,0.5871,7
1779657060,0.58715,0.58715,0.58684,0.58684,10
1779657120,0.58684,0.58684,0.58684,0.58684,3
1779657180,0.58684,0.58684,0.58684,0.58684,1
1779657240,0.58695,0.58718,0.58694,0.58718,7
1779657300,0.58718,0.58718,0.58718,0.58718,2
1779657360,0.58718,0.58718,0.58718,0.58718,2
1779657540,0.58718,0.58718,0.58717,0.58718,7
1779657600,0.58717,0.58718,0.58711,0.58711,8
1779657720,0.58712,0.58712,0.58711,0.58712,4
1779657780,0.58711,0.58711,0.58705,0.58705,2
1779657840,0.58707,0.58709,0.58707,0.58709,3
1779657900,0.5871,0.58712,0.5871,0.58712,3
1779657960,0.58711,0.58711,0.58708,0.58709,5
1779658020,0.5871,0.58712,0.58705,0.58705,4
1779658080,0.58705,0.58705,0.58705,0.58705,3
1779658200,0.58706,0.58706,0.58706,0.58706,2
1779658260,0.58689,0.58689,0.58684,0.58686,13
1779658320,0.58687,0.58689,0.58687,0.58689,3
1779658380,0.58689,0.58695,0.58689,0.58691,8
1779658440,0.58691,0.58692,0.5869,0.58692,4
1779658500,0.58692,0.58698,0.58692,0.58698,3
1779658560,0.58699,0.58699,0.58697,0.58699,7
1779658620,0.58699,0.58704,0.58699,0.58704,5
1779658680,0.58703,0.58704,0.58702,0.58704,6
1779658740,0.58703,0.58703,0.58697,0.58697,4
1779658800,0.58696,0.58697,0.58695,0.58697,6
1779658860,0.58696,0.58697,0.58695,0.58695,3
1779658980,0.58694,0.58694,0.58694,0.58694,2
1779659040,0.58694,0.58695,0.58694,0.58694,3
1779659100,0.58696,0.5871,0.5869,0.58692,37
1779659160,0.58678,0.587,0.58678,0.587,22
1779659220,0.58701,0.58701,0.58683,0.58684,20
1779659280,0.58685,0.58686,0.58683,0.58685,7
1779659340,0.58689,0.58689,0.58688,0.58688,3
1779659400,0.58687,0.58687,0.58683,0.58686,6
1779659460,0.58685,0.58685,0.58685,0.58685,3
1779659520,0.58686,0.58686,0.58685,0.58685,5
1779659580,0.58669,0.58669,0.58669,0.58669,2
1779659640,0.58669,0.58669,0.58666,0.58667,4
1779659700,0.58663,0.58666,0.58663,0.58666,3
1779659760,0.58666,0.58666,0.58666,0.58666,3
1779659820,0.58668,0.58668,0.58667,0.58667,4
1779659940,0.58669,0.58669,0.58663,0.58664,8
1779660000,0.58709,0.58731,0.58696,0.5873,90
1779660060,0.58729,0.58741,0.58726,0.58732,94
1779660120,0.58732,0.58736,0.58714,0.58723,68
1779660180,0.58728,0.58735,0.58714,0.58727,83
1779660240,0.58729,0.5873,0.58727,0.58727,21
1779660300,0.58729,0.58747,0.58722,0.58746,79
1779660360,0.58747,0.58748,0.5874,0.58741,43
1779660420,0.58744,0.58746,0.58739,0.58743,35
1779660480,0.58743,0.58744,0.58735,0.58738,28
1779660540,0.58737,0.58746,0.58733,0.58746,53
1779660600,0.58745,0.58748,0.58738,0.58742,60
1779660660,0.58743,0.58745,0.58732,0.58732,40
1779660720,0.58731,0.58736,0.58729,0.58732,63
1779660780,0.58733,0.58746,0.58731,0.58743,74
1779660840,0.58743,0.58743,0.58735,0.58736,28
1779660900,0.58735,0.58751,0.58735,0.58741,62
1779660960,0.58737,0.58742,0.58728,0.5874,66
1779661020,0.58739,0.58741,0.58732,0.58735,56
1779661080,0.58734,0.58737,0.58731,0.58732,21
1779661140,0.58733,0.58738,0.58733,0.58738,35
1779661200,0.58739,0.5874,0.58729,0.58732,53
1779661260,0.5873,0.58736,0.58723,0.58728,46
1779661320,0.58729,0.58735,0.58728,0.58734,46
1779661380,0.58735,0.58743,0.58734,0.58736,50
1779661440,0.58735,0.5874,0.5872,0.58723,38
1779661500,0.58724,0.58735,0.58722,0.58733,38
1779661560,0.58733,0.58736,0.58727,0.58728,24
1779661620,0.58729,0.58748,0.58729,0.58748,52
1779661680,0.58746,0.58747,0.5874,0.5874,46
1779661740,0.58744,0.58744,0.58724,0.58729,64
1779661800,0.58731,0.58749,0.58731,0.58743,67
1779661860,0.58744,0.58755,0.58739,0.58751,96
1779661920,0.58749,0.58752,0.58741,0.58751,44
1779661980,0.5875,0.58756,0.58746,0.58746,47
1779662040,0.58747,0.58747,0.58738,0.58742,25
1779662100,0.58745,0.58745,0.58736,0.58737,80
1779662160,0.58736,0.58741,0.58733,0.5874,91
1779662220,0.5874,0.5874,0.58733,0.58736,43
1779662280,0.58736,0.58736,0.58732,0.58736,52
1779662340,0.58738,0.58741,0.58738,0.5874,11
1779662400,0.58741,0.58745,0.58738,0.58739,32
1779662460,0.58738,0.58742,0.58725,0.58741,63
1779662520,0.58741,0.5875,0.58739,0.58747,45
1779662580,0.58747,0.58751,0.58741,0.5875,51
1779662640,0.5875,0.58761,0.58749,0.58761,46
1779662700,0.5876,0.58766,0.5876,0.58766,45
1779662760,0.58765,0.58782,0.58765,0.58776,51
1779662820,0.58776,0.58778,0.58771,0.58777,37
1779662880,0.58776,0.58786,0.58776,0.58786,39
1779662940,0.58785,0.58787,0.58774,0.58787,44
1779663000,0.58788,0.58788,0.58784,0.58786,49
1779663060,0.58784,0.58787,0.58777,0.58781,41
1779663120,0.58782,0.58782,0.58775,0.58777,42
1779663180,0.58775,0.58782,0.58774,0.58777,46
1779663240,0.58776,0.58781,0.5877,0.58781,34
1779663300,0.58782,0.58782,0.58775,0.58778,24
1779663360,0.58776,0.58777,0.5876,0.58765,60
1779663420,0.58766,0.58767,0.58765,0.58766,13
1779663480,0.58765,0.58768,0.58764,0.58767,35
1779663540,0.58768,0.58775,0.58768,0.58775,29
1779663600,0.58776,0.58801,0.58776,0.58797,92
1779663660,0.58798,0.58802,0.58786,0.58789,81
1779663720,0.58788,0.58789,0.58786,0.58789,34
1779663780,0.58788,0.58792,0.58786,0.58789,51
1779663840,0.58789,0.58793,0.58787,0.58793,51
1779663900,0.58792,0.58793,0.58786,0.58787,40
1779663960,0.58785,0.58786,0.58783,0.58785,27
1779664020,0.58785,0.58792,0.58785,0.58789,58
1779664080,0.5879,0.58797,0.58788,0.58795,61
1779664140,0.58795,0.58795,0.58791,0.58794,45
1779664200,0.58794,0.58795,0.58789,0.5879,55
1779664260,0.58791,0.58792,0.58786,0.5879,51
1779664320,0.58791,0.58791,0.58786,0.58787,40
1779664380,0.58787,0.58788,0.58785,0.58786,24
1779664440,0.58787,0.58787,0.58784,0.58785,17
1779664500,0.58786,0.58786,0.58782,0.58786,33
1779664560,0.58782,0.58782,0.58777,0.5878,26
1779664620,0.5878,0.58783,0.58778,0.58782,29
1779664680,0.58779,0.5878,0.58774,0.58777,30
1779664740,0.58776,0.58783,0.58776,0.58779,11
1779664800,0.5878,0.5878,0.58773,0.58776,21
1779664860,0.58777,0.58782,0.58776,0.5878,36
1779664920,0.5878,0.58781,0.58778,0.58781,26
1779664980,0.58782,0.58788,0.58782,0.58785,30
1779665040,0.58785,0.58788,0.58783,0.58783,28
1779665100,0.58784,0.58784,0.58769,0.58772,49
1779665160,0.58773,0.58776,0.58771,0.58775,17
1779665220,0.58774,0.58779,0.58773,0.58777,31
1779665280,0.58778,0.58783,0.58775,0.58782,64
1779665340,0.58781,0.58783,0.58774,0.58774,35
1779665400,0.58775,0.58775,0.58761,0.58767,42
