time,open,high,low,close,volume
1778772000,82.32,82.36,82.23,82.35,8043
1778772300,82.4,82.4,82.235,82.25,7010
1778772600,82.25,82.275,82.12,82.15,8453
1778772900,82.17,82.24,82.145,82.24,9153
1778773200,82.245,82.38,82.23,82.38,7109
1778773500,82.3823,82.3823,82.35,82.355,9663
1778773800,82.365,82.395,82.33,82.33,7770
1778774100,82.32,82.33,82.23,82.23,9076
1778774400,82.24,82.27,82.23,82.27,9580
1778774700,82.255,82.31,82.25,82.31,14049
1778775000,82.31,82.31,82.25,82.28,8170
1778775300,82.25,82.325,82.25,82.31,155870
1778775600,82.325,82.37,82.29,82.37,13159
1778775900,82.3709,82.395,82.33,82.35,7102
1778776200,82.35,82.45,82.32,82.45,12743
1778776500,82.45,82.48,82.41,82.41,6813
1778776800,82.42,82.55,82.42,82.55,5573
1778777100,82.545,82.59,82.54,82.59,4982
1778777400,82.59,82.595,82.55,82.57,5520
1778777700,82.58,82.59,82.54,82.56,92818
1778778000,82.54,82.54,82.42,82.44,5931
1778778300,82.44,82.47,82.41,82.41,11394
1778778600,82.41,82.48,82.37,82.4,90761
1778778900,82.43,82.45,82.4,82.405,6730
1778779200,82.41,82.41,82.34,82.36,7782
1778779500,82.35,82.46,82.35,82.41,15801
1778779800,82.425,82.63,82.425,82.63,17257
1778780100,82.64,82.74,82.63,82.735,8855
1778780400,82.745,82.745,82.67,82.695,16651
1778780700,82.69,82.72,82.65,82.71,39386
1778781000,82.7,82.79,82.7,82.735,46754
1778781300,82.77,82.88,82.705,82.71,147143
1778844600,82.93,82.93,82.21,82.27,83099
1778844900,82.36,82.43,82,82.33,18437
1778845200,82.2951,82.2951,82.040001,82.040001,8604
1778845500,82.040001,82.26,82.019997,82.16,15511
1778845800,82.2,82.33,82.059998,82.15,13178
1778846100,82.040001,82.2,82.029999,82.155,5637
1778846400,82.225,82.225,82.018303,82.155,7853
1778846700,82.23,82.23,81.895,81.915,25627
1778847000,81.9,81.95,81.79,81.835,43868
1778847300,81.835,81.89,81.75,81.8,23766
1778847600,81.79,81.84,81.59,81.59,139133
1778847900,81.59,81.71,81.575,81.63,5627
1778848200,81.635,81.72,81.61,81.71,18614
1778848500,81.695,81.8,81.645,81.69,11502
1778848800,81.66,81.66,81.47,81.6,24744
1778849100,81.61,81.78,81.595,81.77,8409
1778849400,81.78,81.81,81.67,81.71,10124
1778849700,81.665,81.665,81.57,81.605,9680
1778850000,81.65,81.7,81.57,81.58,14257
1778850300,81.59,81.605,81.41,81.41,22828
1778850600,81.42,81.52,81.415,81.51,17413
1778850900,81.49,81.56,81.43,81.48,11134
1778851200,81.46,81.47,81.3,81.42,24970
1778851500,81.39,81.39,81.21,81.25,15986
1778851800,81.245,81.31,81.16,81.21,12215
1778852100,81.155,81.16,81.099998,81.135,12303
1778852400,81.13,81.14,81.019997,81.025002,26954
1778852700,81.040001,81.17,81.040001,81.15,19407
1778853000,81.145,81.21,81.11,81.13,11074
1778853300,81.13,81.21,81.059998,81.19,25684
1778853600,81.17,81.2,81.13,81.145,11439
1778853900,81.13,81.2,81.080002,81.080002,24578
1778854200,81.040001,81.16,80.98,81.14,58808
1778854500,81.099998,81.24,81.07,81.24,18228
1778854800,81.24,81.24,81.12,81.17,28526
1778855100,81.16,81.16,80.99,80.99,20113
1778855400,81,81.040001,80.935,80.935,17316
