time,open,high,low,close,volume
1779480000,1.38144,1.3824,1.38117,1.38206,2647
1779656400,1.37995,1.38074,1.37963,1.38047,587
1779660000,1.38106,1.38118,1.37993,1.3802,2348
1779663600,1.38019,1.38045,1.37984,1.38028,1837
1779667200,1.38028,1.3808,1.38016,1.38036,3583
1779670800,1.38035,1.3806,1.37956,1.37993,2861
1779674400,1.37992,1.38015,1.37961,1.38006,1876
1779678000,1.38005,1.38104,1.37994,1.38086,2481
1779681600,1.38086,1.38107,1.3805,1.38061,2017
1779685200,1.3806,1.38112,1.38038,1.381,2059
1779688800,1.38101,1.38138,1.38081,1.38099,2716
1779692400,1.38098,1.38206,1.38098,1.38156,3576
1779696000,1.38155,1.38204,1.38121,1.38128,3062
1779699600,1.38126,1.3816,1.38113,1.38144,1964
1779703200,1.38145,1.3816,1.38124,1.38147,1905
1779706800,1.38145,1.38181,1.38073,1.38114,2050
1779710400,1.38116,1.3814,1.38049,1.38069,2899
1779714000,1.3807,1.38106,1.3802,1.38092,3260
1779717600,1.38091,1.38097,1.37988,1.38009,3086
1779721200,1.3801,1.3803,1.37949,1.37972,3148
1779724800,1.37972,1.38041,1.37965,1.3803,1836
1779728400,1.38031,1.38053,1.3801,1.38033,935
1779732000,1.38031,1.38034,1.38019,1.38034,246
1779735600,1.38044,1.38049,1.37996,1.37999,896
1779739200,1.37999,1.38027,1.3799,1.38025,1100
1779742800,1.38012,1.38047,1.37952,1.38024,354
1779746400,1.38058,1.38059,1.38027,1.38034,759
1779750000,1.38033,1.38072,1.38025,1.38063,1265
1779753600,1.38062,1.3809,1.38033,1.38037,4059
1779757200,1.38039,1.38098,1.38025,1.38083,4356
1779760800,1.38082,1.38111,1.38071,1.38093,3282
1779764400,1.38092,1.38095,1.38065,1.38067,2858
1779768000,1.38067,1.38113,1.38064,1.38112,2206
1779771600,1.38114,1.38144,1.3811,1.38141,3230
1779775200,1.38142,1.38152,1.38074,1.38115,4164
1779782400,1.38046,1.38064,1.38012,1.38035,1215
1779786000,1.38029,1.38063,1.37996,1.37996,3374
1779789600,1.37998,1.38058,1.37993,1.38006,3760
1779793200,1.38004,1.38125,1.38,1.38123,3492
1779796800,1.38124,1.38212,1.38117,1.3818,3883
1779800400,1.3818,1.3819,1.38045,1.38068,4914
1779804000,1.38057,1.38117,1.37998,1.38066,6665
1779807600,1.38067,1.38147,1.38044,1.38047,5741
1779811200,1.38039,1.38134,1.38008,1.38123,4231
1779814800,1.38124,1.38197,1.38085,1.3818,3750
1779818400,1.38182,1.38188,1.38122,1.3813,3445
1779822000,1.38131,1.38168,1.38101,1.38101,2891
1779825600,1.38103,1.38139,1.38086,1.38113,1777
1779829200,1.38084,1.38109,1.3805,1.38076,337
1779832800,1.38103,1.38132,1.38085,1.38096,1087
1779836400,1.38096,1.38111,1.38039,1.38084,1099
1779840000,1.38084,1.38102,1.38037,1.38074,4025
1779843600,1.38074,1.38148,1.38065,1.38137,3891
1779847200,1.38137,1.38137,1.38084,1.38113,3310
1779850800,1.38112,1.38127,1.38078,1.3812,2848
1779854400,1.3812,1.38121,1.38088,1.38092,2801
1779858000,1.38093,1.38146,1.38083,1.38142,3039
1779861600,1.38142,1.38199,1.3813,1.38192,3686
1779865200,1.38188,1.38281,1.38158,1.38276,3552
1779868800,1.38276,1.38294,1.38222,1.38283,3405
1779872400,1.38283,1.38292,1.3821,1.3824,2631
1779876000,1.38241,1.38368,1.38237,1.38355,2951
1779879600,1.38356,1.38397,1.38318,1.38331,3489
1779883200,1.38327,1.38368,1.38204,1.3828,6807
1779886800,1.38282,1.38376,1.38245,1.38268,6415
1779890400,1.38266,1.3852,1.3823,1.38495,7035
1779894000,1.38494,1.38502,1.38297,1.38304,6525
1779897600,1.38303,1.38352,1.3824,1.38264,4215
1779901200,1.38263,1.38346,1.38263,1.38305,4322
1779904800,1.38306,1.38367,1.38305,1.38348,3577
1779908400,1.38347,1.38355,1.38286,1.3832,3120
1779912000,1.38321,1.38408,1.38291,1.38403,1668
1779915600,1.38363,1.384,1.38328,1.38399,844
1779919200,1.38409,1.38422,1.38367,1.38389,993
1779922800,1.38389,1.38449,1.38379,1.38448,2059
1779926400,1.38449,1.38497,1.38441,1.38478,4324
1779930000,1.38477,1.38547,1.38471,1.38539,3683
1779933600,1.3854,1.38555,1.38519,1.38524,3243
1779937200,1.38524,1.38696,1.38509,1.38691,4510
1779940800,1.38693,1.38698,1.38607,1.38616,3592
1779944400,1.38615,1.38649,1.38555,1.38584,3377
1779948000,1.38585,1.38592,1.38499,1.3852,4190
1779951600,1.38518,1.3858,1.38456,1.38549,4819
1779955200,1.38546,1.38628,1.3851,1.38601,4589
1779958800,1.38602,1.38686,1.38549,1.38659,4177
