time,open,high,low,close,volume
1779469200,159.172,159.205,159.063,159.198,15366
1779656400,158.738,158.968,158.702,158.897,9944
1779670800,158.896,158.915,158.758,158.862,10079
1779685200,158.864,159.04,158.846,158.917,13085
1779699600,158.915,158.959,158.881,158.902,10735
1779714000,158.906,158.95,158.884,158.897,11036
1779728400,158.898,158.933,158.887,158.918,4089
1779742800,158.856,158.992,158.797,158.969,7894
1779757200,158.971,159.02,158.912,159.002,10331
1779771600,159.009,159.239,158.972,159.227,12117
1779786000,159.211,159.228,159.108,159.227,14496
1779800400,159.232,159.379,159.227,159.309,17795
1779814800,159.308,159.379,159.286,159.297,9201
1779829200,159.267,159.309,159.177,159.281,6697
1779843600,159.279,159.305,159.188,159.243,11506
1779858000,159.244,159.443,159.23,159.394,13061
1779872400,159.394,159.449,159.25,159.417,16231
1779886800,159.419,159.537,159.37,159.498,21185
1779901200,159.497,159.579,159.493,159.514,10563
1779915600,159.462,159.601,159.402,159.557,6497
1779930000,159.559,159.653,159.523,159.576,13117
1779944400,159.577,159.581,159.441,159.456,14915
