time,open,high,low,close,volume
1779482700,3882.64,3886.01,3881.76,3884.88,1621
1779660000,3908.82,3916.44,3904.98,3914.15,3479
1779660900,3914.42,3914.95,3909.22,3910.59,3253
1779661800,3910.17,3917.64,3910.17,3914.63,2873
1779662700,3914.75,3921.07,3914.47,3920.74,2592
1779663600,3920.69,3929.83,3920.69,3928.34,2735
1779664500,3928.51,3931.14,3927.6,3928.66,2230
1779665400,3928.7,3932.92,3928.68,3930.75,2622
1779666300,3930.81,3931.64,3921.93,3922.91,2869
1779667200,3923.3,3931.01,3923.19,3928.64,3466
1779668100,3928.67,3930.16,3926.14,3927.47,3041
1779669000,3928.13,3930.38,3927.27,3927.74,2717
1779669900,3927.88,3931.46,3924.32,3926.84,3493
1779670800,3926.54,3931.74,3919.05,3921.34,4483
1779671700,3921.28,3928.67,3918.42,3927.3,3910
1779672600,3926.91,3928.25,3920.28,3920.39,3789
1779673500,3920.31,3923.9,3917.51,3920.35,3515
1779674400,3920.39,3923.81,3918.58,3919.15,3432
1779675300,3919.15,3919.76,3916.64,3919.44,2821
1779676200,3919.71,3925.57,3918.56,3925.53,3373
1779677100,3925.56,3926.07,3917.91,3919.46,3238
1779678000,3919.48,3921.52,3918.97,3921.23,3145
1779678900,3921.24,3921.97,3918.7,3919.08,3070
1779679800,3919.19,3921.31,3916.86,3917.08,2685
1779680700,3917.05,3919.75,3915.75,3918.37,2643
1779681600,3918.22,3920.86,3918.22,3919.54,2392
1779682500,3919.48,3923.58,3918.82,3923.06,2128
1779683400,3923.07,3923.23,3917.61,3919.55,2261
1779684300,3919.55,3921.19,3919.46,3920.99,1881
1779685200,3921,3921.55,3919.13,3919.55,2092
1779686100,3919.53,3919.68,3911.43,3911.48,2411
1779687000,3911.55,3917.19,3910.37,3914.03,3254
1779687900,3914.02,3914.49,3909.69,3912.09,3139
1779688800,3912.11,3914.32,3909.36,3912.03,3372
1779689700,3911.95,3914.9,3911.28,3912.96,3198
1779690600,3913.13,3914.86,3912.48,3914.25,2949
1779691500,3914.21,3919.96,3913.26,3919.38,3209
1779692400,3919.38,3921.93,3918.34,3919.23,3228
1779693300,3919.25,3919.7,3914.09,3914.78,3589
1779694200,3914.84,3919.77,3914.61,3918.95,3065
1779695100,3918.91,3923.51,3918.22,3922.52,2687
1779696000,3922.53,3923.59,3917.44,3918.66,2778
1779696900,3918.71,3918.82,3912.26,3913.17,2866
1779697800,3913.28,3915.1,3911.19,3912.18,2636
1779698700,3912.19,3913.47,3911.24,3912.98,2408
1779699600,3912.97,3915.01,3912.44,3913.19,2129
1779700500,3913.23,3915.88,3912.82,3915.82,1941
1779701400,3915.81,3921.51,3915.46,3920.96,2818
1779702300,3920.97,3924.99,3920.34,3923.57,2422
1779703200,3923.59,3927.26,3923.34,3926.81,2499
1779704100,3926.86,3927.99,3925.2,3926.22,2396
1779705000,3926.31,3928.16,3923.68,3925.03,2431
1779705900,3925.03,3927.03,3923.94,3924.01,1944
1779706800,3924,3927.57,3923.59,3927.36,1822
1779707700,3927.34,3929.55,3923.77,3926.08,2480
1779708600,3926.03,3929.2,3926.01,3926.74,2503
1779709500,3926.76,3928.57,3923.4,3924.34,2698
1779710400,3924.18,3924.48,3912.2,3912.43,3436
1779711300,3912.4,3916.83,3909.79,3916.62,3194
1779712200,3916.61,3923.28,3915.97,3919.61,3118
1779713100,3919.64,3922.32,3918.32,3921.37,2750
1779714000,3921.32,3924,3915.84,3918.91,3683
1779714900,3918.95,3919.67,3916.22,3917.72,3182
1779715800,3917.75,3921.6,3917.72,3921.25,3262
1779716700,3921.4,3921.57,3917.64,3920.61,2885
1779717600,3920.52,3925.82,3920.05,3924.44,3138
1779718500,3924.43,3925.79,3923.39,3923.98,2668
1779719400,3923.99,3924.16,3921.62,3922.06,2482
1779720300,3922.09,3923.76,3920.71,3922.73,2708
1779721200,3922.48,3926.85,3921.79,3924.83,3133
1779732900,3924.32,3925.48,3923.68,3925.48,445
1779746400,3927.13,3929.42,3925.86,3928.67,1681
1779747300,3928.72,3930.52,3928.26,3928.85,1624
1779748200,3928.83,3930.19,3925.83,3929.21,2081
1779749100,3929.16,3931.25,3928.87,3930.12,1765
1779750000,3929.88,3933.22,3928.59,3933.11,2001
1779750900,3933.09,3933.89,3923.59,3924.26,2471
1779751800,3924.41,3924.64,3913.81,3915.61,3390
1779752700,3915.69,3921.09,3915.5,3918.69,2776
1779753600,3918.95,3918.95,3908.43,3911.55,3966
1779754500,3911.6,3912.36,3902.77,3909.87,3600
1779755400,3909.83,3912.81,3904.87,3908.79,3226
1779756300,3908.67,3911.21,3901.05,3909.04,3573
1779757200,3909.11,3909.44,3903.45,3908.1,4126
1779758100,3907.97,3908.19,3903.22,3904.79,3614
1779759000,3904.75,3905.11,3892.54,3896.62,4301
1779759900,3896.65,3900.24,3891.95,3899.87,3628
1779760800,3899.91,3901.79,3898.5,3901.54,3051
1779761700,3901.7,3901.84,3899.65,3900.03,2439
1779762600,3899.86,3901.28,3897.04,3898.05,3132
1779763500,3898.01,3898.12,3894.15,3895.75,2975
1779764400,3895.74,3900.73,3895.57,3899.61,2689
1779765300,3899.59,3904.6,3899.53,3904.06,2755
1779766200,3904.07,3906.7,3900.39,3903.24,2345
1779767100,3903.17,3905.27,3902.73,3903.7,1823
1779768000,3903.73,3904.52,3898.89,3899.45,2152
1779768900,3899.55,3901.67,3896.25,3896.25,1919
1779769800,3896.32,3896.79,3890.26,3890.94,2655
1779770700,3890.91,3893.34,3889.28,3891.31,2506
1779771600,3891.2,3896.52,3889.26,3894.93,2925
1779772500,3894.8,3896.7,3894.45,3896.34,2185
1779773400,3896.21,3899.37,3893.42,3895,3588
1779774300,3894.96,3895.1,3889.93,3893.39,3515
1779775200,3893.43,3897.56,3893.31,3896.57,3379
1779776100,3896.61,3899.09,3893.04,3894.49,3254
1779777000,3894.46,3896.75,3892.75,3896.33,3345
1779777900,3896.41,3896.45,3891.81,3894.26,3323
1779782400,3900.01,3900.01,3890.07,3890.21,3390
1779783300,3890.24,3891.71,3884.13,3885.49,3252
1779784200,3885.39,3890.2,3883.61,3889.55,3357
1779785100,3889.49,3891.15,3884.56,3887.61,2991
1779786000,3887.96,3889.34,3883.24,3884.32,2898
1779786900,3884.29,3888.48,3882.37,3886.72,3400
1779787800,3886.7,3887,3874.06,3877.02,3630
1779788700,3876.99,3885.32,3876.99,3884.58,3385
1779789600,3884.85,3892.5,3882.27,3890.32,3523
1779790500,3890.41,3895.2,3888.62,3893.71,3279
1779791400,3893.74,3898.96,3893.12,3894.2,3599
1779792300,3894.35,3900.52,3894.07,3895.17,3399
1779793200,3895.27,3896.36,3891.96,3892.15,2878
1779794100,3892.2,3893.18,3885.33,3886.44,3356
1779795000,3886.22,3886.42,3866.32,3876.36,4318
1779795900,3876.32,3881.11,3865.93,3873.01,3870
1779796800,3872.93,3878.39,3872,3876.97,3870
1779797700,3876.98,3881.69,3864.46,3872.91,3557
1779798600,3872.88,3878.28,3868.38,3878.28,3890
1779799500,3878.27,3888.77,3877.32,3886.22,3987
1779800400,3886.06,3890.93,3881.76,3884.85,3930
1779801300,3884.85,3892.36,3884.47,3889.52,3705
1779802200,3889.48,3896.16,3888.76,3893.42,4424
1779803100,3893.48,3894.69,3881.8,3882.87,4390
1779804000,3883.44,3887.76,3877.97,3880.59,4399
1779804900,3880.42,3886.7,3879.27,3886.4,3946
1779805800,3886.54,3892.19,3885.59,3889.14,3987
1779806700,3889.11,3889.54,3882.08,3884.06,3944
1779807600,3884.11,3884.27,3878.88,3879.93,4139
1779808500,3879.91,3880.7,3877.12,3877.55,3961
1779809400,3877.75,3880.18,3875.52,3879.85,4104
1779810300,3879.87,3881.97,3877.77,3878.33,3899
1779811200,3878.62,3879.63,3871.93,3872.28,3632
1779812100,3872.19,3877.7,3870.49,3877.18,3493
1779813000,3877.17,3879.31,3876.21,3876.56,3492
1779813900,3876.54,3877.4,3874.27,3875.54,3253
1779814800,3875.59,3877.66,3873.54,3873.68,3075
1779815700,3873.69,3877.3,3871.69,3872.57,3330
1779816600,3872.48,3872.5,3868.96,3870.53,3549
1779817500,3870.54,3872.52,3862.04,3863.65,3268
1779818400,3863.32,3865.64,3855.95,3859.62,3710
1779819300,3859.75,3867.01,3859.21,3866.21,3292
1779820200,3866.12,3868.51,3865.28,3866.64,3073
1779821100,3866.62,3869.19,3866.62,3868.94,2807
1779822000,3868.9,3870.64,3867.96,3869.36,2664
1779822900,3869.39,3873.45,3869.31,3871.28,2794
1779823800,3871.25,3874.03,3870.24,3873.12,2654
1779824700,3873.09,3877.2,3872.48,3876.29,3112
1779825600,3876.42,3877.71,3873.92,3875.42,2081
1779826500,3875.5,3877.11,3874.22,3874.8,1612
1779827400,3874.88,3877.11,3874.25,3876.32,1269
1779828300,3876.43,3877.28,3871.99,3874.95,1695
1779832800,3877.66,3877.77,3865.48,3872.77,2674
1779833700,3872.83,3877.15,3870.63,3872.37,2501
1779834600,3872.35,3873.38,3866.91,3868.88,2187
1779835500,3868.94,3878.91,3867.98,3877.54,2046
1779836400,3877.52,3879.86,3874.64,3875.68,2000
1779837300,3875.66,3877.32,3871.37,3877.24,2238
1779838200,3877.35,3889.35,3876.62,3889.35,3113
1779839100,3889.33,3889.53,3883.01,3884.02,2579
1779840000,3883.74,3888.58,3882.11,3885.3,3061
1779840900,3885.24,3885.57,3878.31,3881.58,2936
1779841800,3881.62,3884.34,3880.71,3882.43,2452
1779842700,3882.46,3884.9,3879.21,3879.62,2786
1779843600,3879.42,3884.36,3877.68,3883.03,3841
1779844500,3883.07,3884.44,3879.43,3880.89,3101
1779845400,3880.79,3881.87,3875.74,3876.31,3187
1779846300,3876.39,3876.98,3873.95,3874.83,2965
1779847200,3874.89,3875.38,3868.84,3870.9,3222
1779848100,3870.93,3872.74,3866.09,3872.44,2656
1779849000,3872.53,3872.73,3866.69,3867.86,2784
1779849900,3867.67,3872.58,3866.23,3871.56,2379
1779850800,3871.5,3875.12,3870.73,3874.16,2570
1779851700,3874.23,3876.25,3871.14,3872.41,2423
1779852600,3872.45,3872.56,3868.38,3870.43,2081
1779853500,3870.43,3871.48,3863.63,3864,2139
1779854400,3863.94,3868.77,3863,3868.64,2314
1779855300,3868.73,3868.73,3865.92,3865.92,2138
1779856200,3865.88,3872.71,3864.36,3872.68,2433
1779857100,3872.72,3880.01,3872.72,3874.33,2598
1779858000,3874.33,3876.7,3872.61,3872.73,2445
1779858900,3872.76,3872.83,3868.85,3870.98,2672
1779859800,3870.78,3872.03,3858.56,3859.89,4227
1779860700,3859.9,3867.02,3858.71,3864.05,3993
1779861600,3864.11,3865.63,3861.06,3861.31,3835
1779862500,3861.31,3862.61,3852.52,3854.09,4080
1779863400,3854.19,3854.23,3847.86,3853.23,3991
1779864300,3853.31,3854.57,3850.36,3851.41,3463
1779865200,3852.18,3853.82,3847.24,3847.34,3466
1779866100,3847.46,3855.27,3847.46,3852.36,3197
1779867000,3852.39,3854.66,3847.74,3848.72,2941
1779867900,3848.73,3850.82,3843.85,3850.42,3380
1779868800,3849.84,3855.85,3849.84,3853.04,3512
1779869700,3853.12,3857.83,3852.47,3854.28,3288
1779870600,3854.28,3861.42,3852.4,3860.82,3161
1779871500,3860.82,3863.65,3858.58,3862.52,3238
1779872400,3862.55,3862.55,3855.05,3857.62,3168
1779873300,3857.59,3860.42,3855.16,3855.72,2822
1779874200,3855.74,3857.91,3853.04,3854.77,2704
1779875100,3854.72,3858.22,3854.49,3856,2395
1779876000,3856.02,3856.31,3851.11,3852.35,2778
1779876900,3852.35,3853.13,3846.64,3847.04,3247
1779877800,3847.03,3847.37,3834.44,3837.07,3940
1779878700,3836.91,3837.83,3816.03,3819.56,4413
1779879600,3820.5,3825.98,3818.6,3823.87,3831
1779880500,3823.76,3824.63,3811.47,3815.93,3931
1779881400,3815.88,3818.89,3808.51,3817.64,3978
1779882300,3817.55,3818.8,3802.8,3805.5,3945
1779883200,3805.63,3813.15,3805.39,3807.05,3970
1779884100,3807.06,3831.46,3805.13,3821.85,4591
1779885000,3821.71,3825.08,3813.24,3815.96,4448
1779885900,3816.07,3816.91,3809.61,3812.22,4118
1779886800,3811.81,3812.18,3788.45,3792.68,4662
1779887700,3792.51,3796.13,3780.78,3783.75,4625
1779888600,3784.87,3800.23,3784.87,3796.08,4758
1779889500,3795.84,3808.78,3795.25,3803.12,4637
1779890400,3803.77,3825.77,3802.16,3818.57,4590
1779891300,3818.8,3823.94,3811.88,3816.31,4527
1779892200,3815.84,3818.65,3808.7,3814.3,4456
1779893100,3814.29,3817.08,3811.39,3814.07,4365
1779894000,3813.98,3815.57,3806.96,3809.84,4230
1779894900,3809.71,3812.94,3807.97,3812.89,3941
1779895800,3813.8,3817.69,3811.67,3812.42,3953
1779896700,3812.54,3815.56,3810.63,3814.67,3726
1779897600,3814.65,3819.62,3814.14,3818.13,3663
1779898500,3818.21,3824.5,3817.73,3824.04,3418
1779899400,3823.75,3828.59,3822.96,3826.57,3424
1779900300,3827.01,3828.38,3825.36,3826.3,3336
1779901200,3826.31,3827.34,3821,3823.52,3812
1779902100,3823.49,3829.23,3822.78,3828.33,3452
1779903000,3828.48,3832.49,3828.28,3828.35,3241
1779903900,3828.34,3830.54,3827.53,3827.53,2777
1779904800,3827.08,3829.37,3826.11,3828.37,2877
1779905700,3828.43,3835.7,3828.16,3832.89,3263
1779906600,3832.92,3833.24,3829.27,3829.93,2586
1779907500,3829.91,3830.85,3828.7,3830.29,2336
1779908400,3830.29,3830.49,3826.88,3827.76,2378
1779909300,3827.73,3829.34,3826.22,3826.9,2352
1779910200,3826.88,3830.41,3826.26,3829.88,2465
1779911100,3829.86,3830.06,3826.14,3827.42,2708
1779912000,3827.49,3831.28,3826.85,3831.28,1985
1779912900,3831.32,3834.38,3830.94,3831.31,2155
1779913800,3831.16,3831.67,3828.57,3829.97,1455
1779914700,3830,3832.9,3829.21,3832.79,1167
1779919200,3837.98,3840.3,3831.75,3833.1,1686
1779920100,3833.1,3836.58,3831.98,3835.49,1726
1779921000,3835.35,3837.26,3831.37,3834.7,2009
1779921900,3834.67,3834.93,3832.41,3834.04,1408
1779922800,3834.05,3834.29,3828.78,3830.06,1778
1779923700,3830.06,3831.19,3827.98,3829.61,2453
1779924600,3829.67,3832.32,3828.26,3829.51,2151
1779925500,3828.86,3830.03,3825.4,3827.92,2770
1779926400,3826.99,3832.1,3824.81,3824.89,3225
1779927300,3824.89,3832.14,3824.32,3825.39,3226
1779928200,3825.38,3831.84,3823.93,3831.52,3178
1779929100,3831.46,3835.73,3831.05,3835.46,2949
1779930000,3835.72,3836.62,3819.21,3819.67,4128
1779930900,3819.61,3821.23,3801.87,3803.78,4152
1779931800,3803.57,3810.44,3801.37,3803.06,4096
1779932700,3803.13,3806.1,3795.42,3798.53,4110
1779933600,3798.55,3800.45,3785.59,3791.23,4151
1779934500,3791.3,3795.73,3788.46,3793.98,3403
1779935400,3793.95,3797.19,3789.96,3791.08,3643
1779936300,3791,3791.37,3783.14,3784.08,3795
1779937200,3784.07,3787.92,3780.43,3786.3,3728
1779938100,3786.28,3786.55,3777.13,3782.15,3984
1779939000,3782.08,3782.38,3769.74,3775.4,4188
1779939900,3775.2,3777.23,3770.04,3775.58,3783
1779940800,3775.57,3781.19,3771.1,3775.68,3674
1779941700,3775.7,3776.33,3768.22,3769.85,3630
1779942600,3769.82,3774.44,3769.72,3773.51,3315
1779943500,3773.19,3774.49,3768.77,3772.51,3330
1779944400,3772.76,3777.03,3767.75,3774.85,3404
1779945300,3774.84,3777.5,3771.41,3776.57,3285
1779946200,3776.86,3787.87,3773.45,3784.2,4219
1779947100,3784.34,3789.05,3782.72,3783,3864
1779948000,3783.04,3785.18,3770.98,3771.08,4009
