time,open,high,low,close,volume
1779469200,3358.38,3365.69,3351.26,3355.82,48779
1779656400,3375.35,3396.31,3372.02,3390.15,35651
1779670800,3389.89,3394.17,3381.37,3385.56,48595
1779685200,3385.62,3386.73,3375,3376.56,47031
1779699600,3376.59,3390.95,3372.55,3383.29,40900
1779714000,3383.38,3387.96,3378.3,3386.88,43179
1779728400,3386.87,3389.4,3379.08,3383.6,8867
1779742800,3385.47,3391.75,3364.42,3371.31,31971
1779757200,3371.49,3371.81,3355.25,3356.99,46956
1779771600,3356.95,3368.46,3354.27,3357.17,53769
1779786000,3357.22,3367.52,3336.9,3356.66,57492
1779800400,3356.29,3364.96,3347.02,3351.58,62954
1779814800,3351.61,3353.71,3334.91,3351.75,44876
1779829200,3354.08,3363.85,3343.01,3355.58,30990
1779843600,3355.43,3360.09,3341.65,3352.31,44189
1779858000,3352.23,3354.34,3329.57,3344.98,54992
1779872400,3345.01,3345.01,3294.05,3302.73,58000
1779886800,3302.62,3316.22,3273.9,3313.89,66261
1779901200,3313.88,3320.74,3309.51,3318.33,41815
1779915600,3324.03,3325.7,3312.18,3322.83,28872
1779930000,3323.03,3323.78,3265.62,3268.89,61322
1779944400,3269.14,3281.73,3264.8,3273.47,56016
