time,open,high,low,close,volume
1779469200,718628,720154,716817,717530,50578
1779656400,722716,727783,722138,726092,37420
1779670800,726029,727044,724026,725182,51014
1779685200,725187,725756,723037,724058,49380
1779699600,724047,727256,723536,725828,43251
1779728400,726748,727349,725127,726230,8348
1779742800,726611,727852,721689,723261,33890
1779757200,723255,723356,719209,719562,49047
1779771600,719559,722595,719116,720246,55585
1779786000,720328,722625,715749,719778,58963
1779800400,719708,721602,716804,717681,64575
1779814800,717681,718537,714310,718013,46416
1779829200,718587,720822,716357,719176,32433
1779843600,719165,719918,715785,718227,45920
1779858000,718210,718787,713236,716939,57188
1779872400,716923,716923,705571,707638,59655
1779886800,707581,710267,701674,709903,67693
1779901200,709903,711355,708611,710806,43386
1779915600,711893,712268,709072,711163,30182
1779930000,711219,711395,696788,697836,63163
1779944400,697861,701327,696927,699547,57603
