time,open,high,low,close,volume
1779469200,100.1,100.52,97.99,100.26,19569
1779656400,95.95,95.95,93.82,94.79,9670
1779670800,94.84,95.43,93.21,93.87,12819
1779685200,93.86,95.56,93.48,94.64,14894
1779699600,94.62,94.74,93.32,94.37,14142
1779728400,92.74,93.32,92.31,93.18,4594
1779742800,93.92,94.35,93.12,94.25,6574
1779757200,94.24,94.87,94.14,94.77,6654
1779771600,94.78,96.36,94.17,95.98,16515
1779786000,95.95,96.1,94.28,95.56,16382
1779800400,95.6,97.44,95.31,96.79,21933
1779814800,96.8,96.9,95.96,96.3,13998
1779829200,96.07,96.31,95.45,95.61,4099
1779843600,95.63,95.84,94.45,94.58,9278
1779858000,94.59,94.85,92.33,92.79,16086
1779872400,92.84,93.48,90.44,91.47,20095
1779886800,91.49,93.8,91.4,92.53,24747
1779901200,92.54,92.73,91.12,92.03,12457
1779915600,91.69,93.17,91.69,92.98,5317
1779930000,92.93,95.03,92.44,94.67,11332
1779944400,94.66,94.74,93,93.07,13238
