time,open,high,low,close,volume
1775318400,67383.66,67543.6,67265,67288.42,858.41299
1775332800,67288.42,67504.54,67186.62,67300.42,1129.00398
1775347200,67300.42,67307.28,66955.72,67145.98,1216.87122
1775361600,67145.98,67188.51,66611.66,66820.64,1903.42714
1775376000,66820.64,67150,66819.42,66999,1062.42874
1775390400,66998.99,67856.16,66680.57,67306.64,2736.41551
1775404800,67306.65,67560.45,67173.4,67361.01,965.55771
1775419200,67361.01,69136.2,67332.66,69034.18,3848.7672
1775433600,69034.18,69588,68776.61,69123.69,4502.91561
1775448000,69123.69,69354.26,68806.53,69115.91,2814.82721
1775462400,69115.91,70283.32,69081.88,69614.91,3999.04132
1775476800,69614.91,69973.25,69163.86,69968.87,3409.36539
1775491200,69968.87,70351.46,69282.02,69739.53,3175.25769
1775505600,69739.52,69974.08,68300,68853.66,2380.20322
1775520000,68853.66,69128.2,68273.34,68779.21,2422.31591
1775534400,68779.2,68981.83,68443,68624.61,1823.63549
1775548800,68624.6,69247.9,68071.96,68345.75,2273.58534
1775563200,68345.75,68633.87,67732.01,68168.1,4041.29436
1775577600,68168.11,69098.44,68085.01,69011.29,3817.42066
1775592000,69011.29,72761,69011.29,71924.22,9372.24485
1775606400,71924.22,72110.65,71240.99,71287.39,3370.06511
1775620800,71287.39,71941.42,71287.38,71627.59,3297.9557
1775635200,71627.59,71955,71407.77,71675.12,2214.64952
1775649600,71675.12,72857,70707.23,71310,6816.03917
1775664000,71309.99,71963.94,71019,71318.48,2617.29334
1775678400,71318.47,71748,70901.89,71069.93,1486.68343
1775692800,71069.93,71198.8,70466,70992.39,2645.29554
1775707200,70992.37,71116,70689.38,70982.01,2261.38499
1775721600,70982.01,71575,70865.42,71150.17,1825.96774
1775736000,71150.17,72358,70522.77,72141.99,4001.11726
1775750400,72142,72550,71729.66,72096.32,4013.80807
1775764800,72096.33,73145,71585.25,71787.97,3410.84799
1775779200,71787.98,72387,71573.35,71868.67,2706.87605
1775793600,71868.67,72267.89,71428,71481.85,2293.26674
1775808000,71481.85,72261.93,71426.15,72127.59,1565.72366
1775822400,72127.59,73289.96,71899.51,72460.51,5093.36163
1775836800,72460.52,73264.76,72387.41,73236.11,2498.15366
1775851200,73236.11,73434,72700.6,72962.7,3215.25114
1775865600,72962.71,73094.89,72670,72866.63,1637.40665
1775880000,72866.62,72954.28,72612.16,72745.38,1432.18692
1775894400,72745.38,72915.95,72617.75,72907.05,905.10314
1775908800,72907.05,72982.4,72513.09,72858.17,1133.77392
1775923200,72858.18,73790,72812.94,73687.15,2377.30473
1775937600,73687.16,73689.97,72907.4,73043.16,1585.16838
1775952000,73043.16,73137.24,71310,71593.19,4092.12587
1775966400,71593.18,71781,71417.22,71665,1969.72049
1775980800,71664.99,71805.85,71357.76,71468.55,1780.81611
1775995200,71468.54,71500,70604.07,70892.03,2361.32179
1776009600,70892.04,71222.58,70821.05,71084.18,991.98626
1776024000,71084.18,71452,70505.88,70740.98,2276.49749
1776038400,70741.56,71271.78,70615.3,70976,1886.6472
1776052800,70975.99,71144,70672.72,70813.88,2674.10149
1776067200,70813.88,70997.12,70566.99,70929.68,1023.04479
1776081600,70929.68,72464.28,70758.5,71866.59,5445.44909
1776096000,71866.59,73480,71679.8,73322.82,6766.75131
1776110400,73322,74900,73007.08,74417.99,6434.22237
1776124800,74418,74579.32,73954.86,74444.43,3586.04231
1776139200,74444.44,74924.64,74150.6,74546,3393.84035
1776153600,74545.99,74910,74307.35,74376.52,2697.70497
1776168000,74376.52,76038,74277.19,75317.07,9779.47075
1776182400,75317.06,75688,73795.47,74223.18,4920.10933
