time,open,high,low,close,volume
1775318400,591.12,596.58,590.46,593.46,11980.551
1775332800,593.46,595.16,592.54,593.36,5673.039
1775347200,593.36,594.05,591.12,593.43,8288.545
1775361600,593.42,594,587.71,590.46,12134.237
1775376000,590.46,594.97,590.15,593.98,9402.756
1775390400,593.97,596.42,587.13,593.13,20782.507
1775404800,593.13,593.69,591.67,592.53,7706.673
1775419200,592.53,604.06,590.51,601.5,19717.232
1775433600,601.5,607.66,600.1,600.61,21807.7
1775448000,600.62,604.47,598.63,603.8,18840.74
1775462400,603.81,610.29,603.78,605.36,17420.769
1775476800,605.36,608.74,604.11,608.45,17633.973
1775491200,608.45,609,602.95,606.67,13286.947
1775505600,606.68,607.96,596.25,600.11,15969.42
1775520000,600.1,601.32,596.38,599.16,11451.186
1775534400,599.15,601.88,596.78,599.3,11177.583
1775548800,599.29,606.51,596.4,597.1,29834.635
1775563200,597.1,600,592.2,598.53,30618.743
1775577600,598.53,609.05,598.53,608.41,23994.268
1775592000,608.41,624.85,607.23,620.1,56450.477
1775606400,620.11,621.46,612.92,613.29,32396.858
1775620800,613.29,617.4,612.02,613.24,25758.364
1775635200,613.24,614.54,610.89,612.83,21847.461
1775649600,612.83,615.85,601.16,605.35,53448.922
1775664000,605.34,607.79,602.75,604.28,15146.018
1775678400,604.28,607.38,599.45,601.16,13517.063
1775692800,601.15,603.06,596.94,600.16,18175.249
1775707200,600.16,601.19,598.64,600.01,10221.972
1775721600,600.01,603.41,599.3,602.44,15969.669
1775736000,602.45,607.34,598.2,606.01,21514.81
1775750400,606.01,609.5,603.63,608.76,20119.801
1775764800,608.76,612.1,601.9,603.03,21303.675
1775779200,603.03,605.4,599.79,601.14,17766.67
1775793600,601.14,602.61,599.04,599.29,14201.76
1775808000,599.29,603.49,597.4,602.57,19228.132
1775822400,602.57,608.76,601.04,603.27,27608.247
1775836800,603.27,609.99,603.2,609.6,12524.9
1775851200,609.61,610.34,605.29,605.54,12936.223
1775865600,605.54,607.73,603.4,606.76,14016.45
1775880000,606.77,607.62,604.41,606.09,10856.568
1775894400,606.09,607.32,604.31,605.36,23470.985
1775908800,605.37,606.92,603.76,605.74,14398.939
1775923200,605.74,614.12,605.7,612.92,17611.253
1775937600,612.93,613.02,605.94,607.05,13913.275
1775952000,607.06,607.44,590.21,595.5,31078.514
1775966400,595.5,596,592.87,594.3,14859.817
1775980800,594.3,595.59,592.91,595.42,13022.638
1775995200,595.41,595.78,589.1,591.65,20069.446
1776009600,591.66,593.36,591,592.36,11271.215
1776024000,592.36,596.91,590.95,592.19,13472.621
1776038400,592.19,597.94,591.6,594.68,11256.918
1776052800,594.68,599.67,594.6,597.26,16488.524
1776067200,597.27,598.71,595.19,597.2,13130.521
1776081600,597.2,605,595.58,603.4,30992.717
1776096000,603.39,609.17,602.15,608.59,27831.961
1776110400,608.59,617.97,607.11,614.71,38803.859
1776124800,614.71,616.14,610.86,616.13,28115.649
1776139200,616.14,616.15,611.88,613.55,19715.436
1776153600,613.54,619.4,613.43,616.41,28132.029
1776168000,616.42,625.38,615.18,623.45,47940.613
1776182400,623.45,625.12,611.94,613.95,37840.425
1776196800,613.95,617.16,613.13,613.75,11637.879
1776211200,613.75,620,613.75,616.14,17227.733
1776225600,616.14,617.27,610.71,611.54,16261.029
1776240000,611.55,620.66,610.45,619.7,25376.842
1776254400,619.71,620.42,616,619.04,24672.706
1776268800,619.05,627.64,618.57,625.38,17267.117
1776283200,625.38,626.8,621.42,622.59,14137.793
1776297600,622.58,626.16,620.38,624.25,16041.38
1776312000,624.25,626.08,621.86,622.69,15672.328
1776326400,622.69,623.95,618.86,620.95,17492.473
1776340800,620.95,626.38,614.89,624.89,31053.988
1776355200,624.89,637.31,623.6,636.55,34803.489
1776369600,636.55,637.4,631.71,635.77,16483.043
1776384000,635.77,636.55,628.18,629.26,15173.724
1776398400,629.26,630.22,626.66,627.21,19659.254
1776412800,627.21,635,626.89,632.5,30283.279
1776427200,632.5,645.67,631.76,643.34,51049.665
1776441600,643.33,645.6,638.83,641.36,19428.359
1776456000,641.36,644.77,639.26,643.12,17892.557
1776470400,643.12,646.88,640.06,640.2,28939.317
1776484800,640.21,648.79,640.08,643.35,27083.119
1776499200,643.35,643.55,631.52,633.37,26675.059
1776513600,633.38,635,631.42,633.37,13376.045
1776528000,633.37,634.59,628.03,630.39,15324.524
1776542400,630.39,631.84,629.69,629.9,8267.295
1776556800,629.9,630.43,621.08,623.26,16377.065
1776571200,623.26,624.72,618.1,620.32,17821.097
1776585600,620.32,623.33,618,622.4,14492.492
1776600000,622.4,628.36,622.06,626.07,18680.655
1776614400,626.07,626.64,619.39,622.93,13891.28
1776628800,622.93,623.36,615,616.06,19328.153
1776643200,616.07,622.8,615.97,621.69,11683.598
1776657600,621.7,629.48,617,624.69,15619.732
1776672000,624.69,628.14,622.71,625.5,17552.488
1776686400,625.49,628.36,620.87,628.31,23839.062
1776700800,628.31,631.8,626.71,630.56,12588.616
1776715200,630.57,632.08,628,629.26,10864.215
1776729600,629.26,632.46,628.1,629.87,11095.479
1776744000,629.87,633.93,628.81,632.88,11139.346
1776758400,632.89,640.7,632.2,634.14,41688.668
1776772800,634.14,635.17,629.37,631.81,19309.425
1776787200,631.82,633.66,625,626.6,12996.64
1776801600,626.59,632.45,625.56,631.72,9143.681
1776816000,631.73,641.4,631.19,639.57,20568.448
1776830400,639.57,644.95,638.66,641.99,25959.846
1776844800,642,643.81,641,642.77,15334.599
1776859200,642.78,654.19,642.14,649.1,39008.952
1776873600,649.1,650.96,642.89,644.1,18298.576
1776888000,644.1,644.18,637.33,637.47,15815.918
1776902400,637.47,639.5,633.23,635.6,22566.677
1776916800,635.61,638.43,635.01,635.7,13183.512
1776931200,635.7,636.29,631,633.56,16887.714
1776945600,633.56,640,632,639.74,18401.871
1776960000,639.74,640.38,631.14,635.91,18026.04
1776974400,635.9,639.79,635.6,638.54,9343.442
1776988800,638.55,640.42,633.6,634.61,9531.6
1777003200,634.61,637.17,632.04,635,13609.138
1777017600,634.99,638.75,633.33,638.1,15966.278
1777032000,638.1,640.49,635.95,639.6,16954.525
1777046400,639.6,639.97,635.34,638.24,8889.456
1777060800,638.24,638.37,635.43,636.21,5674.821
1777075200,636.21,637.69,635.49,637.45,8892.494
1777089600,637.45,638.08,636.29,636.7,5455.504
1777104000,636.71,638.5,634.2,634.66,9788.226
1777118400,634.66,635.15,629.11,629.91,19722.948
1777132800,629.9,630.41,627.15,628.66,9371.55
1777147200,628.67,630.43,628.34,628.53,5687.615
1777161600,628.52,630.35,627,628.63,7913.944
1777176000,628.63,632.79,628.27,632.52,9812.403
1777190400,632.52,632.75,629.9,632.54,9812.812
1777204800,632.55,633.03,630.6,632.29,9377.389
1777219200,632.29,636.74,630.59,635.89,8940.878
1777233600,635.9,638.06,633,635.76,8588.914
1777248000,635.77,639.81,633.74,638.27,18044.113
1777262400,638.27,638.64,625.15,625.87,28410.052
1777276800,625.87,628.94,625.4,627.4,10936.731
1777291200,627.39,628.56,618.38,620.94,25377.875
1777305600,620.93,624.02,620.5,623.53,13646.889
1777320000,623.53,627.31,623.13,626.83,7529.828
1777334400,626.83,627.58,623.28,624.52,7126.507
1777348800,624.52,626.62,621.86,624.26,16508.09
1777363200,624.26,625.47,621.21,621.85,9676.525
1777377600,621.86,623.63,619,622.82,16880.81
1777392000,622.82,624.3,621.82,624.17,7137.871
1777406400,624.17,624.66,622.87,624.55,5017.939
1777420800,624.56,626.73,622.56,626.05,9681.142
1777435200,626.05,628.5,625,625.13,16646.427
1777449600,625.13,629.61,624.54,626.02,19479.286
1777464000,626.01,626.06,615.48,616.51,21085.078
1777478400,616.52,620.28,610.26,613.31,26554.168
1777492800,613.32,618.58,613.02,617.39,8367.071
1777507200,617.39,620.53,616.03,617.88,12566.092
1777521600,617.88,618.26,613.47,617.5,18797.061
1777536000,617.5,618.75,614.38,615.63,13741.332
1777550400,615.64,618.13,613.58,617.1,19135.061
1777564800,617.09,618.84,615.75,618.45,8022.292
1777579200,618.44,618.61,614.79,615.38,6350.607
1777593600,615.38,621.29,615.28,618.5,14358.805
1777608000,618.5,619.08,616.03,617.42,10394.11
1777622400,617.42,619.56,615.94,618.92,13233.624
1777636800,618.92,622.84,618.44,620.83,25448.318
1777651200,620.83,621.79,618.9,619.24,8877.143
1777665600,619.24,619.37,613.79,615.34,15741.74
1777680000,615.34,617.26,614.78,616.19,7600.96
1777694400,616.19,616.4,614.15,615.91,7752.895
1777708800,615.9,616.2,614.71,615.66,6659.85
1777723200,615.67,618.27,615.38,618.22,12201.248
1777737600,618.22,619.38,617.71,618.83,8574.84
1777752000,618.84,621.81,617.77,618.03,9184.201
1777766400,618.03,618.49,615.09,616.22,10665.496
1777780800,616.22,618.35,615.31,616.96,9750.079
1777795200,616.97,619.54,616.68,618.81,12956.337
1777809600,618.81,620.57,618.14,619.87,13656.211
1777824000,619.87,620.78,618.78,619.26,9598.316
1777838400,619.26,622.27,617,617.27,16223.691
1777852800,617.28,626.66,615.61,626.57,37419.932
1777867200,626.58,639,626.58,628.4,60837.535
1777881600,628.4,631.01,620,622.9,34529.559
1777896000,622.91,628.44,621.19,625.47,43518.679
1777910400,625.47,628.8,623.5,624.93,19279.644
1777924800,624.93,625.91,622.6,622.63,11063.652
1777939200,622.64,628.86,622.58,627.81,19199.304
1777953600,627.8,628.81,625.73,627.54,22579.058
1777968000,627.54,628.94,625.94,628.59,23983.69
1777982400,628.6,634,628.05,631.01,35110.266
1777996800,631.01,632.38,627.81,631.72,23383.602
1778011200,631.73,635,629.71,630.42,22765.875
1778025600,630.41,636.01,628.97,635.17,23365.379
1778040000,635.18,640.43,632.85,637.99,25453.541
1778054400,637.98,652.66,637.95,652.56,78126.573
1778068800,652.56,664.26,643.58,648.51,81801.424
1778083200,648.51,650.93,646.29,650.45,19995.243
1778097600,650.44,651.49,644.46,647.74,12953.096
1778112000,647.74,649.81,641.64,642.53,29830.996
1778126400,642.54,653.49,642.1,651.91,19315.443
1778140800,651.92,653.1,646.15,648.01,21602.1
1778155200,648.01,651,639.41,642.45,29470.063
1778169600,642.46,644.7,639.33,643.71,17699.575
1778184000,643.71,645.65,633.68,637.02,26255.632
1778198400,637.02,640.54,635.46,639.44,15412.117
1778212800,639.44,641,634.76,636.91,24292.908
1778227200,636.91,641.56,635.89,641.02,21553.029
1778241600,641.03,644,637.54,643.92,18479.16
1778256000,643.92,649.5,642.36,648.09,15055.131
1778270400,648.1,651.53,645.86,649.36,12960.331
1778284800,649.37,655.88,649.01,653.66,18453.315
1778299200,653.67,656,648.95,649.77,32605.996
1778313600,649.77,651.03,648.43,650.04,9822.627
1778328000,650.05,650.67,646.23,647.66,11368.726
1778342400,647.67,651.84,647.01,651.01,15609.096
1778356800,651.01,652.36,649.53,649.75,10493.132
1778371200,649.76,650.5,644.84,647.7,18024.134
1778385600,647.71,649.29,647.28,648.28,8599.048
1778400000,648.29,651.9,647.71,649.59,16061.965
1778414400,649.59,656.2,648.47,655.5,17482.985
1778428800,655.51,662.38,654.4,661.14,19655.812
1778443200,661.14,666.66,648.71,663.55,39453.273
1778457600,663.56,664.85,650.07,651.79,30689.411
1778472000,651.8,654.17,650.03,650.61,26867.574
1778486400,650.61,655.92,649.46,655.92,27730.707
1778500800,655.92,661.51,651.49,661.5,31057.069
1778515200,661.51,663.56,659.5,663.32,27138.806
1778529600,663.31,673,661.02,670.6,40181.678
1778544000,670.6,671.47,659.09,662.02,34336.061
1778558400,662.02,664.31,657.76,658.59,19544.701
1778572800,658.6,663.4,657.55,663.4,18304.871
1778587200,663.4,664.75,650.49,652.26,45149.103
1778601600,652.26,663.38,650.56,663.07,21554.165
1778616000,663.07,668,663.06,664.95,22728.188
1778630400,664.95,682.95,664.36,681.28,63481.069
1778644800,681.28,682.18,675.94,679.02,31687.705
1778659200,679.02,685.68,677.41,678.42,36146.83
1778673600,678.42,680.3,663.77,664.19,61800.437
1778688000,664.19,674.71,664.17,671.32,21029.274
1778702400,671.33,673.84,668.2,671.68,11917.453
1778716800,671.68,677.52,665.42,665.92,25552.318
1778731200,665.91,672.06,665.47,669.34,24244.733
1778745600,669.33,673.96,668.55,670.85,20888.197
1778760000,670.85,680.58,670.62,679.98,43264.703
1778774400,679.98,687.66,678.48,680.2,34513.078
1778788800,680.21,681.99,677.2,678.27,11337.001
1778803200,678.28,686,677.24,681.95,31590.787
1778817600,681.95,689.14,673.79,684.3,34855.094
1778832000,684.31,689.98,681.63,686.47,31941.574
1778846400,686.47,686.74,669.16,671.73,46245.668
1778860800,671.73,676.72,671.16,674.04,10415.878
1778875200,674.04,674.56,671.21,672.38,11455.37
1778889600,672.37,674.92,664.9,665.29,18248.201
1778904000,665.29,665.29,656.2,660.68,40063.387
1778918400,660.68,661.97,650.7,654.28,38491.712
1778932800,654.28,658,651.1,655.2,19256.183
1778947200,655.19,658.34,654.92,656.16,8832.535
1778961600,656.16,657.62,655.73,656.2,4886.318
1778976000,656.2,657.28,650,652.77,18338.033
1778990400,652.77,656.35,652.41,655.31,9915.355
1779004800,655.31,655.45,650,655.07,20093.406
1779019200,655.07,657.51,650.57,652.4,14463.278
1779033600,652.41,656.35,650.22,656.04,8126.498
1779048000,656.04,657.6,640.01,649.48,24875.382
1779062400,649.48,649.7,642.13,643.44,24070.12
1779076800,643.44,644.58,637.54,641.85,22109.046
1779091200,641.86,643.69,637.54,641.75,16265.504
1779105600,641.75,645.54,634.3,637.03,28798.729
1779120000,637.04,644.92,635.74,644.78,25412.858
1779134400,644.79,646.4,641.89,643.53,9524.963
1779148800,643.53,647.19,641.17,642.88,15081.766
1779163200,642.87,646.34,640.95,645.93,12878.765
1779177600,645.93,646.02,637.98,639.88,18231.516
1779192000,639.87,642.05,636.1,638.73,22154.505
1779206400,638.74,641.88,637.87,639.99,6959.289
1779220800,639.98,641.66,637.87,640.02,5648.096
1779235200,640.03,640.95,637.52,640.12,10998.41
1779249600,640.13,645,638.38,643.41,17026.815
1779264000,643.41,645.31,642.3,643.33,10929.184
1779278400,643.33,649.97,641.34,648.8,21178.265
1779292800,648.81,651.19,646.01,650.57,12072.633
1779307200,650.56,651.77,647.17,649.5,10737.346
1779321600,649.5,656,649.31,654.81,16426.826
1779336000,654.81,655.33,650.13,652.93,15174.305
1779350400,652.93,656,647.36,647.77,16397.079
1779364800,647.78,653.08,646.33,652.39,22284.158
1779379200,652.39,659.82,650.23,657.87,25349.236
1779393600,657.88,659,656.11,658.58,7424.074
1779408000,658.58,661.42,656.14,659.61,19957.927
1779422400,659.62,660.59,655.48,659.49,19045.979
1779436800,659.49,661.1,654.79,657.94,19420.351
1779451200,657.95,664.2,656.45,658.51,27640.76
1779465600,658.51,661.58,648.31,652.48,26896.901
1779480000,652.48,654.03,648.7,650.44,10945.702
1779494400,650.45,653,648.07,652.34,12861.485
1779508800,652.33,652.78,635.29,636.76,29959.118
1779523200,636.76,641.27,635.64,640.22,19254.322
1779537600,640.23,648.8,639.28,647.49,16104.113
1779552000,647.49,653.17,646.27,652.34,10922.064
1779566400,652.34,663.93,651.73,656.26,23908.536
