time,open,high,low,close,volume
1779639180,2.412,2.416,2.411,2.415,29
1779639240,2.411,2.411,2.408,2.411,16
1779639300,2.411,2.411,2.411,2.411,2
1779639360,2.41,2.413,2.41,2.413,12
1779639420,2.418,2.421,2.418,2.42,10
1779639480,2.415,2.415,2.414,2.415,4
1779639540,2.413,2.414,2.409,2.409,17
1779639600,2.41,2.41,2.405,2.405,10
1779639660,2.408,2.411,2.408,2.409,20
1779639720,2.411,2.412,2.409,2.409,10
1779639780,2.413,2.413,2.413,2.413,2
1779639840,2.413,2.414,2.413,2.413,10
1779639900,2.413,2.413,2.409,2.409,14
1779640020,2.403,2.404,2.402,2.404,8
1779640080,2.406,2.409,2.406,2.409,8
1779640140,2.412,2.413,2.412,2.412,6
1779640200,2.403,2.405,2.403,2.405,10
1779640260,2.391,2.393,2.388,2.393,28
1779640320,2.387,2.391,2.386,2.391,20
1779640380,2.394,2.401,2.394,2.401,24
1779640440,2.398,2.398,2.396,2.396,10
1779640500,2.393,2.393,2.392,2.393,6
1779640560,2.388,2.389,2.386,2.388,18
1779640620,2.39,2.391,2.389,2.389,8
1779640680,2.393,2.398,2.393,2.395,24
1779640740,2.399,2.399,2.398,2.399,10
1779640800,2.399,2.401,2.399,2.401,6
1779640860,2.401,2.403,2.401,2.403,6
1779640920,2.412,2.412,2.409,2.409,8
1779640980,2.408,2.41,2.408,2.41,10
1779641040,2.408,2.411,2.408,2.41,9
1779641100,2.41,2.413,2.408,2.411,16
1779641160,2.415,2.416,2.414,2.414,20
1779641220,2.422,2.422,2.421,2.421,4
1779641280,2.43,2.43,2.429,2.43,5
1779641340,2.429,2.429,2.429,2.429,2
1779641400,2.428,2.428,2.422,2.422,11
1779641460,2.423,2.423,2.42,2.421,10
1779641520,2.421,2.423,2.418,2.423,28
1779641580,2.42,2.42,2.42,2.42,1
1779641640,2.421,2.422,2.421,2.422,4
1779641700,2.417,2.417,2.417,2.417,2
1779641760,2.418,2.42,2.417,2.419,17
1779641820,2.414,2.414,2.411,2.413,12
1779641880,2.416,2.418,2.414,2.416,18
1779641940,2.421,2.421,2.419,2.419,12
1779642000,2.418,2.421,2.417,2.42,14
1779642060,2.424,2.426,2.424,2.426,6
1779642120,2.425,2.426,2.425,2.425,6
1779642180,2.419,2.419,2.416,2.416,12
1779642240,2.419,2.419,2.417,2.417,10
1779642300,2.412,2.413,2.408,2.408,14
1779642360,2.408,2.409,2.407,2.409,12
1779642420,2.417,2.417,2.417,2.417,2
1779642480,2.415,2.416,2.413,2.413,10
1779642540,2.412,2.418,2.412,2.417,14
1779642600,2.418,2.421,2.418,2.42,22
1779642660,2.426,2.427,2.424,2.425,26
1779642720,2.425,2.425,2.424,2.424,4
1779642780,2.422,2.422,2.421,2.421,4
1779642840,2.418,2.419,2.416,2.416,6
1779642900,2.41,2.411,2.408,2.408,14
1779642960,2.41,2.412,2.408,2.409,18
1779643020,2.415,2.415,2.413,2.415,10
1779643080,2.412,2.412,2.409,2.409,20
1779643140,2.406,2.406,2.405,2.406,6
1779643200,2.398,2.398,2.396,2.396,6
1779643260,2.399,2.4,2.397,2.398,14
1779643320,2.405,2.405,2.404,2.405,10
1779643380,2.407,2.407,2.406,2.407,6
1779643440,2.409,2.41,2.409,2.41,8
1779643500,2.415,2.417,2.411,2.412,24
1779643560,2.414,2.415,2.414,2.414,6
1779643620,2.419,2.42,2.418,2.419,8
1779643680,2.428,2.429,2.427,2.429,14
1779643740,2.428,2.428,2.426,2.426,6
1779643800,2.429,2.433,2.429,2.431,12
1779643860,2.437,2.45,2.436,2.45,36
1779643920,2.454,2.455,2.454,2.455,4
1779643980,2.456,2.461,2.456,2.461,16
1779644040,2.455,2.455,2.454,2.454,8
1779644100,2.45,2.45,2.446,2.448,18
1779644160,2.452,2.452,2.449,2.45,14
1779644220,2.457,2.457,2.45,2.45,18
1779644280,2.448,2.456,2.448,2.452,22
1779644340,2.455,2.455,2.455,2.455,2
1779644400,2.46,2.462,2.46,2.461,8
1779644460,2.452,2.454,2.451,2.453,20
1779644520,2.444,2.445,2.436,2.437,17
1779644580,2.437,2.438,2.436,2.438,8
1779644640,2.438,2.438,2.437,2.437,4
1779644700,2.437,2.437,2.437,2.437,2
1779644760,2.433,2.433,2.431,2.431,4
1779644820,2.429,2.429,2.421,2.421,28
1779644880,2.418,2.42,2.416,2.42,18
1779644940,2.421,2.423,2.421,2.423,10
1779645000,2.434,2.437,2.434,2.436,20
1779645060,2.437,2.437,2.437,2.437,2
1779645120,2.43,2.431,2.43,2.431,4
1779645180,2.427,2.429,2.427,2.429,6
1779645240,2.431,2.432,2.431,2.432,4
1779645300,2.436,2.44,2.436,2.437,12
1779645360,2.433,2.436,2.43,2.435,18
1779645420,2.43,2.43,2.429,2.429,4
1779645480,2.427,2.431,2.425,2.431,20
1779645540,2.432,2.432,2.432,2.432,2
1779645600,2.426,2.428,2.425,2.428,10
1779645660,2.43,2.43,2.428,2.429,8
1779645720,2.433,2.433,2.432,2.433,6
1779645780,2.429,2.433,2.427,2.431,20
1779645840,2.433,2.434,2.429,2.432,28
1779645900,2.433,2.435,2.433,2.435,6
1779645960,2.437,2.438,2.437,2.438,4
1779646020,2.44,2.441,2.44,2.44,6
1779646080,2.44,2.442,2.439,2.441,18
1779646140,2.444,2.448,2.444,2.448,10
1779646200,2.455,2.458,2.454,2.455,20
1779646260,2.458,2.462,2.458,2.46,30
1779646320,2.458,2.458,2.457,2.458,6
