time,open,high,low,close,volume
1779273000,0.2501,0.2504,0.2498,0.2501,381093.8
1779273900,0.25,0.2503,0.2498,0.25,592914.1
1779274800,0.25,0.2502,0.2498,0.2499,287872.5
1779275700,0.2499,0.2501,0.2493,0.2494,333627.7
1779276600,0.2495,0.2498,0.249,0.2492,378474.5
1779277500,0.2492,0.2492,0.2483,0.2488,715081.6
1779278400,0.2489,0.2493,0.2485,0.2491,330422.1
1779279300,0.249,0.2492,0.2485,0.249,295731.6
1779280200,0.2491,0.2495,0.249,0.2493,646375
1779281100,0.2493,0.2503,0.2492,0.2497,1197412.3
1779282000,0.2497,0.2498,0.2489,0.2489,502256
1779282900,0.2489,0.2493,0.2485,0.2488,1119239.6
1779283800,0.2489,0.2489,0.2473,0.2481,2995658.1
1779284700,0.2481,0.249,0.2479,0.2486,959797.3
1779285600,0.2486,0.2495,0.2478,0.2492,1036224.5
1779286500,0.2492,0.2507,0.2491,0.2503,2169522.3
1779287400,0.2504,0.2508,0.2497,0.2502,3242624.2
1779288300,0.2502,0.2509,0.25,0.2505,1900590.5
1779289200,0.2504,0.2505,0.2491,0.2492,951609.7
1779290100,0.2492,0.2515,0.2492,0.2508,1539010.8
1779291000,0.2507,0.2513,0.2501,0.2505,1002729.2
1779291900,0.2505,0.251,0.2499,0.2502,974401.1
1779292800,0.2503,0.2504,0.2499,0.2499,636414.9
1779293700,0.2499,0.25,0.2481,0.2484,2532961.1
1779294600,0.2484,0.2503,0.2482,0.2502,2822321.8
1779295500,0.2502,0.2507,0.2496,0.2501,1740477
1779296400,0.25,0.2509,0.2497,0.2507,1443271.5
1779297300,0.2507,0.2511,0.2504,0.2509,1729029.4
1779298200,0.251,0.2514,0.2506,0.2508,1668617.9
1779299100,0.2507,0.2509,0.2501,0.2503,951069.1
1779300000,0.2502,0.2504,0.2497,0.2502,1156999.9
1779300900,0.2502,0.2505,0.2495,0.2498,849275.1
1779301800,0.2497,0.2499,0.2494,0.2495,635772.8
1779302700,0.2494,0.2496,0.2491,0.2492,379833.2
1779303600,0.2492,0.2497,0.2488,0.2494,1660511.1
1779304500,0.2494,0.2504,0.2494,0.2504,458851.1
1779305400,0.2504,0.2508,0.2502,0.2504,683006.1
1779306300,0.2503,0.2505,0.2499,0.2502,367843.2
1779307200,0.2503,0.2505,0.2497,0.2504,217070.8
1779308100,0.2505,0.2505,0.2492,0.2501,840614.6
1779309000,0.2502,0.2504,0.2497,0.2503,158084.4
1779309900,0.2503,0.2507,0.2501,0.2506,264090.9
1779310800,0.2505,0.2508,0.2502,0.2506,259101.7
1779311700,0.2507,0.2509,0.2502,0.2505,1097178.8
