time,open,high,low,close,volume
1779365700,2.023,2.029,2.018,2.019,11327.2
1779366600,2.018,2.028,2.015,2.028,8934.38
1779367500,2.028,2.028,2.02,2.02,11008.59
1779368400,2.021,2.029,2.021,2.028,4597.05
1779369300,2.028,2.028,2.025,2.027,4556.53
1779370200,2.027,2.028,2.016,2.016,20674.78
1779371100,2.016,2.028,2.015,2.023,20371.14
1779372000,2.024,2.027,2.019,2.019,7603.31
1779372900,2.02,2.02,2.004,2.011,18284.78
1779373800,2.011,2.013,2.008,2.011,12540.51
1779374700,2.011,2.013,2.004,2.009,16323.68
1779375600,2.008,2.013,2.003,2.008,11126.62
1779376500,2.008,2.011,2,2.005,18463.66
1779377400,2.004,2.007,1.995,2.001,44649.1
1779378300,2.001,2.006,1.996,2.001,17911.73
1779379200,2,2.013,2,2.006,12259.78
1779380100,2.006,2.008,2,2,16323.13
1779381000,1.999,2.005,1.999,2,4180.36
1779381900,2,2.002,1.994,2.001,7476.96
1779382800,2.001,2.015,2,2.012,10841.39
1779383700,2.011,2.026,2.009,2.022,21804.56
1779384600,2.022,2.026,2.018,2.023,12541.66
1779385500,2.024,2.037,2.018,2.032,35626.5
1779386400,2.031,2.038,2.028,2.031,14092.75
1779387300,2.03,2.042,2.029,2.037,18095.61
1779388200,2.038,2.043,2.036,2.042,15025.02
1779389100,2.042,2.042,2.024,2.035,14726.58
1779390000,2.035,2.039,2.033,2.037,7255.64
1779390900,2.037,2.039,2.033,2.037,13027.4
1779391800,2.037,2.043,2.036,2.041,10585.68
1779392700,2.041,2.052,2.04,2.048,34576.79
1779393600,2.048,2.057,2.048,2.057,20168.76
1779394500,2.058,2.061,2.052,2.055,14368.37
1779395400,2.055,2.062,2.048,2.049,16977.49
1779396300,2.049,2.055,2.047,2.053,12258.52
1779397200,2.052,2.053,2.045,2.049,33834.51
1779398100,2.05,2.056,2.048,2.055,6527.16
1779399000,2.057,2.057,2.048,2.048,7693.59
1779399900,2.05,2.053,2.048,2.048,1357.99
1779400800,2.049,2.054,2.048,2.053,2216.74
1779401700,2.053,2.053,2.05,2.053,2643.32
1779402600,2.054,2.06,2.054,2.057,5322.73
1779403500,2.057,2.06,2.057,2.058,1452.66
1779404400,2.059,2.062,2.05,2.05,10989.53
1779405300,2.05,2.053,2.046,2.05,8221.49
1779406200,2.05,2.055,2.05,2.053,12963.96
1779407100,2.053,2.056,2.05,2.052,8731.91
1779408000,2.052,2.053,2.042,2.043,9255.76
1779408900,2.043,2.047,2.039,2.041,12534.12
1779409800,2.041,2.047,2.041,2.044,8697.21
1779410700,2.045,2.049,2.044,2.046,4019.1
1779411600,2.045,2.057,2.044,2.057,3208.17
1779412500,2.056,2.057,2.052,2.054,5752.84
1779413400,2.054,2.054,2.044,2.053,6593.04
1779414300,2.053,2.058,2.053,2.058,3417.32
1779415200,2.059,2.064,2.056,2.063,8434.84
1779416100,2.062,2.066,2.059,2.064,25887.77
1779417000,2.064,2.072,2.061,2.069,16627.33
1779417900,2.07,2.075,2.068,2.074,11323.82
1779418800,2.074,2.091,2.074,2.088,61269.49
1779419700,2.088,2.122,2.088,2.121,71082.47
1779420600,2.121,2.151,2.118,2.131,100423.84
1779421500,2.132,2.15,2.131,2.15,35831.52
1779422400,2.15,2.16,2.134,2.134,66812.93
1779423300,2.134,2.136,2.117,2.121,29455.74
1779424200,2.121,2.134,2.12,2.131,22594.12
1779425100,2.13,2.132,2.114,2.127,18275.34
1779426000,2.126,2.142,2.117,2.141,33012.71
1779426900,2.141,2.155,2.138,2.155,52178.46
1779427800,2.155,2.165,2.147,2.157,59381.2
1779428700,2.156,2.168,2.149,2.15,43920.23
1779429600,2.151,2.161,2.144,2.161,13012.24
1779430500,2.16,2.164,2.136,2.146,39160.27
1779431400,2.146,2.147,2.131,2.14,24114.18
1779432300,2.14,2.148,2.133,2.14,18081.69
1779433200,2.141,2.155,2.131,2.152,33577.8
1779434100,2.153,2.154,2.126,2.128,37736.3
1779435000,2.129,2.137,2.114,2.132,34206.19
1779435900,2.133,2.133,2.126,2.127,6013.07
1779436800,2.127,2.134,2.124,2.124,9869.85
1779437700,2.125,2.138,2.125,2.136,36378.12
1779438600,2.137,2.144,2.12,2.139,40142.19
1779439500,2.14,2.152,2.14,2.147,31624.85
1779440400,2.146,2.156,2.138,2.148,9817.26
1779441300,2.149,2.154,2.14,2.145,8645.65
1779442200,2.145,2.155,2.137,2.152,15970.87
1779443100,2.152,2.154,2.146,2.149,19222.77
1779444000,2.148,2.157,2.146,2.157,17196.92
1779444900,2.156,2.162,2.146,2.157,23217.05
1779445800,2.157,2.168,2.155,2.167,38597.63
1779446700,2.166,2.172,2.158,2.161,20101.56
1779447600,2.161,2.169,2.154,2.168,28896.92
1779448500,2.169,2.18,2.158,2.177,24806.64
1779449400,2.177,2.19,2.177,2.18,30446.61
1779450300,2.179,2.19,2.178,2.186,26647.8
1779451200,2.186,2.187,2.163,2.164,29738.14
1779452100,2.164,2.165,2.147,2.149,36837.7
1779453000,2.15,2.162,2.149,2.157,16270.28
1779453900,2.156,2.17,2.154,2.169,24975.78
1779454800,2.17,2.171,2.161,2.164,16176.76
1779455700,2.165,2.167,2.146,2.147,24248.61
1779456600,2.146,2.163,2.141,2.152,32256.7
1779457500,2.153,2.158,2.142,2.149,14666.05
1779458400,2.147,2.152,2.134,2.151,30487.9
1779459300,2.151,2.152,2.134,2.143,44729.39
1779460200,2.143,2.143,2.13,2.132,10987.37
1779461100,2.132,2.133,2.121,2.127,25115.35
1779462000,2.127,2.137,2.126,2.132,18622.2
1779462900,2.131,2.141,2.122,2.139,39892.06
1779463800,2.14,2.144,2.136,2.143,14454.67
1779464700,2.144,2.151,2.143,2.149,13867.1
1779465600,2.149,2.159,2.138,2.147,25925.38
1779466500,2.146,2.146,2.13,2.136,20801.9
1779467400,2.136,2.142,2.132,2.137,12379.37
1779468300,2.137,2.142,2.137,2.138,10679.79
1779469200,2.137,2.154,2.137,2.146,20006.99
1779470100,2.146,2.156,2.141,2.156,20204.12
1779471000,2.155,2.156,2.148,2.155,14501.99
1779471900,2.154,2.154,2.14,2.141,12532.12
1779472800,2.14,2.142,2.133,2.14,23457.56
1779473700,2.139,2.147,2.139,2.141,9558.16
1779474600,2.141,2.141,2.121,2.122,31426.72
1779475500,2.122,2.122,2.096,2.098,81603.27
1779476400,2.097,2.107,2.085,2.092,30619.56
1779477300,2.092,2.096,2.083,2.087,19172.58
1779478200,2.088,2.088,2.057,2.066,69948
1779479100,2.065,2.081,2.062,2.076,47475.25
1779480000,2.073,2.08,2.065,2.065,8562.82
1779480900,2.066,2.071,2.063,2.07,12895.75
1779481800,2.07,2.083,2.058,2.078,30557.9
1779482700,2.078,2.087,2.077,2.087,18231.27
1779483600,2.088,2.095,2.087,2.095,28027.96
1779484500,2.094,2.1,2.087,2.1,13491.91
1779485400,2.099,2.106,2.094,2.095,10362.78
1779486300,2.095,2.101,2.088,2.088,12379.29
1779487200,2.088,2.093,2.082,2.092,23605.73
1779488100,2.092,2.092,2.081,2.088,18433.85
1779489000,2.087,2.09,2.078,2.081,9999
1779489900,2.082,2.087,2.081,2.086,5250.01
1779490800,2.086,2.095,2.086,2.094,4008.35
1779491700,2.094,2.094,2.068,2.072,18390.48
1779492600,2.072,2.089,2.071,2.089,26498.15
1779493500,2.089,2.089,2.059,2.07,25145.73
1779494400,2.07,2.092,2.064,2.083,49179.9
1779495300,2.083,2.091,2.08,2.085,15018.01
1779496200,2.084,2.085,2.073,2.082,13493.05
1779497100,2.081,2.093,2.081,2.087,20968.19
1779498000,2.088,2.101,2.088,2.092,21760.58
1779498900,2.094,2.113,2.093,2.106,46171.95
1779499800,2.107,2.117,2.105,2.116,37051.23
1779500700,2.116,2.119,2.108,2.118,13432.91
1779501600,2.118,2.12,2.108,2.113,10872.12
1779502500,2.114,2.127,2.114,2.126,17091.32
1779503400,2.127,2.136,2.123,2.127,32168.3
1779504300,2.126,2.132,2.124,2.126,8758.25
1779505200,2.127,2.133,2.118,2.13,14079.92
1779506100,2.13,2.136,2.126,2.134,8596.5
1779507000,2.134,2.137,2.125,2.127,6993.27
1779507900,2.127,2.129,2.113,2.113,17820.39
1779508800,2.113,2.128,2.109,2.127,20702.18
1779509700,2.128,2.128,2.109,2.111,9040.08
1779510600,2.112,2.119,2.107,2.112,22385.04
1779511500,2.113,2.115,2.099,2.1,16262.28
1779512400,2.101,2.101,2.092,2.095,12594.7
1779513300,2.094,2.102,2.079,2.085,28269.53
1779514200,2.083,2.088,2.079,2.084,8563.79
1779515100,2.083,2.084,2.076,2.077,11616.7
1779516000,2.078,2.083,2.071,2.079,11175.38
1779516900,2.08,2.084,2.078,2.078,11468.88
1779517800,2.079,2.083,2.075,2.08,6734.32
1779518700,2.081,2.081,2.072,2.077,13447.39
1779519600,2.077,2.079,2.068,2.079,11712.68
1779520500,2.078,2.078,2.07,2.071,3603.92
1779521400,2.072,2.072,2.06,2.064,26014.68
