time,open,high,low,close,volume
1779482700,0.98499,0.98534,0.9847,0.98504,1009
1779656400,0.98737,0.98737,0.98737,0.98737,2
1779657300,0.98713,0.98728,0.98713,0.98719,24
1779658200,0.98771,0.98776,0.98771,0.98776,7
1779659100,0.98751,0.98751,0.98751,0.98751,2
1779660000,0.98806,0.98815,0.98792,0.98794,44
1779660900,0.98818,0.98829,0.98818,0.98821,59
1779661800,0.9876,0.9876,0.98756,0.98756,18
1779662700,0.98756,0.98761,0.98756,0.98759,27
1779663600,0.98794,0.98799,0.98794,0.98799,9
1779664500,0.98795,0.98797,0.98795,0.98797,4
1779665400,0.98793,0.98793,0.98784,0.98787,33
1779666300,0.98833,0.98835,0.98833,0.98834,14
1779667200,0.98778,0.98789,0.98778,0.98781,57
1779668100,0.98806,0.98811,0.98802,0.98811,20
1779669000,0.98867,0.98874,0.98867,0.9887,16
1779669900,0.98828,0.98837,0.98826,0.98834,69
1779670800,0.98812,0.9882,0.98812,0.9882,10
1779671700,0.98892,0.98895,0.98891,0.98892,24
1779672600,0.98938,0.98938,0.98931,0.98931,23
1779673500,0.98907,0.98908,0.98903,0.98904,33
1779674400,0.98882,0.98889,0.98882,0.98884,14
1779675300,0.98904,0.98905,0.98898,0.98901,24
1779676200,0.98928,0.98928,0.98924,0.98927,20
1779677100,0.98911,0.98911,0.9891,0.9891,6
1779678000,0.98865,0.98885,0.98865,0.98885,30
1779678900,0.98864,0.98866,0.98864,0.98864,9
1779679800,0.98883,0.98889,0.98883,0.98887,21
1779680700,0.98888,0.9889,0.98884,0.98888,54
1779681600,0.98881,0.9889,0.98881,0.98886,31
1779682500,0.98894,0.98899,0.98892,0.98893,32
1779683400,0.98931,0.98932,0.9893,0.98931,10
1779684300,0.9897,0.98971,0.9897,0.9897,9
1779685200,0.98968,0.98976,0.98966,0.98972,42
1779686100,0.98991,0.98991,0.9899,0.98991,12
1779687000,0.98966,0.98966,0.98958,0.98958,31
1779687900,0.98982,0.98982,0.98978,0.98982,6
1779688800,0.98948,0.98948,0.98934,0.98943,39
1779689700,0.99005,0.99006,0.99,0.99,23
1779690600,0.98961,0.98961,0.98953,0.98959,48
1779691500,0.98947,0.98951,0.98947,0.9895,34
1779692400,0.98961,0.98963,0.98957,0.98958,39
