time,open,high,low,close,volume
1779480000,0.55971,0.55977,0.55925,0.55956,2561
1779656400,0.56066,0.56066,0.56066,0.56066,2
1779660000,0.56061,0.56061,0.56038,0.5605,124
1779663600,0.55976,0.55987,0.55976,0.55983,60
1779667200,0.55991,0.55994,0.5598,0.55983,108
1779670800,0.5601,0.56018,0.56007,0.5601,103
1779674400,0.5605,0.56055,0.56049,0.56051,60
1779678000,0.56032,0.56039,0.56032,0.56035,80
1779681600,0.56015,0.56023,0.56015,0.56022,53
1779685200,0.56051,0.56056,0.56051,0.56053,42
1779688800,0.56038,0.56054,0.56036,0.56054,94
1779692400,0.56012,0.56015,0.56006,0.56009,67
1779696000,0.55994,0.56,0.55983,0.55988,1172
1779699600,0.56022,0.56036,0.55998,0.56019,1898
1779703200,0.56014,0.56027,0.55993,0.55993,1465
1779706800,0.56,0.56,0.55999,0.56,6
1779710400,0.56021,0.56035,0.56009,0.56013,3176
1779714000,0.56001,0.56001,0.55996,0.55999,49
1779717600,0.56144,0.56148,0.56144,0.56148,10
1779721200,0.56204,0.56205,0.56204,0.56205,4
1779724800,0.56155,0.56183,0.56147,0.56169,2429
1779728400,0.5617,0.56179,0.56155,0.56159,1263
1779732000,0.56159,0.56159,0.56155,0.56156,24
1779735600,0.56148,0.5615,0.56148,0.56149,14
1779739200,0.56157,0.56157,0.56157,0.56157,2
1779742800,0.56058,0.56058,0.56058,0.56058,2
1779746400,0.56165,0.56181,0.56152,0.56156,104
1779750000,0.56157,0.5616,0.56156,0.56158,27
1779753600,0.56145,0.56152,0.56144,0.56146,110
1779757200,0.56165,0.56167,0.5616,0.5616,120
1779760800,0.56136,0.56137,0.5613,0.56135,70
1779764400,0.56144,0.56145,0.5614,0.5614,48
1779768000,0.56148,0.56148,0.56148,0.56148,1
1779771600,0.56103,0.56107,0.56103,0.56104,31
1779775200,0.56121,0.56124,0.56114,0.56121,113
1779778800,0.56234,0.56237,0.56209,0.56212,106
1779786000,0.56208,0.56214,0.56206,0.56214,109
1779789600,0.56183,0.56183,0.56178,0.56182,80
1779793200,0.56217,0.5622,0.56214,0.56219,72
1779796800,0.56263,0.56267,0.5626,0.56264,71
1779800400,0.56277,0.56278,0.56275,0.56275,8
1779804000,0.56294,0.56303,0.56289,0.56292,111
1779807600,0.56301,0.56301,0.56294,0.56297,113
1779811200,0.56284,0.56286,0.56277,0.56278,111
1779814800,0.56283,0.56283,0.56283,0.56283,2
1779818400,0.56289,0.56292,0.56288,0.56291,52
1779822000,0.56317,0.56318,0.56313,0.56314,66
1779825600,0.56331,0.56332,0.56326,0.56327,64
1779829200,0.56299,0.56299,0.56299,0.56299,3
1779832800,0.56314,0.56314,0.56304,0.56309,48
1779836400,0.56296,0.563,0.56295,0.563,47
1779840000,0.56304,0.56304,0.56294,0.56299,128
1779843600,0.56342,0.56346,0.56338,0.56344,105
1779847200,0.56216,0.56239,0.56215,0.56228,66
1779850800,0.56251,0.56256,0.56242,0.56249,68
1779854400,0.56228,0.5623,0.5622,0.56225,73
1779858000,0.56224,0.56224,0.56216,0.56219,69
1779861600,0.56187,0.56193,0.56182,0.56189,89
1779865200,0.56088,0.56092,0.56088,0.56092,8
1779868800,0.5608,0.5608,0.5608,0.5608,2
1779872400,0.56145,0.56145,0.56131,0.56132,80
1779876000,0.56119,0.5612,0.56117,0.56119,12
1779879600,0.56077,0.56088,0.56075,0.56077,91
1779883200,0.56093,0.56095,0.56084,0.56084,99
1779886800,0.56017,0.56034,0.56017,0.56032,139
1779890400,0.56055,0.56066,0.55993,0.56038,6145
1779894000,0.56071,0.56075,0.5607,0.56074,127
1779897600,0.56163,0.56171,0.56161,0.56171,73
1779901200,0.56153,0.56154,0.5615,0.5615,55
1779904800,0.56154,0.56157,0.56152,0.56153,86
1779908400,0.56173,0.56173,0.56162,0.56166,60
1779912000,0.56201,0.56207,0.56201,0.56206,53
1779915600,0.56156,0.56156,0.56156,0.56156,3
1779919200,0.56159,0.56194,0.56159,0.56188,63
1779922800,0.5621,0.56211,0.56208,0.5621,37
1779926400,0.56199,0.56199,0.56184,0.56185,140
1779930000,0.56184,0.56186,0.5618,0.56181,83
1779933600,0.56144,0.56147,0.5614,0.56144,114
1779937200,0.56176,0.56182,0.56176,0.56182,85
1779940800,0.56093,0.56108,0.56093,0.56101,111
1779944400,0.56092,0.56157,0.5607,0.56137,4965
1779948000,0.5613,0.56136,0.56128,0.56136,86
1779951600,0.56092,0.561,0.5609,0.561,133
1779955200,0.5614,0.56174,0.56135,0.56165,4435
1779958800,0.56147,0.56148,0.56138,0.56138,56
1779962400,0.56194,0.56195,0.56191,0.56192,12
