time,open,high,low,close,volume
1779480000,1.21825,1.21877,1.21777,1.21816,4318
1779656400,1.21542,1.21554,1.21542,1.21554,80
1779660000,1.21846,1.21893,1.21836,1.21887,165
1779663600,1.21785,1.21794,1.21773,1.21782,69
1779667200,1.21863,1.21881,1.21863,1.21869,127
1779670800,1.21897,1.219,1.21883,1.21898,231
1779674400,1.21982,1.21987,1.21973,1.21985,77
1779678000,1.21995,1.21998,1.21989,1.21998,103
1779681600,1.2199,1.21996,1.21985,1.2199,76
1779685200,1.22,1.22,1.21985,1.21986,162
1779688800,1.21981,1.21997,1.21979,1.21994,121
1779692400,1.21999,1.22003,1.21992,1.22001,103
1779696000,1.21995,1.22027,1.21978,1.21987,1654
1779699600,1.22047,1.22088,1.22033,1.22085,2791
1779703200,1.22083,1.2212,1.2208,1.22088,2288
1779706800,1.22086,1.22094,1.22083,1.22089,51
1779710400,1.22054,1.22063,1.22029,1.22037,3706
1779714000,1.22029,1.22038,1.22026,1.22038,101
1779717600,1.22115,1.22117,1.22112,1.22113,56
1779721200,1.22176,1.2218,1.22168,1.22172,55
1779724800,1.22126,1.22175,1.22122,1.22152,3385
1779728400,1.2215,1.22179,1.22139,1.22168,2061
1779732000,1.22168,1.22168,1.22159,1.22163,31
1779735600,1.22184,1.22186,1.22178,1.22182,42
1779739200,1.22174,1.22178,1.22171,1.22174,53
1779742800,1.22046,1.22058,1.21802,1.21805,13
1779746400,1.22143,1.22184,1.22143,1.22179,135
1779750000,1.2219,1.22194,1.22178,1.22191,54
1779753600,1.22292,1.22297,1.22279,1.22288,137
1779757200,1.2237,1.22385,1.22368,1.22372,249
1779760800,1.2243,1.22438,1.22427,1.22437,115
1779764400,1.22456,1.2246,1.22449,1.22452,73
1779768000,1.22453,1.22458,1.22449,1.22458,56
1779771600,1.22408,1.22414,1.22398,1.224,169
1779775200,1.22469,1.22476,1.2245,1.22474,203
1779778800,1.22448,1.2245,1.22436,1.22449,212
1779782400,1.22529,1.22563,1.22479,1.22554,6468
1779786000,1.22554,1.22584,1.22554,1.22573,209
1779789600,1.22553,1.22559,1.22546,1.22546,92
1779793200,1.22549,1.22558,1.22547,1.22553,90
1779796800,1.22644,1.22648,1.22632,1.22632,93
1779800400,1.22737,1.22743,1.22724,1.22734,104
1779804000,1.22759,1.22779,1.22754,1.22771,125
1779807600,1.22708,1.22718,1.22702,1.22704,147
1779811200,1.22739,1.22739,1.22721,1.22726,140
1779814800,1.22766,1.22768,1.22757,1.22761,82
1779818400,1.22789,1.22792,1.22784,1.22792,67
1779822000,1.22813,1.22822,1.22812,1.22821,82
1779825600,1.22776,1.22781,1.22769,1.22775,85
1779829200,1.22767,1.22767,1.22767,1.22767,2
1779832800,1.22704,1.22812,1.22691,1.22808,98
1779836400,1.22783,1.22788,1.22776,1.22784,84
1779840000,1.22746,1.22751,1.22724,1.22729,233
1779843600,1.22745,1.22745,1.22699,1.22715,250
1779847200,1.22436,1.22439,1.22016,1.22086,240
1779850800,1.2194,1.21969,1.21925,1.21931,109
1779854400,1.22046,1.22049,1.21993,1.22014,119
1779858000,1.21843,1.21869,1.21832,1.21864,148
1779861600,1.21833,1.21859,1.21826,1.21859,145
1779865200,1.21639,1.21653,1.21629,1.21647,106
1779868800,1.21569,1.21574,1.2156,1.21562,110
1779872400,1.21503,1.21507,1.2148,1.2148,139
1779876000,1.2138,1.21385,1.21363,1.21375,113
1779879600,1.21321,1.21327,1.21312,1.21324,151
1779883200,1.21204,1.21207,1.21193,1.21197,122
1779886800,1.20991,1.21004,1.20979,1.20983,244
1779890400,1.20938,1.20949,1.208,1.20921,8152
1779894000,1.20945,1.20962,1.20944,1.20957,172
1779897600,1.21087,1.21091,1.21078,1.2109,90
1779901200,1.21128,1.21135,1.21122,1.21129,188
1779904800,1.21112,1.21117,1.21106,1.21113,89
1779908400,1.21063,1.21063,1.21042,1.21054,105
1779912000,1.21023,1.21035,1.21023,1.21035,86
1779915600,1.20972,1.20972,1.20972,1.20972,9
1779919200,1.20846,1.2106,1.20846,1.21023,83
1779922800,1.2105,1.21061,1.21042,1.21057,81
1779926400,1.2106,1.21063,1.21007,1.21009,168
1779930000,1.20845,1.20845,1.20825,1.20831,208
1779933600,1.20696,1.20702,1.20675,1.2068,155
1779937200,1.20922,1.20936,1.20914,1.20914,119
1779940800,1.20906,1.20922,1.20904,1.20921,277
1779944400,1.21104,1.2116,1.21018,1.2106,7043
1779948000,1.21067,1.21084,1.21059,1.21084,133
1779951600,1.20951,1.20951,1.20925,1.20931,171
1779955200,1.20954,1.20983,1.2089,1.20907,6028
1779958800,1.20887,1.20905,1.20887,1.20901,132
1779962400,1.2086,1.20869,1.20858,1.20863,99
