time,open,high,low,close,volume
1779469200,0.71353,0.71423,0.71254,0.71274,16994
1779656400,0.71543,0.71543,0.71543,0.71543,2
1779670800,0.71587,0.71604,0.71583,0.71597,285
1779685200,0.71688,0.71718,0.71524,0.71611,11985
1779699600,0.71668,0.71751,0.71642,0.71717,10247
1779714000,0.71695,0.71706,0.71691,0.71703,125
1779728400,0.71733,0.71768,0.71729,0.71749,2721
1779742800,0.71691,0.71698,0.7165,0.71653,8
1779757200,0.71702,0.71711,0.71691,0.71706,210
1779771600,0.71606,0.71611,0.71586,0.7159,161
1779786000,0.7164,0.7164,0.71626,0.71634,218
1779800400,0.71677,0.71687,0.71674,0.71683,134
1779814800,0.71626,0.71637,0.71625,0.71635,110
1779829200,0.71678,0.71678,0.71678,0.71678,2
1779843600,0.71756,0.71763,0.71747,0.71758,256
1779858000,0.71609,0.71616,0.71599,0.71607,145
1779872400,0.71415,0.71423,0.71398,0.71408,165
1779886800,0.71334,0.71422,0.71282,0.71387,15290
1779901200,0.71392,0.71396,0.71377,0.71378,184
1779915600,0.71401,0.71401,0.71401,0.71401,2
1779930000,0.71313,0.71323,0.71299,0.71308,212
1779944400,0.71044,0.71271,0.71017,0.71181,20059
1779958800,0.71174,0.71178,0.71169,0.71174,122
