time,open,high,low,close,volume
1777924800,80053.31,80154.12,79901,79936.7,459.51864
1777928400,79936.7,80383.15,79936.7,80259.17,343.30642
1777932000,80259.18,80397.19,80042.84,80067.23,272.35375
1777935600,80067.22,80067.22,79744.91,79861.01,594.08368
1777939200,79861.01,80183.33,79808.72,80170.66,425.73287
1777942800,80170.66,80385.06,80080.76,80352,530.02962
1777946400,80351.99,80900,80300,80554.68,768.44478
1777950000,80554.69,81083.98,80457.93,80893.08,677.93372
1777953600,80893.08,80982.59,80725,80902.44,528.94138
1777957200,80902.44,81323.52,80830.06,80970,1011.38606
1777960800,80969.99,81016.42,80800,80976,389.83367
1777964400,80976,81136.59,80826,80855.59,1044.4323
1777968000,80855.59,80895.5,80723.2,80815.24,474.4579
1777971600,80815.24,80815.24,80527.76,80586.02,865.34761
1777975200,80586.02,80831.87,80530.82,80823.61,521.10422
1777978800,80823.61,81095.48,80780,81014.05,623.66253
1777982400,81014.05,81329.61,80932.54,81279.41,607.82057
1777986000,81279.4,81712.32,81196,81330,1771.4169
1777989600,81330,81500,80939.87,81336.59,1282.91373
1777993200,81336.59,81689.2,81235,81525.19,899.04049
1777996800,81525.19,81615.33,81050.04,81285.75,707.45267
1778000400,81285.75,81458.26,81185.02,81270.6,280.80669
1778004000,81270.61,81599,81270.61,81515,427.56223
1778007600,81515,81680,81407.58,81606.35,364.63717
1778011200,81606.35,81770,81510.13,81646.38,724.67261
1778014800,81646.39,81791.48,81305.27,81407.11,618.58873
1778018400,81407.11,81600,80817.72,81111.27,921.88572
1778022000,81111.27,81222.03,80790,80905.52,479.07578
1778025600,80905.53,81262.28,80731.14,81030.01,876.19915
1778029200,81030,81534.23,80996,81439.34,803.82574
1778032800,81439.34,81449.04,81047.01,81363.54,621.19491
1778036400,81363.54,81760.84,81358.17,81581.69,710.52364
1778040000,81581.7,81649.99,81270,81331.1,575.6413
1778043600,81331.1,81360.3,81060,81333,592.1865
1778047200,81333,81516.9,81211.34,81476.71,524.1354
1778050800,81476.71,81611,81307.81,81359.82,608.74333
1778054400,81359.82,81986,81328.68,81945.66,1353.41416
1778058000,81945.66,82060,81682.7,81997,1096.7335
1778061600,81997,82390,81953.25,82290.04,1302.85091
