time,open,high,low,close,volume
1779480000,115.217,115.24,115.14,115.172,3333
1779656400,114.902,114.902,114.902,114.902,2
1779660000,115.02,115.114,115.011,115.1,288
1779663600,115.118,115.129,115.113,115.119,142
1779667200,115.164,115.167,115.132,115.132,176
1779670800,115.116,115.121,115.091,115.102,331
1779674400,115.138,115.146,115.133,115.142,110
1779678000,115.106,115.108,115.1,115.107,120
1779681600,115.066,115.069,115.062,115.066,91
1779685200,115.069,115.076,115.069,115.074,208
1779688800,115.085,115.09,115.065,115.065,232
1779692400,115.069,115.074,115.064,115.066,152
1779696000,115.071,115.075,115.028,115.063,1487
1779699600,115.054,115.073,115.039,115.071,2374
1779703200,115.047,115.064,115.04,115.055,1882
1779706800,115.061,115.066,115.052,115.06,155
1779710400,115.078,115.098,115.037,115.097,3350
1779714000,115.094,115.101,115.091,115.097,199
1779717600,115.087,115.091,115.079,115.081,147
1779721200,115.155,115.158,115.153,115.156,115
1779724800,115.17,115.179,115.117,115.121,2619
1779728400,115.122,115.142,115.102,115.119,1627
1779732000,115.12,115.122,115.119,115.119,37
1779735600,115.115,115.116,115.114,115.114,12
1779739200,115.16,115.16,115.155,115.155,42
1779742800,115.082,115.082,115.076,115.076,10
1779746400,115.02,115.163,115.02,115.161,128
1779750000,115.139,115.142,115.139,115.141,58
1779753600,115.137,115.141,115.124,115.131,253
1779757200,115.166,115.186,115.166,115.18,284
1779760800,115.131,115.133,115.121,115.125,161
1779764400,115.102,115.11,115.097,115.108,132
1779768000,115.123,115.123,115.116,115.117,66
1779771600,115.134,115.135,115.099,115.106,261
1779775200,115.121,115.139,115.114,115.138,294
1779778800,115.201,115.206,115.192,115.202,255
1779782400,115.325,115.393,115.323,115.348,5141
1779786000,115.349,115.359,115.332,115.333,252
1779789600,115.339,115.341,115.323,115.326,161
1779793200,115.323,115.327,115.316,115.319,181
1779796800,115.258,115.262,115.247,115.252,191
1779800400,115.24,115.262,115.235,115.26,265
1779804000,115.365,115.385,115.351,115.381,208
1779807600,115.399,115.399,115.364,115.367,378
1779811200,115.452,115.453,115.41,115.413,282
1779814800,115.344,115.354,115.34,115.342,255
1779818400,115.332,115.338,115.325,115.336,149
1779822000,115.354,115.355,115.34,115.341,163
1779825600,115.366,115.373,115.364,115.369,186
1779829200,115.317,115.319,115.317,115.319,6
1779832800,115.317,115.352,115.312,115.348,106
1779836400,115.331,115.331,115.309,115.317,150
1779840000,115.332,115.337,115.318,115.322,307
1779843600,115.361,115.378,115.347,115.348,308
1779847200,115.323,115.339,115.317,115.337,343
1779850800,115.29,115.301,115.284,115.287,189
1779854400,115.269,115.276,115.269,115.274,93
1779858000,115.321,115.327,115.315,115.319,174
1779861600,115.357,115.369,115.355,115.359,221
1779865200,115.32,115.344,115.32,115.331,220
1779868800,115.25,115.254,115.23,115.239,213
1779872400,115.27,115.279,115.264,115.271,172
1779876000,115.278,115.282,115.27,115.271,153
1779879600,115.202,115.218,115.201,115.207,187
1779883200,115.261,115.267,115.248,115.256,264
1779886800,115.289,115.299,115.282,115.292,437
1779890400,115.274,115.339,115.236,115.337,5933
1779894000,115.179,115.199,115.169,115.196,437
1779897600,115.309,115.319,115.289,115.303,252
1779901200,115.36,115.366,115.338,115.341,354
1779904800,115.347,115.348,115.336,115.343,230
1779908400,115.295,115.308,115.29,115.308,194
1779912000,115.346,115.346,115.337,115.342,255
1779915600,115.226,115.226,115.226,115.226,4
1779919200,115.236,115.266,115.227,115.255,256
1779922800,115.27,115.273,115.268,115.272,80
1779926400,115.271,115.276,115.267,115.267,263
1779930000,115.238,115.243,115.23,115.234,275
1779933600,115.205,115.22,115.2,115.218,229
1779937200,115.197,115.205,115.196,115.202,227
1779940800,115.103,115.106,115.094,115.095,261
1779944400,115.135,115.16,115.098,115.146,3499
1779948000,115.147,115.181,115.14,115.178,323
1779951600,115.149,115.165,115.139,115.148,332
1779955200,115.116,115.139,115.058,115.063,5134
1779958800,115.06,115.068,115.059,115.064,201
1779962400,114.983,114.986,114.965,114.968,205
