time,open,high,low,close,volume
1779476400,24842.5,24845,24790,24816,4830
1779660000,24959.3,24966.4,24959,24963.7,48
1779663600,24993.3,25004.1,24992.6,25003.1,154
1779667200,25013,25017.2,25002.2,25004.9,266
1779670800,25050,25058,25043.5,25045.5,186
1779674400,25116.5,25116.5,25111.5,25116,110
1779678000,25135,25150,25132.5,25146.5,154
1779681600,25154,25158.5,25150,25158.5,80
1779685200,25184.5,25199.5,25181.5,25199.5,152
1779688800,25151.5,25158.1,25144.5,25149.6,160
1779692400,25134.6,25187.6,25134.6,25180.6,390
1779696000,25184.6,25189.1,25154.1,25188.1,1756
1779699600,25190.1,25247.1,25186.1,25235.6,2844
1779703200,25234.1,25279.6,25226.6,25273.1,2613
1779706800,25260.6,25265.1,25255.6,25265.1,66
1779710400,25277.6,25338.1,25268.1,25291.3,3310
1779714000,25276.3,25280.3,25262.8,25264.8,234
1779717600,25321.1,25327.6,25317.1,25327.1,164
1779721200,25365.8,25369.8,25362.3,25365.8,136
1779724800,25397.7,25400.7,25374.2,25395.7,1232
1779728400,25396.7,25414.2,25385.7,25391.8,538
1779732000,25391.3,25395.3,25391.3,25393.3,18
1779735600,25385.8,25386.8,25383.3,25383.8,26
1779746400,25378.9,25378.9,25373.2,25375.4,24
1779750000,25347.9,25354.4,25342.9,25354.4,210
1779753600,25333.2,25336.7,25307.3,25315.8,371
1779757200,25307.7,25330.2,25302.7,25312.7,422
1779760800,25318.7,25320.7,25308.7,25311.2,134
1779764400,25332.2,25333.7,25328.7,25329.2,122
1779768000,25347.7,25348.2,25345.7,25348.2,50
1779771600,25320.2,25322.7,25315.2,25316.7,172
1779775200,25304.7,25309.2,25295.8,25300.8,184
1779778800,25357.8,25374.8,25339.8,25365.3,464
1779782400,25271.5,25284.5,25181,25185.5,6520
1779786000,25185,25199,25168.7,25195.5,450
1779789600,25214,25214,25202.5,25203.5,228
1779793200,25271,25289.5,25267,25281.5,176
1779796800,25258,25261.5,25249.5,25258,220
1779800400,25263.5,25270,25260.5,25268,324
1779804000,25254,25266.5,25246,25261.5,336
1779807600,25238.9,25239.9,25207.4,25210.4,316
1779811200,25197.2,25210.7,25196.7,25205.7,252
1779814800,25195.2,25199.7,25192.2,25197.7,136
1779818400,25185.1,25187.6,25177.6,25177.6,154
1779822000,25203.6,25204.1,25194.6,25199.1,130
1779825600,25238,25245.1,25229.1,25241.8,243
1779832800,25227.5,25228.5,25226,25226.5,40
1779836400,25223.1,25227.3,25222.8,25224.6,114
1779840000,25268.4,25274.9,25263.6,25267.9,270
1779843600,25265.5,25266.5,25252.5,25263,404
1779847200,25234,25240.5,25231.5,25231.5,224
1779850800,25244.5,25249,25243.5,25248,172
1779854400,25224.5,25226,25219.5,25224,102
1779858000,25251.5,25259,25240.5,25256.5,298
1779861600,25285,25292,25276.1,25276.1,152
1779865200,25286.1,25326.6,25286.1,25326.1,393
1779868800,25341.4,25367.4,25317.9,25365.4,336
1779872400,25335.9,25349.4,25334.9,25346.4,348
1779876000,25358.4,25361.9,25350.9,25356.4,278
1779879600,25355.4,25361.9,25353.4,25360.4,200
1779883200,25262.4,25262.4,25238.9,25239.4,254
1779886800,25260.4,25283.4,25249.4,25280.9,492
1779890400,25258.9,25265.4,25113.8,25196.8,7249
1779894000,25214.3,25227.8,25203.3,25227.8,514
1779897600,25159.6,25165.6,25155.6,25162.1,244
1779901200,25188.6,25194.1,25177.6,25182.1,362
1779904800,25162.6,25163.1,25156.1,25157.6,214
1779908400,25191.6,25196.1,25191.1,25195.6,166
1779912000,25201,25233.6,25170.4,25212,538
1779919200,25248.9,25250.4,25246.9,25249.4,38
1779922800,25221.5,25227.5,25220.3,25225.5,74
1779926400,25173.7,25185.9,25169.2,25185.9,492
1779930000,25197.6,25203.1,25180.1,25183.6,400
1779933600,25178.1,25191.1,25161.6,25164.6,410
1779937200,25114.6,25119.1,25112.6,25118.6,182
1779940800,24964.1,24968.1,24933.6,24953.6,279
1779944400,24957.6,24962.6,24939.6,24941.1,320
1779948000,25057.1,25076.6,25050.2,25052.2,280
1779951600,25085.2,25112.2,25072.7,25101.7,640
1779955200,25145.9,25179.9,25122.9,25159.4,6630
1779958800,25163.4,25180.9,25159.4,25179.9,352
1779962400,25128.4,25142.4,25128.4,25135.4,274
