time,open,high,low,close,volume
1779549000,8.89,8.89,8.87,8.89,1880.44
1779549300,8.88,8.88,8.86,8.87,956.24
1779549600,8.87,8.87,8.86,8.87,5656.23
1779549900,8.87,8.88,8.84,8.84,718.04
1779550200,8.84,8.84,8.83,8.84,514.27
1779550500,8.84,8.85,8.83,8.83,1386.36
1779550800,8.84,8.84,8.83,8.84,390.53
1779551100,8.84,8.85,8.84,8.85,765.49
1779551400,8.85,8.85,8.85,8.85,1387.05
1779551700,8.86,8.86,8.85,8.86,1055.6
1779552000,8.86,8.88,8.86,8.87,1097.44
1779552300,8.87,8.87,8.86,8.86,451.19
1779552600,8.86,8.87,8.85,8.86,1231.49
1779552900,8.86,8.87,8.85,8.86,232.21
1779553200,8.87,8.87,8.85,8.85,170.67
1779553500,8.85,8.86,8.85,8.85,69.28
1779553800,8.85,8.87,8.85,8.87,484.23
1779554100,8.87,8.88,8.87,8.88,150
1779554400,8.88,8.88,8.87,8.87,671.96
1779554700,8.88,8.88,8.87,8.87,143.07
1779555000,8.87,8.88,8.86,8.86,80.34
1779555300,8.86,8.87,8.86,8.87,66.58
1779555600,8.88,8.89,8.87,8.87,701.59
1779555900,8.87,8.89,8.87,8.89,73.23
1779556200,8.9,8.91,8.89,8.91,193.9
1779556500,8.91,8.92,8.91,8.91,1355.08
1779556800,8.9,8.9,8.89,8.89,143.44
1779557100,8.89,8.91,8.89,8.91,758.96
1779557400,8.9,8.91,8.9,8.9,103.6
1779557700,8.9,8.9,8.89,8.89,38.94
1779558000,8.89,8.89,8.88,8.89,309.26
1779558300,8.89,8.89,8.85,8.86,1693.31
1779558600,8.86,8.87,8.86,8.87,810.76
1779558900,8.88,8.88,8.87,8.87,241.86
1779559200,8.87,8.88,8.86,8.88,527.04
1779559500,8.88,8.89,8.88,8.89,992.99
1779559800,8.9,8.94,8.9,8.94,407.17
1779560100,8.95,8.95,8.92,8.95,926.09
1779560400,8.95,8.96,8.95,8.95,1312.18
1779560700,8.95,8.96,8.94,8.95,506.9
1779561000,8.95,9,8.95,8.98,2097.71
1779561300,8.98,8.99,8.96,8.96,2953.58
1779561600,8.97,8.98,8.97,8.98,9575.22
1779561900,8.97,8.97,8.93,8.94,570.41
1779562200,8.93,8.94,8.93,8.93,523.31
1779562500,8.94,8.94,8.93,8.93,234.85
1779562800,8.92,8.92,8.9,8.91,390.17
1779563100,8.92,8.93,8.92,8.92,371.81
1779563400,8.92,8.93,8.91,8.92,448.15
1779563700,8.93,8.96,8.93,8.95,1075.16
1779564000,8.96,8.97,8.94,8.94,830.94
1779564300,8.95,8.95,8.95,8.95,42.05
1779564600,8.96,8.96,8.94,8.94,308.15
1779564900,8.95,8.96,8.95,8.95,271.16
1779565200,8.95,8.95,8.94,8.94,97.07
1779565500,8.94,8.94,8.94,8.94,67.36
1779565800,8.94,8.95,8.94,8.94,306.26
