time,open,high,low,close,volume
1736373600,3296.47,3354.81,3155.35,3205.36,271354
1736460000,3205.77,3320.51,3185.97,3264.05,242011
1736546400,3278.57,3317.33,3216.86,3303.89,175864
1736553600,3267.05,3320.18,3217.56,3282.83,151679.7487
1736632800,3300.37,3303.95,3221.03,3263.71,186784
1736640000,3282.83,3300,3224.49,3267.3,164879.9709
1736719200,3260.44,3334.83,2901.68,3112.24,396419
1736726400,3267.3,3339,2920,3137.51,845907.5669
1736805600,3105.87,3254.54,3105.87,3212.13,374863
1736812800,3137.51,3256.67,3125.65,3225.63,374308.4517
1736892000,3211.8,3473.84,3183.36,3432.57,374352
1736899200,3225.63,3473.75,3186.36,3451.52,464188.034
1736978400,3428.86,3459.56,3262.11,3317.61,324034
1736985600,3451.51,3460.79,3265.44,3308.05,471282.6787
1737064800,3310.67,3526.91,3265.11,3471,377335
1737072000,3308.04,3525.72,3307.5,3473.63,518550.1813
1737151200,3472.08,3495.16,3223.65,3270.37,339003
1737158400,3473.64,3494.39,3227,3307.71,634197.1281
1737237600,3271.35,3444.01,3125.19,3216.75,341200
1737244800,3307.71,3448.99,3130.48,3215.12,1342301.5217
1737324000,3224.74,3445.52,3137.93,3282.21,402958
1737331200,3215.2,3453.69,3142.78,3284,1158354.7814
1737410400,3247.94,3366.38,3198.61,3331.23,370565
1737417600,3283.99,3368,3204.6,3327.54,548706.0513
1737496800,3329.77,3364.7,3236.95,3256.13,305194
1737504000,3327.55,3365.99,3222.85,3242.6,349240.7498
1737583200,3253.99,3296.88,3180.77,3251.57,341373
1737590400,3242.61,3347.97,3185,3338.21,605592.7225
1737669600,3255.86,3426.82,3253.94,3324.8,386946
1737676800,3338.22,3428,3275.9,3310.09,451524.2752
1737756000,3334.2,3349.21,3267.71,3338.05,311547
1737763200,3310.1,3350.68,3268.66,3318.77,208559.0415
1737842400,3338.17,3360.75,3291.01,3298.69,266828
1737849600,3318.76,3362,3230,3232.61,272165.469
1737928800,3290.67,3307.35,3018.12,3156.24,377240
1737936000,3232.61,3253.91,3020.01,3182.44,753004.7529
1738015200,3159.31,3223.29,3049.28,3049.28,343283
1738022400,3182.44,3223.01,3040.03,3077.72,350959.7173
1738101600,3036.63,3180.68,3036.44,3139.17,354805
1738108800,3077.72,3182.52,3054.06,3113.9,409737.2576
1738188000,3136.51,3282.37,3089.7,3243.26,325626
1738195200,3113.9,3283.43,3091.06,3247.39,350639.4823
1738274400,3234.18,3437.56,3212.02,3311.17,332652
1738281600,3247.38,3437.31,3213.8,3300.99,648681.6561
1738360800,3306.96,3330.01,3141.07,3147.66,307061
1738368000,3300.99,3331.98,3101.7,3117.54,354065.2525
1738447200,3147.86,3162.43,2891.29,2905.24,324921
1738454400,3117.54,3163.2,2750.71,2869.68,1050805.93
1738533600,2924.65,2934.98,2072.43,2815.93,402622
1738540800,2869.68,2921,2125.01,2879.9,2807979.021
1738620000,2825.11,2920.85,2637.27,2639.8,404426
1738627200,2879.89,2888.5,2632.6,2731.19,1259594.3919
1738706400,2640.43,2826.04,2633.39,2785.71,356129
1738713600,2731.19,2826.95,2699.13,2788.25,686593.0429
1738792800,2776.3,2857.05,2673.06,2704.43,356441
1738800000,2788.25,2857.64,2655.28,2686.64,719459.9571
1738879200,2693.93,2798.23,2575.15,2586.41,365709
1738886400,2686.63,2797.5,2562.51,2622.1,695467.3612
1738965600,2573.43,2666.92,2567.26,2637.74,305590
1738972800,2622.11,2667.3,2588.8,2632.46,379685.1509
1739052000,2637.49,2696.65,2521.16,2557.81,265158
1739059200,2632.46,2698.9,2520.02,2627.18,387166.7911
1739138400,2540,2692.9,2535.94,2663.73,346335
1739145600,2627.18,2693.79,2559.85,2661.19,398173.2716
1739224800,2658.01,2724.17,2580.86,2619.88,335216
1739232000,2661.19,2725.04,2558.24,2602.59,484196.1435
1739311200,2621.34,2694.21,2546.54,2681.06,373816
1739318400,2602.59,2795.45,2546.92,2738.27,646295.8959
1739397600,2675.93,2793.52,2611.85,2664.77,401229
1739404800,2738.27,2757.28,2612.76,2675.87,443769.2853
1739484000,2663.42,2791.14,2661.38,2738.38,395367
1739491200,2675.87,2791.78,2664.46,2725.95,419895.7862
1739570400,2720.13,2737.98,2664.13,2699.78,362604
1739577600,2725.95,2739,2662.28,2693.04,202971.4295
1739656800,2699.77,2725.51,2658.38,2685.48,362435
1739664000,2693.04,2727.31,2651.26,2661.41,191231.5314
1739743200,2680.03,2849.13,2637.96,2770.61,383545
1739750400,2661.41,2849.7,2637.71,2744.05,639739.8197
1739829600,2762.17,2768.62,2602.7,2645.94,383591
1739836800,2744.05,2756.93,2605.44,2671.99,604863.8737
1739916000,2647.8,2734.99,2644.81,2709.05,386706
1739923200,2672,2736.7,2656.03,2715.5,326154.0202
1740002400,2710.46,2769.66,2705.2,2726.06,319035
1740009600,2715.51,2770.59,2707.18,2738.04,336735.2544
1740088800,2725,2846.59,2611.44,2633.77,363095
1740096000,2738.04,2845.32,2616.72,2663,890440.0604
1740175200,2641.4,2796.31,2630.29,2764.05,320096
1740182400,2663,2798.07,2653.33,2763.22,444989.6669
1740261600,2765.4,2830.12,2742.98,2806.07,294503
1740268800,2763.23,2857.34,2745.41,2819.69,611002.1222
1740348000,2800.18,2853.36,2620.38,2634.21,398443
1740355200,2819.7,2839.95,2470.33,2513.52,876876.3707
1740434400,2577.16,2597.06,2317.43,2509.35,392947
1740441600,2513.52,2533.49,2313.49,2495.7,1322016.8718
1740520800,2514.71,2529.61,2250.67,2329.9,402976
