time,open,high,low,close,volume
1779482700,184.666,184.72,184.62,184.698,936
1779656400,184.772,184.815,184.744,184.784,54
1779657300,184.77,184.78,184.755,184.764,108
1779658200,184.767,184.81,184.738,184.808,58
1779659100,184.748,184.748,184.714,184.735,83
1779660000,184.939,184.953,184.846,184.85,818
1779660900,184.877,184.896,184.854,184.887,351
1779661800,184.928,184.953,184.911,184.943,357
1779662700,184.963,184.986,184.958,184.978,309
1779663600,184.986,185.001,184.973,185,483
1779664500,184.998,185.02,184.99,185.003,228
1779665400,185.016,185.021,185.001,185.011,171
1779666300,185.042,185.061,185.042,185.053,146
1779667200,185.047,185.058,184.961,184.981,635
1779668100,184.963,184.963,184.933,184.954,390
1779669000,184.983,185.021,184.982,184.986,337
1779669900,184.955,184.989,184.954,184.988,283
1779670800,184.899,184.92,184.868,184.912,977
1779671700,184.916,184.939,184.911,184.929,272
1779672600,184.902,184.902,184.838,184.85,464
1779673500,184.883,184.92,184.879,184.904,297
1779674400,184.919,184.933,184.913,184.932,302
1779675300,184.916,184.924,184.912,184.921,208
1779676200,184.923,184.934,184.915,184.926,216
1779677100,184.904,184.908,184.89,184.903,174
1779678000,184.86,184.879,184.845,184.853,453
1779678900,184.874,184.876,184.861,184.863,202
1779679800,184.876,184.9,184.876,184.899,257
1779680700,184.882,184.902,184.882,184.902,218
1779681600,184.899,184.899,184.874,184.883,280
1779682500,184.9,184.914,184.895,184.914,234
1779683400,184.928,184.929,184.912,184.929,220
1779684300,184.941,184.942,184.932,184.94,130
1779685200,184.943,184.969,184.94,184.961,492
1779686100,184.948,184.969,184.946,184.953,148
1779687000,184.971,184.984,184.957,184.979,276
1779687900,184.974,184.99,184.973,184.988,137
1779688800,184.966,184.983,184.939,184.941,680
1779689700,184.982,184.982,184.944,184.944,258
1779690600,184.961,184.962,184.932,184.956,295
1779691500,185,185.022,185,185.016,224
1779692400,184.977,185.022,184.973,184.991,676
1779693300,185.01,185.013,184.981,184.984,298
1779694200,185.008,185.015,184.989,185.002,332
1779695100,184.974,184.988,184.963,184.975,308
1779696000,185.003,185.004,184.949,184.954,386
1779696900,184.994,185.022,184.985,184.993,598
1779697800,185.009,185.052,185.008,185.047,267
1779698700,185.037,185.06,185.012,185.031,1364
1779699600,185.029,185.045,185.004,185.025,932
1779700500,185.026,185.056,185.008,185.035,909
1779701400,185.036,185.062,185.023,185.059,727
1779702300,185.06,185.06,185.021,185.021,377
1779703200,185.01,185.034,185.009,185.032,283
1779704100,185.04,185.067,185.029,185.033,923
1779705000,185.033,185.061,185.026,185.057,719
1779705900,185.058,185.059,185.052,185.057,178
1779706800,185.057,185.062,185.044,185.048,304
1779707700,185.036,185.057,185.032,185.055,290
1779708600,185.07,185.083,185.058,185.067,284
1779709500,185.114,185.122,185.09,185.101,340
1779710400,185.062,185.062,185.037,185.038,459
1779711300,185.055,185.061,185.041,185.053,429
1779712200,185.043,185.104,185.038,185.1,371
1779713100,185.113,185.14,185.078,185.085,1068
1779714000,185.091,185.113,185.088,185.096,755
1779714900,185.06,185.068,185.03,185.031,358
1779715800,185.035,185.037,185.01,185.032,418
1779716700,184.999,185,184.968,184.973,293
1779717600,184.966,184.979,184.951,184.974,355
1779718500,184.968,184.983,184.967,184.974,197
1779719400,184.984,184.995,184.975,184.98,383
1779720300,185.028,185.052,185.016,185.04,364
1779721200,185.018,185.019,184.994,185.006,468
1779722100,185.057,185.062,185.047,185.05,353
1779723000,185.057,185.059,185.023,185.04,1245
1779723900,185.041,185.053,184.986,184.992,1170
1779724800,184.985,185.006,184.935,184.956,940
1779725700,184.955,184.972,184.947,184.951,818
1779726600,184.95,184.959,184.919,184.951,1123
1779727500,184.952,184.98,184.948,184.974,810
1779728400,184.975,185,184.961,184.989,695
1779729300,184.99,185.024,184.989,185.018,572
1779730200,185.016,185.017,184.984,185.001,517
1779731100,184.999,185.01,184.99,185.009,399
1779732000,185.01,185.013,184.985,184.989,279
1779732900,185.006,185.008,184.997,185.003,315
1779733800,185,185.003,184.994,184.995,123
1779734700,184.996,185.01,184.992,185.005,196
1779735600,185.015,185.016,185.003,185.009,113
1779736500,185.003,185.009,185.001,185.009,83
1779737400,185.003,185.01,184.998,185.001,50
1779738300,185.012,185.012,185.005,185.007,36
1779739200,185.003,185.011,185.003,185.009,111
1779740100,185.016,185.027,185.013,185.025,103
1779741000,185.032,185.038,185.03,185.037,129
1779741900,185.023,185.026,185.014,185.022,248
1779742800,184.881,184.881,184.849,184.849,6
1779743700,184.911,184.914,184.898,184.899,34
1779744600,184.885,184.896,184.872,184.873,82
1779745500,184.836,184.841,184.813,184.841,137
1779746400,184.978,185.026,184.978,185.008,560
1779747300,184.999,185.001,184.972,184.972,144
1779748200,184.991,185.008,184.979,185.007,162
1779749100,185.008,185.014,185.005,185.011,112
1779750000,185.002,185.021,185.002,185.018,220
1779750900,185.023,185.028,185.015,185.016,67
1779751800,185.017,185.026,185.017,185.026,74
1779752700,184.975,184.991,184.973,184.973,185
1779753600,184.96,184.995,184.942,184.986,836
1779754500,185.003,185.003,184.973,184.975,357
1779755400,184.979,184.988,184.942,184.943,394
1779756300,184.955,184.98,184.94,184.978,373
1779757200,185.016,185.034,184.979,184.994,927
1779758100,185.017,185.022,185.01,185.017,254
1779759000,184.965,184.972,184.94,184.943,377
1779759900,184.896,184.909,184.894,184.908,230
1779760800,184.944,184.944,184.922,184.938,368
1779761700,184.905,184.93,184.904,184.914,271
1779762600,184.907,184.912,184.903,184.905,196
1779763500,184.911,184.925,184.902,184.924,268
1779764400,184.916,184.924,184.906,184.906,169
1779765300,184.907,184.914,184.907,184.911,112
1779766200,184.907,184.91,184.904,184.908,141
1779767100,184.912,184.913,184.894,184.901,180
1779768000,184.935,184.938,184.914,184.916,188
1779768900,184.939,184.939,184.924,184.929,151
1779769800,184.89,184.909,184.89,184.904,205
1779770700,184.899,184.902,184.891,184.894,176
1779771600,184.909,184.919,184.877,184.902,580
1779772500,184.908,184.916,184.9,184.903,238
1779773400,184.914,184.926,184.9,184.903,308
1779774300,184.914,184.916,184.902,184.908,160
1779775200,184.913,184.953,184.901,184.941,462
1779776100,184.954,184.97,184.948,184.963,204
1779777000,185.037,185.073,185.036,185.055,348
1779777900,185.131,185.15,185.089,185.109,429
1779778800,185.111,185.143,185.081,185.09,579
1779779700,185.097,185.179,185.09,185.177,1367
