time,open,high,low,close,volume
1779480000,1.1606,1.16067,1.15976,1.16016,1894
1779656400,1.16372,1.1638,1.16272,1.16367,541
1779660000,1.1632,1.16378,1.16315,1.16352,815
1779663600,1.16434,1.16461,1.1643,1.16458,372
1779667200,1.16419,1.16424,1.16379,1.16389,652
1779670800,1.16367,1.16403,1.16355,1.16373,889
1779674400,1.16391,1.16426,1.16391,1.1642,399
1779678000,1.16377,1.16395,1.1636,1.16375,444
1779681600,1.16373,1.16376,1.1636,1.16365,267
1779685200,1.16419,1.16452,1.16412,1.16423,635
1779688800,1.16391,1.16398,1.16381,1.16392,582
1779692400,1.16414,1.1642,1.16365,1.16366,668
1779696000,1.16376,1.16404,1.1633,1.16403,1536
1779699600,1.16436,1.16452,1.16402,1.16422,2229
1779703200,1.16414,1.16444,1.16412,1.1643,1918
1779706800,1.16429,1.16431,1.16402,1.16408,323
1779710400,1.16439,1.16528,1.16427,1.16524,2776
1779714000,1.16481,1.16497,1.16479,1.16494,604
1779717600,1.16388,1.16419,1.16384,1.16419,349
1779721200,1.16419,1.16434,1.16396,1.16424,593
1779724800,1.16423,1.16427,1.16367,1.16412,2419
1779728400,1.16411,1.16442,1.16403,1.16434,1451
1779732000,1.16434,1.16437,1.16421,1.16422,172
1779735600,1.16433,1.16436,1.16427,1.16428,114
1779739200,1.16422,1.16429,1.16422,1.16424,107
1779742800,1.16396,1.16397,1.16363,1.16385,12
1779746400,1.16397,1.16408,1.16384,1.16399,684
1779750000,1.16409,1.16425,1.16409,1.16418,140
1779753600,1.16359,1.16394,1.16348,1.16388,848
1779757200,1.16386,1.16393,1.16351,1.16377,886
1779760800,1.16337,1.16349,1.16333,1.16345,443
1779764400,1.1634,1.16351,1.16336,1.1635,272
1779768000,1.16359,1.16361,1.16334,1.16342,188
1779771600,1.16295,1.16303,1.16286,1.1629,532
1779775200,1.16279,1.163,1.16271,1.16294,525
1779782400,1.16373,1.16406,1.16351,1.16376,1185
1779786000,1.16366,1.16391,1.16324,1.16386,987
1779789600,1.16428,1.16436,1.16397,1.16417,500
1779793200,1.16415,1.16434,1.16405,1.16434,649
1779796800,1.16348,1.1636,1.1631,1.16316,718
1779800400,1.16319,1.1633,1.16298,1.1631,780
1779804000,1.16255,1.16297,1.16222,1.16249,1040
1779807600,1.1625,1.1625,1.16205,1.16209,1013
1779811200,1.16202,1.16231,1.16196,1.16226,638
1779814800,1.16239,1.16248,1.16229,1.16245,647
1779818400,1.1624,1.16246,1.16235,1.16245,405
1779822000,1.1629,1.163,1.16274,1.1628,355
1779825600,1.16319,1.1633,1.16316,1.16321,274
1779829200,1.16239,1.16281,1.16178,1.16268,28
1779832800,1.16316,1.16332,1.16316,1.16325,298
1779836400,1.16333,1.16341,1.16331,1.16338,122
1779840000,1.16363,1.1639,1.1636,1.1638,585
1779843600,1.16379,1.16393,1.16373,1.16383,748
1779847200,1.16339,1.16384,1.16338,1.16374,808
1779850800,1.16384,1.16424,1.16382,1.16407,501
1779854400,1.16386,1.16397,1.16383,1.16394,281
1779858000,1.16413,1.16435,1.16409,1.16428,402
1779861600,1.16396,1.1641,1.16373,1.16404,655
1779865200,1.16458,1.16488,1.16444,1.16469,691
1779868800,1.16404,1.16433,1.16382,1.16425,714
1779872400,1.16447,1.16453,1.16429,1.16437,679
1779876000,1.16445,1.16447,1.16427,1.16441,544
1779879600,1.16391,1.16403,1.16373,1.16378,645
1779883200,1.16378,1.16394,1.16362,1.16368,829
1779886800,1.16436,1.1648,1.16426,1.16446,1891
1779890400,1.16419,1.16427,1.16366,1.16414,1416
1779894000,1.16254,1.16331,1.16226,1.16314,1489
1779897600,1.16303,1.16303,1.16242,1.16264,1056
1779901200,1.16323,1.1633,1.16229,1.16236,1478
1779904800,1.16269,1.16274,1.16239,1.16244,590
1779908400,1.16295,1.16316,1.16283,1.16289,515
1779912000,1.16288,1.16307,1.16279,1.16283,466
1779915600,1.16247,1.16279,1.16247,1.16279,14
1779919200,1.16289,1.16298,1.16276,1.16288,436
1779922800,1.16258,1.16282,1.16257,1.16278,231
1779926400,1.16174,1.16208,1.16166,1.16207,824
1779930000,1.16207,1.16212,1.16177,1.16197,870
1779933600,1.16099,1.16124,1.16095,1.16122,884
1779937200,1.16125,1.16138,1.16073,1.16076,798
1779940800,1.1587,1.15913,1.15862,1.15897,1043
1779944400,1.15919,1.15932,1.1589,1.15897,613
1779948000,1.1599,1.16045,1.15984,1.16041,1043
1779951600,1.16104,1.16166,1.16102,1.16157,1086
1779955200,1.1612,1.1616,1.16115,1.16131,1080
1779958800,1.16155,1.16182,1.16145,1.16179,1012
1779962400,1.1613,1.1614,1.1609,1.16118,686
