time,open,high,low,close,volume
1779480000,213.906,213.932,213.772,213.801,4902
1779656400,213.643,213.74,213.457,213.719,434
1779660000,213.877,214.236,213.861,214.234,5829
1779663600,214.235,214.303,214.217,214.291,3935
1779667200,214.29,214.294,214.158,214.177,6139
1779670800,214.174,214.221,214.105,214.166,6500
1779674400,214.166,214.185,214.086,214.088,3728
1779678000,214.074,214.129,214.05,214.099,4580
1779681600,214.097,214.225,214.085,214.193,3754
1779685200,214.192,214.29,214.19,214.266,4695
1779688800,214.259,214.329,214.19,214.297,6173
1779692400,214.299,214.352,214.224,214.249,5569
1779696000,214.37,214.44,214.29,214.434,5865
1779699600,214.433,214.48,214.411,214.435,4431
1779703200,214.435,214.466,214.39,214.435,4075
1779706800,214.434,214.6,214.385,214.533,5213
1779710400,214.538,214.608,214.516,214.527,6075
1779714000,214.527,214.584,214.441,214.442,5937
1779717600,214.443,214.571,214.417,214.55,5546
1779721200,214.549,214.597,214.507,214.541,5529
1779724800,214.542,214.592,214.509,214.571,4221
1779728400,214.574,214.62,214.563,214.598,2487
1779732000,214.597,214.617,214.582,214.596,980
1779735600,214.629,214.631,214.604,214.623,827
1779739200,214.66,214.675,214.641,214.646,807
1779742800,214.517,214.543,214.407,214.53,90
1779746400,214.455,214.639,214.455,214.6,2504
1779750000,214.604,214.631,214.502,214.516,3318
1779753600,214.519,214.544,214.428,214.517,7014
1779757200,214.517,214.548,214.34,214.401,7330
1779760800,214.398,214.432,214.346,214.366,5099
1779764400,214.369,214.409,214.338,214.384,3904
1779768000,214.386,214.395,214.315,214.347,3770
1779771600,214.346,214.358,214.267,214.29,5073
1779775200,214.292,214.473,214.265,214.424,7072
1779782400,214.518,214.642,214.491,214.569,2018
1779786000,214.54,214.638,214.482,214.607,6714
1779789600,214.6,214.661,214.524,214.606,7086
1779793200,214.602,214.679,214.406,214.419,7554
1779796800,214.409,214.54,214.391,214.429,7533
1779800400,214.433,214.497,214.362,214.44,9311
1779804000,214.441,214.509,214.267,214.279,9929
1779807600,214.28,214.314,214.077,214.118,9353
1779811200,214.117,214.226,214.084,214.129,7304
1779814800,214.13,214.225,214.105,214.203,5933
1779818400,214.201,214.223,214.151,214.221,5735
1779822000,214.22,214.27,214.179,214.259,5129
1779825600,214.26,214.325,214.172,214.195,3543
1779829200,214.063,214.143,214.063,214.127,92
1779832800,214.219,214.257,214.197,214.213,2896
1779836400,214.213,214.294,214.202,214.27,2480
1779840000,214.268,214.354,214.192,214.317,6322
1779843600,214.316,214.324,214.166,214.212,6639
1779847200,214.212,214.264,214.183,214.197,6156
1779850800,214.199,214.251,214.175,214.205,4578
1779854400,214.202,214.264,214.196,214.245,4016
1779858000,214.247,214.356,214.237,214.318,4913
1779861600,214.316,214.373,214.25,214.366,6906
1779865200,214.374,214.417,214.189,214.223,7018
1779868800,214.225,214.403,214.195,214.327,7132
1779872400,214.323,214.369,214.236,214.263,5925
1779876000,214.257,214.27,214.145,214.223,6273
1779879600,214.233,214.254,214.132,214.193,6647
1779883200,214.192,214.373,214.129,214.255,11052
1779886800,214.25,214.387,214.243,214.319,10546
1779890400,214.321,214.481,214.003,214.042,11600
1779894000,214.032,214.16,214.021,214.158,9713
1779897600,214.152,214.229,214.085,214.217,7201
1779901200,214.22,214.241,214.074,214.189,6744
1779904800,214.187,214.24,214.137,214.21,6080
1779908400,214.21,214.279,214.201,214.27,5504
1779912000,214.27,214.283,214.161,214.176,3589
1779915600,214.017,214.055,214.014,214.052,32
1779919200,214.123,214.217,214.123,214.177,2438
1779922800,214.18,214.199,214.058,214.08,3545
1779926400,214.075,214.12,213.975,214.02,6600
1779930000,214.027,214.027,213.807,213.824,6322
1779933600,213.826,213.882,213.814,213.835,5590
1779937200,213.836,213.845,213.385,213.385,8072
1779940800,213.384,213.501,213.329,213.476,6804
1779944400,213.474,213.726,213.424,213.68,6225
1779948000,213.678,213.826,213.661,213.777,7517
1779951600,213.782,213.886,213.729,213.743,8127
1779955200,213.744,213.778,213.62,213.7,7359
1779958800,213.698,213.748,213.531,213.55,7286
