time,open,high,low,close,volume
1779483300,1.34347,1.34354,1.34291,1.34311,223
1779656400,1.3452,1.3452,1.3452,1.3452,2
1779656700,1.34513,1.34514,1.3448,1.3448,42
1779657000,1.34479,1.34507,1.34476,1.34502,29
1779657300,1.34504,1.34504,1.34481,1.34493,28
1779657600,1.34496,1.34545,1.34486,1.34528,114
1779657900,1.34529,1.34537,1.34527,1.34537,70
1779658200,1.34535,1.34555,1.34485,1.34488,41
1779658500,1.34488,1.34489,1.34485,1.34487,18
1779658800,1.34497,1.34504,1.34483,1.34498,75
1779659100,1.34501,1.34503,1.3448,1.3448,49
1779659400,1.34484,1.34495,1.34481,1.34487,37
1779659700,1.34486,1.34527,1.34482,1.34487,53
1779660000,1.34567,1.34758,1.34564,1.34756,402
1779660300,1.34755,1.3478,1.34745,1.3478,332
1779660600,1.3478,1.34783,1.34759,1.34769,201
1779660900,1.3477,1.34783,1.34752,1.34765,234
1779661200,1.34768,1.3479,1.34759,1.3478,223
1779661500,1.34779,1.34843,1.34779,1.34832,299
1779661800,1.34832,1.34861,1.34827,1.34829,386
1779662100,1.34829,1.3484,1.34808,1.34829,322
1779662400,1.34829,1.3483,1.34809,1.34822,239
1779662700,1.34821,1.34841,1.34821,1.34831,204
1779663000,1.34832,1.34833,1.34802,1.34809,216
1779663300,1.34809,1.34841,1.34806,1.34841,217
1779663600,1.3484,1.3488,1.34839,1.3488,297
1779663900,1.34878,1.34882,1.34869,1.34879,185
1779664200,1.34878,1.34882,1.34867,1.34868,117
1779664500,1.34868,1.34871,1.34857,1.34859,136
1779664800,1.3486,1.34871,1.34858,1.34865,134
1779665100,1.34865,1.34865,1.34842,1.34843,125
1779665400,1.34841,1.34856,1.34832,1.34845,203
1779665700,1.34845,1.34858,1.34837,1.34858,193
1779666000,1.34857,1.34859,1.34846,1.34848,219
1779666300,1.34848,1.34855,1.34837,1.34841,269
1779666600,1.34842,1.34842,1.34818,1.3483,284
1779666900,1.3483,1.34831,1.34805,1.34811,321
1779667200,1.34806,1.34819,1.34789,1.34789,449
1779667500,1.34789,1.34813,1.34787,1.34804,326
1779667800,1.34809,1.34819,1.34797,1.34803,358
1779668100,1.34802,1.3482,1.34787,1.3482,391
1779668400,1.3482,1.34828,1.34803,1.34824,302
1779668700,1.34824,1.34824,1.34787,1.34816,352
1779669000,1.34817,1.3483,1.34799,1.34801,273
1779669300,1.34801,1.34808,1.34783,1.34788,255
1779669600,1.34787,1.34787,1.34768,1.34778,284
1779669900,1.34781,1.34879,1.34778,1.34859,355
1779670200,1.3486,1.3488,1.3485,1.34869,464
1779670500,1.34869,1.34877,1.34773,1.3479,719
1779670800,1.3479,1.3483,1.34782,1.34813,672
1779671100,1.34813,1.34832,1.3478,1.34797,382
1779671400,1.34798,1.34869,1.34773,1.34868,441
1779671700,1.34868,1.3488,1.34862,1.3488,371
1779672000,1.3488,1.34885,1.34868,1.34874,275
1779672300,1.34873,1.34901,1.34866,1.34898,316
1779672600,1.34899,1.34902,1.34819,1.34833,511
1779672900,1.34833,1.34874,1.34833,1.34868,267
1779673200,1.34869,1.3487,1.34829,1.34834,319
1779673500,1.34835,1.34851,1.34826,1.3483,353
1779673800,1.34828,1.34828,1.34808,1.34814,269
1779674100,1.34811,1.34819,1.34791,1.34801,360
1779674400,1.348,1.34815,1.34799,1.34808,215
1779674700,1.34808,1.34837,1.34807,1.34828,315
1779675000,1.34829,1.3483,1.34797,1.34797,257
1779675300,1.34798,1.34804,1.34789,1.34799,266
1779675600,1.34801,1.34813,1.34797,1.34811,242
1779675900,1.34812,1.34818,1.34796,1.34811,273
1779676200,1.34812,1.34812,1.34798,1.34808,212
1779676500,1.34809,1.34819,1.34806,1.34807,227
1779676800,1.34806,1.34808,1.34787,1.34804,212
1779677100,1.34805,1.34808,1.34789,1.34796,220
1779677400,1.34797,1.34798,1.34777,1.34778,179
1779677700,1.34777,1.34778,1.34754,1.34768,303
1779678000,1.34769,1.3479,1.34745,1.34755,309
1779678300,1.34756,1.34761,1.34745,1.34757,254
1779678600,1.34756,1.34766,1.34755,1.34759,203
1779678900,1.3476,1.34762,1.34748,1.34758,271
1779679200,1.3476,1.34786,1.3476,1.34768,340
1779679500,1.34767,1.34773,1.34758,1.34765,276
1779679800,1.34765,1.34779,1.34762,1.34773,242
1779680100,1.34774,1.34794,1.34766,1.3477,331
1779680400,1.3477,1.34778,1.34761,1.34765,241
1779680700,1.34764,1.34764,1.3475,1.34755,183
1779681000,1.34755,1.34759,1.34744,1.34748,266
1779681300,1.34749,1.34758,1.34745,1.34751,312
1779681600,1.3475,1.34764,1.34746,1.34764,267
1779681900,1.34763,1.34765,1.34748,1.3475,179
1779682200,1.34749,1.34759,1.34749,1.3475,232
1779682500,1.3475,1.34753,1.34746,1.34748,174
1779682800,1.34747,1.3476,1.34747,1.3475,199
1779683100,1.3475,1.34768,1.3475,1.34767,166
