time,open,high,low,close,volume
1725667200,0.366,0.3666,0.3644,0.3646,306402.3
1725668100,0.3645,0.3664,0.3643,0.366,258802.9
1725669000,0.366,0.3678,0.3657,0.3677,180108.7
1725669900,0.3677,0.368,0.366,0.366,252770.1
1725670800,0.3661,0.3672,0.3657,0.3659,193398.4
1725671700,0.366,0.3666,0.3657,0.3664,135100.4
1725672600,0.3663,0.3669,0.366,0.3665,83764.1
1725673500,0.3666,0.3667,0.3662,0.3666,66594.1
1725674400,0.3666,0.3668,0.3662,0.3666,106942.9
1725675300,0.3668,0.3668,0.365,0.365,95434.9
1725676200,0.3651,0.3661,0.3645,0.3652,287745.6
1725677100,0.3652,0.3658,0.3648,0.3651,54709.7
1725678000,0.3651,0.3666,0.365,0.3666,112346.9
1725678900,0.3666,0.3675,0.3665,0.3673,60557.6
1725679800,0.3675,0.3676,0.3671,0.3672,83189.3
1725680700,0.3673,0.3676,0.3668,0.3676,136149
1725681600,0.3675,0.3678,0.3674,0.3674,86147.1
1725682500,0.3674,0.3679,0.3673,0.3677,211186.5
1725683400,0.3676,0.368,0.3674,0.3679,116236.2
1725684300,0.3679,0.3692,0.3678,0.3691,116441.4
1725685200,0.3691,0.375,0.3691,0.3747,507074
1725686100,0.3746,0.3746,0.3715,0.3725,361157.4
1725687000,0.3725,0.3727,0.3721,0.3725,189614.5
1725687900,0.3725,0.3734,0.3724,0.3732,230754.4
1725688800,0.3733,0.3746,0.3728,0.3745,309803.6
1725689700,0.3745,0.3753,0.3742,0.3749,595926.4
1725690600,0.375,0.3752,0.3728,0.3734,288728.8
1725691500,0.3733,0.3747,0.3733,0.3743,162755.4
1725692400,0.3744,0.3746,0.3735,0.3742,156871.6
1725693300,0.3742,0.3754,0.3739,0.3753,277111.4
1725694200,0.3753,0.3759,0.3744,0.3752,283463.8
1725695100,0.3753,0.3757,0.375,0.3751,151386.2
1725696000,0.3752,0.3756,0.3751,0.3753,280541.4
1725696900,0.3754,0.3755,0.3741,0.3755,294361.4
1725697800,0.3755,0.3758,0.3742,0.3749,362473.2
1725698700,0.375,0.375,0.3743,0.3748,112634.7
1725699600,0.3749,0.3751,0.374,0.3744,293927.9
1725700500,0.3743,0.3745,0.3735,0.3736,354892.1
1725701400,0.3737,0.3737,0.3725,0.3726,589660.2
1725702300,0.3725,0.3726,0.3709,0.3721,260356.1
1725703200,0.3721,0.3728,0.3721,0.3724,110570.8
1725704100,0.3724,0.3731,0.3723,0.3729,117675.5
1725705000,0.373,0.3736,0.3728,0.3731,142211.8
1725705900,0.3731,0.3731,0.3724,0.3725,65907.6
1725706800,0.3726,0.3732,0.3724,0.3731,158461.3
1725707700,0.3731,0.3741,0.3731,0.3739,156583.2
1725708600,0.374,0.3742,0.3734,0.3735,165680.2
