time,open,high,low,close,volume
1779369300,1.748,1.749,1.739,1.744,125302
1779370200,1.744,1.745,1.724,1.726,341376.2
1779371100,1.727,1.746,1.726,1.744,287802.5
1779372000,1.744,1.753,1.737,1.745,282482.6
1779372900,1.746,1.746,1.723,1.733,374485.9
1779373800,1.734,1.749,1.733,1.746,230926
1779374700,1.746,1.758,1.745,1.755,194477.5
1779375600,1.755,1.779,1.752,1.776,456001
1779376500,1.776,1.83,1.776,1.819,1755823.2
1779377400,1.819,1.825,1.792,1.806,629587.5
1779378300,1.807,1.822,1.802,1.807,698797.9
1779379200,1.806,1.822,1.801,1.805,624874.3
1779380100,1.806,1.808,1.787,1.792,353760.3
1779381000,1.791,1.796,1.765,1.772,403070
1779381900,1.772,1.783,1.768,1.782,282749.1
1779382800,1.782,1.816,1.782,1.813,430345.7
1779383700,1.814,1.828,1.81,1.824,982252.4
1779384600,1.824,1.847,1.821,1.837,1034301.5
1779385500,1.837,1.873,1.821,1.857,1354044.1
1779386400,1.857,1.865,1.84,1.844,705276.6
1779387300,1.844,1.865,1.843,1.852,365909.4
1779388200,1.852,1.864,1.842,1.86,422619
1779389100,1.86,1.861,1.823,1.838,416732.1
1779390000,1.838,1.857,1.835,1.856,240746.1
1779390900,1.857,1.876,1.855,1.874,371929.5
1779391800,1.874,1.888,1.87,1.887,389267.1
1779392700,1.887,1.933,1.887,1.924,1747622.3
1779393600,1.924,1.939,1.912,1.928,709945.8
1779394500,1.928,1.944,1.918,1.934,504404.1
1779395400,1.935,1.944,1.923,1.935,330443.9
1779396300,1.935,1.955,1.932,1.946,532115.6
1779397200,1.947,1.959,1.939,1.95,493249.2
1779398100,1.95,1.967,1.95,1.96,461754.2
1779399000,1.96,1.961,1.933,1.933,539203.4
1779399900,1.934,1.945,1.923,1.927,304485.1
1779400800,1.928,1.957,1.917,1.952,677800.9
1779401700,1.951,1.96,1.933,1.957,444956.5
1779402600,1.958,1.962,1.93,1.943,370749.1
1779403500,1.943,1.952,1.93,1.934,361876.2
1779404400,1.933,1.952,1.925,1.925,703231.6
1779405300,1.925,1.933,1.92,1.928,568164.5
1779406200,1.928,1.955,1.926,1.93,484303.8
1779407100,1.93,1.933,1.921,1.927,405045.6
1779408000,1.927,1.941,1.918,1.939,478291.3
1779408900,1.939,1.952,1.932,1.949,393592.2
1779409800,1.949,1.977,1.949,1.963,1112591.9
1779410700,1.963,1.99,1.957,1.982,1101666.1
