time,open,high,low,close,volume
1779482700,0.80819,0.80839,0.80792,0.8081,928
1779656400,0.80998,0.81025,0.80902,0.80995,117
1779657300,0.80986,0.81059,0.80983,0.81044,152
1779658200,0.81042,0.81046,0.81014,0.8102,192
1779659100,0.81024,0.81045,0.80976,0.8098,343
1779660000,0.81076,0.8112,0.81049,0.81086,1037
1779660900,0.81084,0.81095,0.81048,0.81057,936
1779661800,0.81059,0.81089,0.81037,0.81089,974
1779662700,0.81089,0.81127,0.81087,0.81117,749
1779663600,0.81119,0.81145,0.81116,0.81117,917
1779664500,0.81117,0.81119,0.81094,0.81099,625
1779665400,0.81101,0.81114,0.81086,0.81102,746
1779666300,0.81101,0.81103,0.81045,0.81047,1103
1779667200,0.81046,0.81074,0.81023,0.81067,1323
1779668100,0.81067,0.81114,0.81059,0.81113,1281
1779669000,0.81114,0.81131,0.81083,0.81087,1093
1779669900,0.81091,0.81152,0.81046,0.81058,1624
1779670800,0.81059,0.8112,0.81059,0.81116,1650
1779671700,0.81118,0.81139,0.81096,0.81139,1244
1779672600,0.81139,0.81139,0.81083,0.81083,1264
1779673500,0.81086,0.81099,0.81059,0.81063,1109
1779674400,0.81064,0.81091,0.81057,0.81067,1158
1779675300,0.81071,0.81106,0.81056,0.81088,984
1779676200,0.81088,0.81095,0.81062,0.81075,853
1779677100,0.81076,0.81078,0.81026,0.8104,1024
1779678000,0.8104,0.81055,0.81025,0.81047,1046
1779678900,0.81047,0.81066,0.81031,0.81062,1099
1779679800,0.8106,0.81074,0.81054,0.81062,1006
1779680700,0.81063,0.81065,0.81043,0.81055,1005
1779681600,0.81055,0.8107,0.8105,0.81057,843
1779682500,0.81058,0.81097,0.81053,0.81096,853
1779683400,0.81099,0.81129,0.81089,0.81124,859
1779684300,0.81125,0.81144,0.8112,0.81125,836
1779685200,0.81123,0.81145,0.81117,0.81136,1056
1779686100,0.81138,0.81143,0.81113,0.81114,744
1779687000,0.81117,0.81149,0.81107,0.81142,890
1779687900,0.81141,0.81148,0.81106,0.81116,927
1779688800,0.81108,0.81159,0.81101,0.81148,1004
1779689700,0.81148,0.8115,0.81107,0.81112,987
1779690600,0.81113,0.81129,0.81103,0.81105,976
1779691500,0.81105,0.8113,0.81099,0.81113,1109
1779692400,0.81114,0.81123,0.81074,0.81082,1297
1779693300,0.8108,0.81083,0.81006,0.81051,1517
1779694200,0.81054,0.81103,0.81048,0.81081,1311
1779695100,0.81083,0.81088,0.81067,0.81085,941
1779696000,0.8109,0.8112,0.81074,0.81098,1178
1779696900,0.81097,0.81107,0.81076,0.8108,1038
1779697800,0.81079,0.81113,0.81076,0.81102,1011
1779698700,0.811,0.81112,0.81084,0.81104,1084
1779699600,0.81105,0.81125,0.81101,0.81116,816
1779700500,0.81116,0.81121,0.81099,0.81102,753
1779701400,0.81103,0.81115,0.81092,0.81103,840
1779702300,0.81105,0.8111,0.81086,0.81091,673
1779703200,0.81092,0.81105,0.81086,0.81093,852
1779704100,0.81094,0.81105,0.81076,0.81077,642
