time,open,high,low,close,volume
1779480000,10443.8,10443.8,10443.8,10443.8,2
1779753600,10542.6,10542.6,10513.3,10517.8,234
1779753900,10517.3,10518.8,10500.8,10502.1,296
1779754200,10501.8,10510.8,10499.8,10510.1,384
1779754500,10509.6,10524.6,10507.8,10518.8,492
1779754800,10518.6,10519.3,10513.1,10515.3,380
1779755100,10515.8,10521.8,10514.8,10519.1,342
1779755400,10519.3,10524.8,10518.3,10522.8,326
1779755700,10523.3,10528.6,10521.6,10521.8,364
1779756000,10522.1,10522.8,10518.1,10518.8,368
1779756300,10518.3,10518.3,10509.6,10510.8,340
1779756600,10510.3,10511.8,10505.3,10509.3,366
1779756900,10508.6,10514.6,10508.3,10510.8,308
1779757200,10511.3,10514.8,10507.6,10508.8,528
1779757500,10508.6,10513.1,10506.3,10506.3,478
1779757800,10506.6,10511.6,10505.6,10510.8,472
1779758100,10510.3,10515.3,10507.3,10511.6,364
1779758400,10511.1,10512.6,10503.1,10505.3,486
1779758700,10504.8,10507.6,10502.8,10504.8,408
1779759000,10505.1,10505.1,10497.3,10500.1,488
1779759300,10499.8,10501.1,10496.6,10497.1,498
1779759600,10496.8,10496.8,10490.3,10492.8,482
1779759900,10492.6,10499.3,10491.6,10497.8,368
1779760200,10498.6,10501.8,10498.3,10500.8,296
1779760500,10500.6,10506.8,10500.6,10505.3,352
1779760800,10505.8,10506.1,10501.1,10503.1,352
1779761100,10503.3,10506.1,10501.8,10504.3,288
1779761400,10504.6,10507.3,10502.3,10502.6,302
1779761700,10502.8,10503.6,10499.6,10499.6,168
1779762000,10499.8,10499.8,10495.8,10496.3,240
1779762300,10496.1,10498.3,10493.1,10498.3,282
1779762600,10498.1,10500.3,10498.1,10499.6,248
1779762900,10499.3,10501.6,10497.3,10501.1,246
1779763200,10500.8,10501.3,10497.1,10499.3,278
1779763500,10499.6,10499.8,10497.3,10497.8,260
1779763800,10497.6,10499.3,10496.8,10496.8,228
1779764100,10497.1,10498.3,10495.8,10497.6,286
1779764400,10497.3,10497.3,10494.1,10494.1,122
1779764700,10494.3,10496.8,10493.6,10495.8,310
1779765000,10495.6,10497.1,10493.3,10493.3,172
1779765300,10493.1,10501.3,10492.8,10500.3,170
1779765600,10500.6,10504.6,10500.6,10503.8,254
1779765900,10503.6,10504.6,10501.3,10502.8,240
1779766200,10503.1,10506.1,10502.8,10504.3,268
1779766500,10504.6,10507.1,10504.1,10505.8,142
1779766800,10506.1,10507.1,10504.1,10504.3,234
1779767100,10504.1,10504.1,10500.1,10502.8,200
1779767400,10503.1,10504.6,10501.8,10503.8,224
1779767700,10504.1,10505.1,10503.1,10503.6,188
1779768000,10503.8,10504.1,10500.1,10500.1,194
1779768300,10500.3,10501.1,10497.1,10498.6,122
1779768600,10498.3,10499.8,10498.3,10499.3,176
1779768900,10499.1,10501.3,10498.1,10500.3,192
1779769200,10500.8,10505.1,10500.6,10503.3,180
1779769500,10503.8,10504.3,10501.6,10501.6,194
1779769800,10501.8,10502.1,10499.1,10499.8,168
1779770100,10499.6,10501.8,10499.1,10500.8,202
1779770400,10500.6,10501.3,10498.8,10498.8,192
1779770700,10499.1,10499.3,10493.1,10495.8,186
1779771000,10495.6,10498.3,10494.3,10496.3,204
1779771300,10496.6,10497.8,10495.8,10496.3,206
1779771600,10496.1,10496.6,10491.8,10492.8,248
1779771900,10493.1,10498.3,10490.8,10497.1,282
1779772200,10496.6,10496.8,10494.8,10496.3,186
1779772500,10496.1,10496.8,10494.8,10495.1,208
1779772800,10494.8,10496.6,10494.3,10495.1,178
1779773100,10495.3,10498.1,10494.1,10496.8,170
1779773400,10496.3,10500.3,10496.3,10497.3,254
1779773700,10497.6,10499.6,10495.6,10496.8,260
1779774000,10496.6,10498.1,10492.8,10496.8,214
1779774300,10496.6,10498.8,10495.8,10496.3,230
1779774600,10496.1,10496.6,10493.3,10493.3,164
1779774900,10493.6,10495.1,10492.1,10495.1,212
1779775200,10495.3,10496.1,10485.6,10491.6,320
1779775500,10491.8,10495.3,10491.1,10493.8,246
1779775800,10493.6,10502.8,10493.6,10502.1,182
1779776100,10501.8,10502.8,10498.3,10500.6,274
1779776400,10500.8,10502.3,10498.8,10502.3,150
1779776700,10502.8,10507.3,10499.8,10505.1,340
1779777000,10504.3,10511.6,10504.3,10508.8,354
1779777300,10509.3,10526.3,10509.3,10525.6,304
1779777600,10526.6,10531.3,10525.6,10528.6,266
1779777900,10528.8,10532.1,10522.3,10532.1,318
1779778200,10531.8,10538.3,10531.6,10537.1,336
1779778500,10536.8,10537.8,10519.3,10535.1,368
1779783000,10538.9,10542.6,10534.1,10534.6,386
1779783300,10533.1,10542.4,10531.6,10541.4,390
1779783600,10541.6,10546.6,10539.9,10546.4,350
1779783900,10545.9,10547.9,10541.9,10544.1,350
1779784200,10542.9,10546.9,10540.1,10545.6,394
1779784500,10545.9,10547.1,10541.1,10541.4,398
1779784800,10540.1,10546.9,10539.1,10543.1,358
1779785100,10542.9,10544.4,10537.4,10538.4,286
1779785400,10538.1,10544.4,10538.1,10540.4,318
1779785700,10540.9,10540.9,10531.9,10532.6,324
1779786000,10532.4,10536.9,10529.9,10536.1,350
1779786300,10536.6,10537.6,10529.6,10532.1,330
1779786600,10532.4,10537.6,10531.4,10534.4,300
1779786900,10533.9,10542.4,10532.4,10541.4,354
1779787200,10541.9,10549.6,10540.6,10542.6,358
1779787500,10542.9,10551.4,10542.4,10550.6,304
1779787800,10550.9,10551.6,10545.6,10545.9,400
1779788100,10545.4,10545.4,10535.9,10536.4,274
1779788400,10536.1,10538.4,10533.4,10534.4,344
1779788700,10534.6,10537.9,10532.9,10534.4,272
1779789000,10533.9,10533.9,10528.9,10530.6,278
1779789300,10530.4,10531.6,10527.6,10531.1,294
1779789600,10531.6,10532.1,10527.6,10528.9,298
1779789900,10529.1,10531.9,10527.6,10527.9,260
1779790200,10528.4,10538.4,10527.4,10537.6,310
1779790500,10538.4,10539.1,10535.1,10537.9,312
1779790800,10538.1,10542.1,10537.1,10540.9,258
1779791100,10540.6,10549.4,10540.6,10546.4,332
1779791400,10546.6,10552.4,10544.9,10549.4,444
1779791700,10549.6,10552.9,10547.6,10547.9,380
1779792000,10548.4,10549.1,10540.4,10543.1,364
1779792300,10542.9,10543.9,10535.6,10536.9,250
1779792600,10536.6,10542.9,10536.4,10541.6,234
1779792900,10541.9,10547.1,10541.6,10544.4,294
1779793200,10544.1,10545.9,10539.6,10543.6,326
1779793500,10543.1,10544.9,10537.4,10538.9,244
1779793800,10539.4,10542.4,10538.6,10539.9,196
1779794100,10540.1,10540.1,10534.4,10536.4,298
1779794400,10536.6,10538.4,10531.9,10534.6,450
1779794700,10534.9,10536.9,10531.1,10531.4,310
1779795000,10531.1,10532.1,10512.6,10515.9,460
1779795300,10515.6,10519.9,10507.6,10519.9,624
1779795600,10520.1,10523.6,10514.6,10523.6,400
1779795900,10523.1,10527.1,10521.1,10524.4,350
1779796200,10524.6,10526.4,10521.4,10524.1,314
1779796500,10524.6,10524.9,10518.9,10518.9,320
1779796800,10518.4,10523.6,10514.9,10522.9,336
1779797100,10523.1,10523.1,10515.1,10520.9,326
1779797400,10520.6,10525.6,10519.9,10524.4,200
1779797700,10524.1,10530.1,10524.1,10525.4,332
1779798000,10524.9,10524.9,10518.9,10520.1,310
1779798300,10519.6,10523.6,10519.1,10522.9,280
1779798600,10523.1,10523.1,10516.1,10518.1,326
1779798900,10518.6,10521.6,10516.9,10518.9,250
1779799200,10519.4,10525.1,10518.9,10521.1,292
1779799500,10521.6,10527.6,10519.6,10526.6,258
1779799800,10526.9,10534.1,10526.9,10532.1,362
1779800100,10531.9,10534.1,10528.9,10533.4,274
1779800400,10533.1,10542.1,10533.1,10541.9,354
1779800700,10541.6,10543.4,10539.1,10540.1,274
1779801000,10539.9,10544.4,10536.6,10543.1,334
1779801300,10543.4,10547.6,10543.1,10544.6,238
1779801600,10544.9,10554.1,10544.4,10553.4,368
1779801900,10553.6,10558.1,10551.1,10551.1,386
1779802200,10551.9,10555.6,10545.9,10551.1,770
1779802500,10550.9,10562.1,10549.6,10559.1,684
1779802800,10559.4,10563.1,10550.6,10550.9,628
1779803100,10550.6,10553.1,10534.1,10534.9,588
1779803400,10535.1,10541.4,10529.4,10534.6,738
1779803700,10534.9,10543.9,10534.1,10535.4,542
1779804000,10535.9,10537.9,10526.6,10536.4,600
1779804300,10535.9,10547.6,10532.9,10543.6,556
1779804600,10543.1,10544.1,10530.6,10531.6,518
1779804900,10531.4,10536.1,10528.9,10529.9,494
1779805200,10530.1,10531.1,10522.6,10522.9,460
1779805500,10523.1,10525.4,10515.9,10517.4,450
1779805800,10517.6,10521.6,10506.9,10508.1,512
1779806100,10508.9,10517.4,10507.6,10508.1,528
1779806400,10507.9,10510.6,10506.4,10508.4,436
1779806700,10508.9,10517.6,10507.6,10516.9,380
1779807000,10516.4,10517.1,10507.9,10514.4,398
1779807300,10514.1,10514.4,10508.9,10510.6,428
1779807600,10510.4,10510.9,10498.6,10501.4,490
1779807900,10501.6,10516.4,10501.1,10513.6,430
1779808200,10513.4,10517.1,10507.4,10507.4,390
1779808500,10507.1,10508.1,10498.9,10499.6,378
1779808800,10499.9,10505.4,10499.9,10502.4,382
1779809100,10502.1,10503.4,10497.6,10499.9,464
1779809400,10500.1,10502.6,10491.6,10496.8,712
1779809700,10495.8,10495.8,10485.8,10494.8,584
1779810000,10494.6,10501.3,10491.8,10499.1,374
1779810300,10499.3,10501.8,10494.8,10499.8,428
1779810600,10499.6,10500.3,10495.3,10496.8,394
1779810900,10496.6,10500.3,10494.1,10498.3,400
1779811200,10497.8,10503.3,10496.6,10497.8,306
1779811500,10498.1,10499.8,10497.3,10499.3,202
1779811800,10499.6,10500.6,10497.8,10498.3,244
1779812100,10498.1,10503.1,10497.3,10502.3,250
1779812400,10502.8,10504.1,10501.3,10503.6,212
1779812700,10503.8,10504.3,10501.3,10502.1,258
1779813000,10501.6,10503.8,10500.6,10501.3,248
1779813300,10501.1,10503.6,10498.3,10498.3,198
1779813600,10498.1,10501.1,10497.3,10499.8,212
1779813900,10499.6,10500.8,10495.3,10495.8,290
1779814200,10496.1,10497.3,10490.8,10492.6,216
1779814500,10492.8,10494.3,10492.1,10492.6,196
1779814800,10492.3,10495.8,10487.3,10487.3,282
1779815100,10487.1,10488.1,10485.6,10487.8,134
1779815400,10488.1,10492.1,10486.8,10491.6,160
1779815700,10491.8,10492.8,10486.8,10487.1,202
1779816000,10486.8,10488.8,10483.8,10487.6,198
1779816300,10486.8,10487.1,10483.6,10483.6,182
1779816600,10482.8,10488.1,10481.3,10487.1,248
1779816900,10486.6,10490.3,10486.6,10489.8,196
1779817200,10489.6,10489.8,10487.1,10487.1,198
1779817500,10487.3,10489.3,10486.8,10489.1,166
1779817800,10489.3,10489.3,10485.6,10485.6,140
1779818100,10485.8,10487.8,10484.8,10485.8,168
1779818400,10486.3,10487.8,10483.1,10485.8,176
1779818700,10486.3,10490.6,10485.8,10490.6,132
1779819000,10490.8,10490.8,10488.3,10490.3,178
1779819300,10490.6,10491.3,10486.8,10488.1,194
1779819600,10488.3,10489.3,10486.3,10488.8,144
1779819900,10488.3,10489.3,10487.3,10488.3,172
1779820200,10488.8,10495.3,10488.1,10494.3,168
1779820500,10494.6,10494.6,10491.6,10492.6,116
1779820800,10492.3,10494.3,10490.8,10494.3,172
1779821100,10494.1,10496.3,10493.3,10493.6,152
1779821400,10493.8,10495.6,10493.3,10494.6,144
1779821700,10494.8,10495.8,10493.6,10495.3,206
1779822000,10494.8,10497.3,10493.1,10495.3,218
1779822300,10495.8,10496.3,10494.3,10496.3,134
1779822600,10495.8,10496.8,10493.3,10494.3,156
1779822900,10494.6,10498.3,10494.6,10497.3,166
1779823200,10497.6,10500.1,10496.3,10499.6,100
1779823500,10499.8,10500.8,10497.8,10498.3,152
1779823800,10498.6,10500.8,10498.6,10500.8,158
1779824100,10500.3,10504.3,10499.8,10503.3,206
1779824400,10502.8,10505.3,10501.3,10502.6,186
1779824700,10502.1,10503.6,10500.6,10502.3,206
1779825000,10502.6,10506.6,10502.6,10506.3,246
1779825300,10506.6,10507.6,10503.6,10506.8,326
1779825600,10507.3,10510.3,10504.1,10504.5,430
1779825900,10504.4,10504.9,10503,10503.9,262
1779826200,10503.6,10505.1,10503.1,10503.2,228
1779826500,10503.1,10503.8,10501.6,10501.7,242
1779826800,10501.6,10502,10499.4,10499.4,148
1779827100,10499.3,10499.4,10497.7,10498.3,144
1779827400,10498.1,10502.5,10497.7,10502.2,146
1779827700,10502.4,10503.2,10502,10503,92
1779828000,10502.9,10503.4,10501.3,10501.8,94
1779828300,10501.7,10502.5,10498.3,10498.8,162
1779828600,10498.7,10499.1,10497.4,10497.7,202
1779828900,10497.8,10498.4,10496.7,10497.9,150
1779833100,10499.3,10500,10495.6,10496.9,386
1779833400,10497,10499,10495.2,10498,280
1779833700,10497.8,10500.9,10496.1,10500.3,324
1779834000,10500.1,10500.2,10498.8,10499.3,266
1779834300,10499.6,10500.6,10499.1,10499.8,124
1779834600,10499.9,10501.9,10499.9,10501.2,142
1779834900,10501.3,10501.3,10499.7,10501.1,176
1779835200,10501.2,10503.5,10501.2,10502.3,216
1779835500,10502.2,10503.6,10501,10501.4,220
1779835800,10501.3,10504.1,10498.4,10498.4,212
1779836100,10498.2,10499.7,10497.6,10498.5,90
