time,open,high,low,close,volume
1779469200,50699.3,50838.8,50533.8,50544.3,32726
1779656400,50814.4,50894.5,50786,50853,12833
1779670800,50852.5,50982,50843.5,50960.5,13122
1779685200,50959.5,51030,50909.5,51008.5,14942
1779699600,51009,51103,50986,51043.6,11673
1779714000,51042.6,51127.9,50978.9,51042.9,17786
1779742800,51021.7,51024.7,50862.7,50884.7,12535
1779757200,50885.2,50913.2,50855.7,50889.7,15044
1779771600,50888.2,50943.2,50832.2,50843.2,14574
1779786000,50824.2,50890.2,50780.2,50808.2,17985
1779800400,50807.2,50812.7,50388.6,50389.1,42915
1779814800,50388.6,50508.6,50353.1,50446.6,27265
1779829200,50463.1,50548.6,50434.6,50536.1,10469
1779843600,50536.6,50538.6,50501.1,50532.6,10874
1779858000,50532.1,50688.6,50530.1,50671.1,15708
1779872400,50671.6,50729.6,50440.6,50546.6,19779
1779886800,50545.6,50827.9,50476.1,50649.4,46356
1779901200,50647.9,50725.9,50590.4,50725.9,29706
1779915600,50751.1,50755.6,50651.1,50717.6,12548
1779930000,50717.1,50726.1,50536.1,50564.1,24538
1779944400,50563.6,50672.6,50550.1,50615.6,20347
