time,open,high,low,close,volume
1779469200,1.38081,1.3824,1.38043,1.38206,12838
1779656400,1.37995,1.38118,1.37963,1.38036,8355
1779670800,1.38035,1.38107,1.37956,1.38061,9235
1779685200,1.3806,1.38206,1.38038,1.38128,11408
1779699600,1.38126,1.38181,1.38049,1.38069,8817
1779714000,1.3807,1.38106,1.37949,1.3803,11330
1779728400,1.38031,1.38053,1.3799,1.38025,3567
1779742800,1.38012,1.3809,1.37952,1.38037,6437
1779757200,1.38039,1.38113,1.38025,1.38112,12702
1779771600,1.38114,1.38152,1.38012,1.38035,13330
1779786000,1.38029,1.38212,1.37993,1.3818,14509
1779800400,1.3818,1.3819,1.37998,1.38123,21551
1779814800,1.38124,1.38197,1.38085,1.38113,11863
1779829200,1.38084,1.38132,1.38037,1.38074,6548
1779843600,1.38074,1.38148,1.38065,1.38092,12850
1779858000,1.38093,1.38294,1.38083,1.38283,13682
1779872400,1.38283,1.38397,1.38204,1.3828,15878
1779886800,1.38282,1.3852,1.3823,1.38264,24190
1779901200,1.38263,1.38408,1.38263,1.38403,12687
1779915600,1.38363,1.38497,1.38328,1.38478,8220
1779930000,1.38477,1.38698,1.38471,1.38616,15028
1779944400,1.38615,1.38649,1.38456,1.38601,16975
