time,open,high,low,close,volume
1779469200,0.78425,0.78518,0.7838,0.78511,12145
1779656400,0.78367,0.78399,0.78164,0.7824,9631
1779670800,0.78241,0.78247,0.78158,0.78192,12200
1779685200,0.7819,0.78236,0.78144,0.78169,11529
1779699600,0.78169,0.7818,0.7808,0.78107,8733
1779714000,0.78108,0.78351,0.78097,0.78303,10720
1779728400,0.78305,0.78312,0.78251,0.7826,2666
1779742800,0.78195,0.78372,0.78195,0.78331,7797
1779757200,0.78333,0.78386,0.7829,0.78349,11442
1779771600,0.78349,0.78523,0.78336,0.78442,12089
1779786000,0.78461,0.78548,0.78398,0.7851,13689
1779800400,0.78511,0.78646,0.78456,0.78579,19189
1779814800,0.78578,0.78604,0.78549,0.78566,8710
1779829200,0.78545,0.78565,0.78495,0.78521,6608
1779843600,0.7852,0.78566,0.78502,0.78514,9836
1779858000,0.78515,0.78623,0.78461,0.78614,13101
1779872400,0.78615,0.78671,0.78426,0.78528,16475
1779886800,0.78528,0.78755,0.7845,0.78656,23711
1779901200,0.78655,0.78736,0.78651,0.78707,9567
1779915600,0.78649,0.78807,0.78593,0.78783,7948
1779930000,0.78785,0.78993,0.78777,0.78955,14631
1779944400,0.78956,0.78963,0.78735,0.78886,14563
