time,open,high,low,close,volume
1779480000,159.164,159.205,159.142,159.198,2143
1779656400,158.738,158.886,158.702,158.834,594
1779660000,158.94,158.968,158.825,158.882,3787
1779663600,158.881,158.962,158.843,158.958,2259
1779667200,158.957,158.962,158.832,158.897,3304
1779670800,158.896,158.9,158.758,158.877,3822
1779674400,158.878,158.879,158.835,158.849,2122
1779678000,158.848,158.892,158.833,158.886,2202
1779681600,158.886,158.915,158.846,158.862,1933
1779685200,158.864,158.937,158.846,158.924,2514
1779688800,158.925,158.936,158.891,158.905,3422
1779692400,158.904,159.04,158.901,158.974,3847
1779696000,158.968,158.991,158.901,158.917,3307
1779699600,158.915,158.943,158.894,158.927,2599
1779703200,158.926,158.952,158.919,158.946,2104
1779706800,158.947,158.959,158.891,158.935,2678
1779710400,158.936,158.942,158.881,158.902,3356
1779714000,158.906,158.926,158.886,158.918,3159
1779717600,158.922,158.924,158.888,158.918,2783
1779732000,158.896,158.9,158.887,158.893,397
1779735600,158.905,158.921,158.892,158.913,687
1779739200,158.912,158.933,158.907,158.918,1285
1779742800,158.856,158.856,158.797,158.844,733
1779746400,158.89,158.969,158.853,158.927,1387
1779750000,158.927,158.966,158.911,158.958,1935
1779753600,158.954,158.992,158.935,158.969,3839
1779757200,158.971,159.003,158.945,158.969,4006
1779760800,158.97,158.984,158.935,158.943,2631
1779764400,158.944,158.944,158.912,158.94,1841
1779768000,158.94,159.02,158.935,159.002,1853
1779771600,159.009,159.034,158.972,159.028,2657
1779775200,159.027,159.119,159.017,159.096,3916
1779782400,159.198,159.239,159.196,159.227,1078
1779786000,159.211,159.223,159.157,159.159,3449
1779789600,159.16,159.18,159.108,159.147,3563
1779793200,159.145,159.215,159.136,159.192,3788
1779796800,159.193,159.228,159.187,159.227,3696
1779800400,159.232,159.301,159.228,159.278,4334
1779804000,159.277,159.325,159.227,159.321,5197
1779807600,159.321,159.379,159.301,159.364,4703
1779811200,159.363,159.363,159.285,159.309,3561
1779814800,159.308,159.379,159.286,159.364,2577
1779818400,159.363,159.373,159.301,159.333,2641
1779822000,159.334,159.347,159.301,159.316,2255
1779825600,159.317,159.332,159.296,159.297,1728
1779829200,159.267,159.278,159.234,159.234,99
1779832800,159.28,159.303,159.26,159.262,1429
1779836400,159.261,159.276,159.204,159.253,1381
1779840000,159.252,159.309,159.177,159.281,3788
1779843600,159.279,159.305,159.215,159.3,3732
1779847200,159.299,159.302,159.223,159.225,3539
1779850800,159.226,159.231,159.188,159.205,2431
1779854400,159.206,159.247,159.199,159.243,1804
1779858000,159.244,159.351,159.23,159.349,2093
1779861600,159.354,159.377,159.298,159.354,3241
1779865200,159.355,159.365,159.305,159.357,3713
1779868800,159.356,159.443,159.317,159.394,4014
1779872400,159.394,159.4,159.316,159.359,2947
1779876000,159.357,159.393,159.345,159.383,2879
1779879600,159.384,159.449,159.374,159.434,2976
1779883200,159.432,159.449,159.25,159.417,7429
1779886800,159.419,159.436,159.382,159.384,5886
1779890400,159.381,159.51,159.37,159.507,6448
1779894000,159.509,159.537,159.436,159.472,5359
1779897600,159.47,159.524,159.469,159.498,3492
1779901200,159.497,159.579,159.497,159.525,3146
1779904800,159.529,159.558,159.493,159.505,2703
1779908400,159.505,159.549,159.502,159.541,2713
1779912000,159.541,159.542,159.503,159.514,2001
1779915600,159.462,159.462,159.402,159.451,306
1779919200,159.485,159.515,159.473,159.503,1266
1779922800,159.505,159.577,159.495,159.571,1777
1779926400,159.574,159.601,159.544,159.557,3148
1779930000,159.559,159.594,159.537,159.59,3027
1779933600,159.591,159.603,159.523,159.558,2649
1779937200,159.558,159.653,159.539,159.618,3944
1779940800,159.618,159.618,159.525,159.576,3497
1779944400,159.577,159.581,159.531,159.558,3068
1779948000,159.557,159.573,159.472,159.491,3896
1779951600,159.483,159.523,159.441,159.479,3916
1779955200,159.471,159.526,159.452,159.456,4035
1779958800,159.455,159.471,159.38,159.417,4019
