time,open,high,low,close,volume
1779480000,1.27952,1.28021,1.27799,1.27847,1399
1779656400,1.27765,1.27867,1.2767,1.27854,1446
1779660000,1.27839,1.27857,1.27729,1.27739,2655
1779663600,1.27738,1.27742,1.27693,1.27728,2782
1779667200,1.2771,1.27743,1.27628,1.27686,4062
1779670800,1.27687,1.27722,1.27595,1.27672,4621
1779674400,1.27671,1.27704,1.27639,1.27701,4158
1779678000,1.277,1.27734,1.2767,1.27726,3878
1779681600,1.27726,1.2773,1.27658,1.27658,3091
1779685200,1.27672,1.27735,1.27659,1.27728,3334
1779688800,1.27731,1.27743,1.2771,1.27711,2604
1779692400,1.2771,1.27815,1.27708,1.27751,3418
1779696000,1.27745,1.27778,1.27698,1.27699,2397
1779699600,1.27698,1.27727,1.27677,1.27723,1620
1779703200,1.27722,1.27746,1.27718,1.27741,1436
1779706800,1.27742,1.27761,1.27682,1.27723,1867
1779710400,1.27724,1.27739,1.27672,1.2771,2808
1779714000,1.27712,1.2774,1.27688,1.27737,2376
1779717600,1.2774,1.2774,1.27685,1.27688,2013
1779732000,1.27682,1.27686,1.27674,1.2768,86
1779735600,1.27683,1.27686,1.27662,1.27674,361
1779739200,1.27673,1.27686,1.27631,1.27641,351
1779742800,1.27615,1.2769,1.27594,1.27617,916
1779746400,1.2761,1.2773,1.27575,1.27704,2272
1779750000,1.27705,1.27753,1.27676,1.27752,3064
1779753600,1.27749,1.27783,1.27683,1.27692,4788
1779757200,1.27693,1.27764,1.27669,1.27716,4817
1779760800,1.27717,1.27754,1.27687,1.27726,3755
1779764400,1.27727,1.27743,1.2768,1.27701,3251
1779768000,1.27701,1.27754,1.27698,1.2775,2863
1779771600,1.27748,1.27783,1.27745,1.27768,3477
1779775200,1.27763,1.27781,1.27693,1.27732,2688
1779782400,1.27753,1.27775,1.27744,1.2777,889
1779786000,1.27798,1.27823,1.27767,1.27772,2946
1779789600,1.27771,1.27795,1.27718,1.27734,3031
1779793200,1.27733,1.27783,1.27711,1.27782,3112
1779796800,1.27783,1.27798,1.27758,1.27772,3507
1779800400,1.27773,1.27807,1.27703,1.27703,4547
1779804000,1.27648,1.27786,1.27641,1.27764,4457
1779807600,1.27765,1.2783,1.27764,1.27809,4742
1779811200,1.27804,1.27804,1.27741,1.2777,2781
1779814800,1.27771,1.27785,1.27748,1.27776,2260
1779818400,1.27774,1.27782,1.27733,1.27741,2197
1779822000,1.2774,1.2775,1.27714,1.27719,2015
1779825600,1.2772,1.27749,1.27711,1.2772,640
1779829200,1.27719,1.27733,1.27701,1.27715,288
1779832800,1.27751,1.27779,1.27724,1.27735,1772
1779836400,1.27736,1.27736,1.27643,1.27686,2869
1779840000,1.27687,1.27714,1.27651,1.27693,4749
1779843600,1.27692,1.2774,1.2764,1.2774,4781
1779847200,1.2774,1.27745,1.27697,1.27716,4294
1779850800,1.27717,1.27724,1.27669,1.27712,3621
1779854400,1.27713,1.27716,1.27647,1.27667,3305
1779858000,1.27668,1.27705,1.27645,1.27702,3644
1779861600,1.27699,1.27733,1.2766,1.27709,3133
1779865200,1.27704,1.27763,1.27675,1.27755,3280
1779868800,1.27757,1.2777,1.27702,1.27708,3395
1779872400,1.27709,1.27721,1.27652,1.2768,2426
1779876000,1.27681,1.27758,1.27676,1.27747,2280
1779879600,1.2774,1.27791,1.2773,1.27773,2912
1779883200,1.27772,1.27796,1.27602,1.27715,6782
1779886800,1.27714,1.2772,1.2765,1.2765,6497
1779890400,1.27643,1.27749,1.27593,1.27746,6636
1779894000,1.27747,1.27759,1.2767,1.2771,5242
1779897600,1.27707,1.2774,1.27681,1.277,3231
1779901200,1.27699,1.27767,1.27694,1.27742,2877
1779904800,1.27746,1.27771,1.27726,1.27731,2200
1779908400,1.27727,1.27747,1.27723,1.27726,1912
1779912000,1.27727,1.27748,1.27657,1.27667,964
1779915600,1.27641,1.27666,1.27604,1.27609,871
1779919200,1.27658,1.2774,1.27649,1.27725,2167
1779922800,1.27726,1.27803,1.27709,1.27791,3310
1779926400,1.27793,1.2785,1.27767,1.2782,4818
1779930000,1.2782,1.27928,1.27814,1.27917,4638
1779933600,1.27915,1.27937,1.27871,1.27918,4558
1779937200,1.27919,1.28102,1.27895,1.2808,5596
1779940800,1.28081,1.28085,1.2799,1.27995,4633
1779944400,1.27994,1.28007,1.27898,1.27926,4931
1779948000,1.27927,1.2794,1.27851,1.27888,3229
1779951600,1.27882,1.27922,1.27855,1.27903,3623
1779955200,1.27899,1.27962,1.27877,1.27924,3341
1779958800,1.27925,1.27931,1.27869,1.27926,2653
