time,open,high,low,close,volume
1779469200,75.879,76.305,75.367,75.449,27905
1779656400,76.933,78.811,76.823,78.165,22834
1779670800,78.173,78.558,77.287,77.908,38284
1779685200,77.907,78.05,77.357,77.905,33681
1779699600,77.903,78.266,77.624,77.822,25501
1779714000,77.82,78.062,77.351,78.06,32820
1779728400,78.058,78.481,77.979,78.07,5126
1779742800,78.042,78.382,77.094,77.56,22960
1779757200,77.567,77.582,75.704,76.402,37315
1779771600,76.397,76.811,75.887,76.256,32035
1779786000,76.025,76.617,75.485,76.244,37676
1779800400,76.206,76.637,75.817,76.144,47084
1779814800,76.15,77.068,75.814,76.933,20425
1779829200,77.023,77.512,76.948,77.17,15836
1779843600,77.169,77.459,76.512,76.83,32165
1779858000,76.833,76.935,74.612,75.465,40525
1779872400,75.444,75.54,73.448,74.368,41659
1779886800,74.325,75.048,73.88,74.699,48607
1779901200,74.709,74.971,74.403,74.626,22157
1779915600,74.815,74.925,74.361,74.903,16605
1779930000,74.898,74.953,71.828,71.979,45486
1779944400,71.984,73.305,71.782,73.125,10100
