time,open,high,low,close,volume
1779480000,3884.32,3886.88,3881.66,3884.88,7433
1779660000,3908.82,3921.07,3904.98,3920.74,12197
1779663600,3920.69,3932.92,3920.69,3922.91,10456
1779667200,3923.3,3931.46,3923.19,3926.84,12717
1779670800,3926.54,3931.74,3917.51,3920.35,15697
1779674400,3920.39,3926.07,3916.64,3919.46,12864
1779678000,3919.48,3921.97,3915.75,3918.37,11543
1779681600,3918.22,3923.58,3917.61,3920.99,8662
1779685200,3921,3921.55,3909.69,3912.09,10896
1779688800,3912.11,3919.96,3909.36,3919.38,12728
1779692400,3919.38,3923.51,3914.09,3922.52,12569
1779696000,3922.53,3923.59,3911.19,3912.98,10688
1779699600,3912.97,3924.99,3912.44,3923.57,9310
1779703200,3923.59,3928.16,3923.34,3924.01,9270
1779706800,3924,3929.55,3923.4,3924.34,9503
1779710400,3924.18,3924.48,3909.79,3921.37,12498
1779714000,3921.32,3924,3915.84,3920.61,13012
1779717600,3920.52,3925.82,3920.05,3922.73,10996
1779732000,3920.86,3926.69,3920.38,3925.48,1884
1779746400,3927.13,3931.25,3925.83,3930.12,7151
1779750000,3929.88,3933.89,3913.81,3918.69,10638
1779753600,3918.95,3918.95,3901.05,3909.04,14365
1779757200,3909.11,3909.44,3891.95,3899.87,15669
1779760800,3899.91,3901.84,3894.15,3895.75,11597
1779764400,3895.74,3906.7,3895.57,3903.7,9612
1779768000,3903.73,3904.52,3889.28,3891.31,9232
1779771600,3891.2,3899.37,3889.26,3893.39,12213
1779775200,3893.43,3899.09,3891.81,3894.26,13301
1779782400,3900.01,3900.01,3890.07,3890.21,3390
1779786000,3887.96,3889.34,3874.06,3884.58,13313
1779789600,3884.85,3900.52,3882.27,3895.17,13800
1779793200,3895.27,3896.36,3865.93,3873.01,14422
1779796800,3872.93,3888.77,3864.46,3886.22,15304
1779800400,3886.06,3896.16,3881.76,3882.87,16449
1779804000,3883.44,3892.19,3877.97,3884.06,16276
1779807600,3884.11,3884.27,3875.52,3878.33,16103
1779811200,3878.62,3879.63,3870.49,3875.54,13870
1779814800,3875.59,3877.66,3862.04,3863.65,13222
1779818400,3863.32,3869.19,3855.95,3868.94,12882
1779822000,3868.9,3877.2,3867.96,3876.29,11224
1779825600,3876.42,3877.71,3871.99,3874.95,6657
1779832800,3877.66,3878.91,3865.48,3877.54,9408
1779836400,3877.52,3889.53,3871.37,3884.02,9930
1779840000,3883.74,3888.58,3878.31,3879.62,11235
1779843600,3879.42,3884.44,3873.95,3874.83,13094
1779847200,3874.89,3875.38,3866.09,3871.56,11041
1779850800,3871.5,3876.25,3863.63,3864,9213
1779854400,3863.94,3880.01,3863,3874.33,9483
1779858000,3874.33,3876.7,3858.56,3864.05,13337
1779861600,3864.11,3865.63,3847.86,3851.41,15369
1779865200,3852.18,3855.27,3843.85,3850.42,12984
1779868800,3849.84,3863.65,3849.84,3862.52,13199
1779872400,3862.55,3862.55,3853.04,3856,11089
1779876000,3856.02,3856.31,3816.03,3819.56,14378
1779879600,3820.5,3825.98,3802.8,3805.5,15685
1779883200,3805.63,3831.46,3805.13,3812.22,17127
1779886800,3811.81,3812.18,3780.78,3803.12,18682
1779890400,3803.77,3825.77,3802.16,3814.07,17938
1779894000,3813.98,3817.69,3806.96,3814.67,15850
1779897600,3814.65,3828.59,3814.14,3826.3,13841
1779901200,3826.31,3832.49,3821,3827.53,13282
1779904800,3827.08,3835.7,3826.11,3830.29,11062
1779908400,3830.29,3830.49,3826.14,3827.42,9903
1779912000,3827.49,3834.38,3826.85,3832.79,6762
1779919200,3837.98,3840.3,3831.37,3834.04,6829
1779922800,3834.05,3834.29,3825.4,3827.92,9152
1779926400,3826.99,3835.73,3823.93,3835.46,12578
1779930000,3835.72,3836.62,3795.42,3798.53,16486
1779933600,3798.55,3800.45,3783.14,3784.08,14992
1779937200,3784.07,3787.92,3769.74,3775.58,15683
1779940800,3775.57,3781.19,3768.22,3772.51,13949
1779944400,3772.76,3789.05,3767.75,3783,14772
1779948000,3783.04,3785.18,3769.52,3775.55,14440
1779951600,3776.37,3785.05,3774.06,3778.5,13547
1779955200,3778.52,3785.38,3775.57,3776.85,12440
1779958800,3776.59,3786.23,3775.95,3783.41,13125
