time,open,high,low,close,volume
1779480000,3354.47,3355.83,3351.6,3355.82,8364
1779660000,3375.35,3386.12,3372.02,3385.49,12242
1779663600,3385.51,3396.31,3385.51,3387.72,10411
1779667200,3387.64,3395.07,3387.46,3390.15,12998
1779670800,3389.89,3394.17,3382.13,3384.92,15593
1779674400,3384.95,3390.22,3382.18,3384.56,12681
1779678000,3384.6,3386.6,3381.37,3383.88,11517
1779681600,3383.89,3388.14,3382.6,3385.56,8804
1779685200,3385.62,3386,3375,3377.25,10981
1779688800,3377,3383.73,3375.06,3383.04,12654
1779692400,3383.12,3386.73,3378.99,3385.19,12675
1779696000,3385.15,3386.15,3376.03,3376.56,10721
1779699600,3376.59,3386.06,3375.6,3385.23,9428
1779703200,3385.19,3390.02,3384.95,3386.4,9321
1779706800,3386.44,3390.95,3384.38,3385.23,9637
1779710400,3385.24,3385.36,3372.55,3383.29,12514
1779714000,3383.38,3385.38,3378.3,3381.6,13046
1779717600,3381.56,3386.35,3381.04,3382.62,11263
1779732000,3380.16,3385.04,3379.71,3384.07,2012
1779746400,3385.47,3389.05,3384.24,3388.06,6942
1779750000,3387.85,3391.75,3374.35,3378.67,10662
1779753600,3378.81,3378.81,3364.42,3371.31,14367
1779757200,3371.49,3371.81,3357.09,3363.99,15705
1779760800,3364.04,3365.41,3359.14,3360.45,11814
1779764400,3360.43,3369.77,3360.28,3367.55,10029
1779768000,3367.5,3368.17,3355.25,3356.99,9408
1779771600,3356.95,3364.55,3355.32,3359.7,12383
1779775200,3359.72,3364.24,3359.22,3361.88,13487
1779782400,3368.23,3368.23,3359.44,3359.63,3374
1779786000,3357.22,3358.12,3346.4,3354.18,13462
1779789600,3354.48,3367.52,3352.58,3362.72,13888
1779793200,3362.81,3363.39,3338.17,3345.5,14635
1779796800,3345.44,3358.86,3336.9,3356.66,15507
1779800400,3356.29,3364.96,3351.76,3352.79,16501
1779804000,3353.21,3360.56,3348.72,3357.14,16348
1779807600,3357.33,3357.33,3350.26,3354.05,16089
1779811200,3354.34,3355.36,3347.02,3351.58,14016
1779814800,3351.61,3353.14,3340.17,3341.21,13242
1779818400,3341.04,3346.75,3334.91,3346.48,12999
1779822000,3346.55,3353.53,3345.73,3352.69,11518
1779825600,3352.72,3353.71,3348.88,3351.75,7117
1779832800,3354.08,3354.94,3343.01,3353.7,9520
1779836400,3353.72,3363.85,3348.32,3359.16,10063
1779840000,3359.16,3363.18,3354.59,3355.58,11407
1779843600,3355.43,3360.09,3351.38,3352.32,13535
1779847200,3352.38,3352.92,3344.42,3349.43,11400
1779850800,3349.42,3353.01,3341.99,3342.41,9509
1779854400,3342.45,3357.18,3341.65,3352.31,9745
1779858000,3352.23,3354.34,3338.89,3344.07,13331
1779861600,3344.04,3345.82,3331.17,3334.13,15417
1779865200,3334.69,3338.04,3329.57,3334.17,13039
1779868800,3334.2,3346.47,3333.79,3344.98,13205
1779872400,3345.01,3345.01,3336.18,3339.58,11143
1779876000,3339.58,3339.85,3304.11,3307.7,14369
1779879600,3308.34,3313.36,3294.05,3296.48,15513
1779883200,3296.59,3319.29,3296.14,3302.73,16975
1779886800,3302.62,3302.72,3273.9,3292.51,18471
1779890400,3292.49,3312.7,3291.6,3304.32,17839
1779894000,3304.35,3307,3297.89,3303.66,15995
1779897600,3303.67,3316.22,3303.18,3313.89,13956
1779901200,3313.88,3319.84,3309.51,3314.58,13398
1779904800,3314.17,3320.74,3313.38,3316.8,11297
1779908400,3316.83,3316.98,3312.77,3313.89,10129
1779912000,3313.9,3319.85,3313.65,3318.33,6991
1779919200,3324.03,3325.7,3317.94,3319.55,6818
1779922800,3319.56,3319.86,3312.32,3314.77,9278
1779926400,3313.99,3323.06,3312.18,3322.83,12776
1779930000,3323.03,3323.78,3288.56,3291.44,16468
1779933600,3291.61,3293.13,3277.9,3278.93,14929
1779937200,3278.95,3282.45,3266.91,3272.45,15777
1779940800,3272.45,3277.08,3265.62,3268.89,14148
1779944400,3269.14,3281.73,3264.8,3276.52,14798
1779948000,3276.56,3278.45,3264.87,3270.35,14744
1779951600,3270.35,3279.9,3270.09,3273.63,13772
1779955200,3273.78,3280.05,3272.41,3273.47,12702
1779958800,3273.35,3281.84,3272.02,3279.91,13230
