time,open,high,low,close,volume
1779480000,4508.44,4510.59,4504.08,4507.9,6566
1779660000,4546.75,4565.67,4543.59,4565.05,11916
1779663600,4565.11,4579.97,4565.11,4567.08,10029
1779667200,4566.97,4579.57,4566.21,4569.62,12457
1779670800,4569.31,4576.23,4560.38,4562.95,15596
1779674400,4562.94,4570.27,4558.89,4561.4,12538
1779678000,4561.42,4564.57,4556.89,4559.9,11215
1779681600,4559.8,4565.75,4559.55,4564.87,8388
1779685200,4564.9,4565.79,4552,4553.41,10521
1779688800,4553.4,4563.28,4550.53,4562.52,12254
1779692400,4562.66,4565.19,4552.58,4564.88,11951
1779696000,4564.9,4565.05,4553.56,4556.21,10037
1779699600,4556.2,4569.06,4555.07,4567.64,8811
1779703200,4567.73,4573.74,4567.56,4568.7,8909
1779706800,4568.76,4576.97,4567.7,4569.5,8811
1779710400,4569.51,4570.23,4553.07,4567.78,12010
1779714000,4567.77,4571.41,4560.18,4563.17,12807
1779717600,4563.06,4570.66,4562.38,4566.85,10307
1779732000,4565.29,4571.59,4564.62,4570.57,1409
1779746400,4571.42,4576.59,4569.72,4575.02,6663
1779750000,4574.73,4580.21,4555.35,4559.78,10497
1779753600,4559.61,4559.61,4539.68,4549.68,14165
1779757200,4549.76,4550.11,4527.94,4537.12,15633
1779760800,4537.15,4539.62,4530.22,4532.32,11146
1779764400,4532.31,4545.42,4532.14,4542.4,9458
1779768000,4542.39,4543.26,4523.65,4525.53,8934
1779771600,4525.36,4535.12,4522.91,4527.28,11974
1779775200,4527.3,4536.22,4527.26,4531.14,12925
1779778800,4531.12,4538.98,4521.74,4538.27,14070
1779782400,4538.69,4538.69,4520.32,4523.83,12469
1779786000,4524.14,4526.43,4512.21,4522.75,12862
1779789600,4522.8,4540.57,4519.38,4534.51,13442
1779793200,4534.72,4536.26,4503.92,4507.25,14041
1779796800,4506.56,4523.8,4500.85,4520.46,15368
1779800400,4519.58,4531.28,4512.45,4514.09,16167
1779804000,4514.14,4524.96,4508,4515.27,16099
1779807600,4515.33,4515.51,4502.37,4506.47,15839
1779811200,4507.04,4511.22,4500.13,4504.97,13462
1779814800,4505,4507.52,4490.11,4491.05,12950
1779818400,4490.76,4499.52,4482.62,4499.35,12735
1779822000,4499.4,4509.95,4497.72,4508.97,10952
1779825600,4508.99,4511.05,4504.01,4507.47,6204
1779832800,4511.57,4512.54,4498.03,4511.03,8661
1779836400,4511.22,4528.02,4504.53,4519.73,9357
1779840000,4519.39,4525.87,4514.13,4515.13,10492
1779843600,4515.15,4521.11,4506.88,4507.95,12686
1779847200,4508.06,4509.42,4498.3,4505.89,10340
1779850800,4505.86,4511.97,4496.76,4497.21,8648
1779854400,4497.14,4517.29,4496.05,4510.24,9176
1779858000,4510.15,4513.84,4491.83,4497.65,13135
1779861600,4497.6,4499.25,4480.2,4485.24,15319
1779865200,4486.09,4489.23,4475.95,4482.2,12344
1779868800,4481.9,4498.71,4481.9,4497.91,12548
1779872400,4497.84,4497.84,4486.96,4490.25,10292
1779876000,4490.19,4490.61,4442.95,4445.81,13901
1779879600,4445.94,4453.13,4425.26,4428.77,15345
1779883200,4428.93,4466.3,4427.65,4438.92,16851
1779886800,4438.39,4438.94,4401.54,4427.38,18737
1779890400,4428.28,4455.45,4426.24,4434.06,17762
1779894000,4433.91,4441.57,4428.26,4436.4,15655
1779897600,4436.59,4453.29,4434.3,4450.87,13637
1779901200,4450.87,4454.38,4441.5,4450.4,13117
1779904800,4449.82,4458.3,4447.79,4454.44,10463
1779908400,4454.46,4454.85,4448.93,4450.86,9393
1779912000,4450.55,4458.94,4450.14,4456.17,6248
1779919200,4463.29,4466.57,4455.25,4457.5,6480
1779922800,4457.52,4457.82,4443.8,4447.13,8865
1779926400,4445.46,4457.88,4443.87,4457.1,12292
1779930000,4457.35,4458.69,4407.11,4410.08,16682
1779933600,4410.35,4412.68,4392.69,4394.53,14862
1779937200,4394.43,4397.88,4368.57,4374.85,15415
1779940800,4374.85,4382.03,4366.67,4373.07,13798
1779944400,4373.2,4395.82,4367.37,4393.33,13199
1779948000,4388.04,4390.6,4374.09,4383.53,14079
1779951600,4384.67,4396.16,4382.98,4387.57,12995
1779955200,4388.13,4394.98,4386.02,4387.19,12023
1779958800,4386.89,4399.09,4386.55,4393.72,12591
1779962400,4393.66,4400.29,4391.66,4400.1,1898
