time,open,high,low,close,volume
1779618480,0.2441,0.2443,0.2441,0.2443,6
1779618600,0.2441,0.2441,0.244,0.244,8
1779618660,0.2439,0.2439,0.2438,0.2438,4
1779618720,0.2438,0.2438,0.2437,0.2437,4
1779618780,0.2439,0.2441,0.2439,0.2441,10
1779618900,0.2439,0.2439,0.2438,0.2438,4
1779618960,0.2437,0.2438,0.2437,0.2438,4
1779619020,0.2437,0.2437,0.2437,0.2437,2
1779619080,0.2438,0.244,0.2438,0.2439,6
1779619200,0.2437,0.2438,0.2437,0.2438,4
1779619380,0.2438,0.2438,0.2438,0.2438,2
1779619500,0.2437,0.2437,0.2437,0.2437,2
1779619680,0.2435,0.2435,0.2435,0.2435,2
1779619800,0.2436,0.2436,0.2436,0.2436,2
1779619920,0.2437,0.2437,0.2437,0.2437,2
1779619980,0.2438,0.2438,0.2437,0.2437,4
1779620040,0.2436,0.2436,0.2436,0.2436,2
1779620100,0.2437,0.2437,0.2437,0.2437,2
1779620160,0.2436,0.2436,0.2436,0.2436,2
1779620280,0.2436,0.2436,0.2436,0.2436,2
1779620400,0.2437,0.2437,0.2437,0.2437,2
1779620460,0.2439,0.2439,0.2439,0.2439,2
1779620520,0.244,0.244,0.244,0.244,2
1779620580,0.2441,0.2441,0.2441,0.2441,2
1779620700,0.2443,0.2443,0.2443,0.2443,2
1779620760,0.2443,0.2444,0.2443,0.2444,4
1779620880,0.2443,0.2443,0.2442,0.2442,4
1779620940,0.2444,0.2444,0.2444,0.2444,2
1779621060,0.2443,0.2443,0.2443,0.2443,2
1779621180,0.2445,0.2445,0.2444,0.2444,4
1779622320,0.2441,0.2441,0.2441,0.2441,2
1779622380,0.244,0.244,0.244,0.244,2
1779622500,0.2442,0.2442,0.2442,0.2442,2
1779622620,0.244,0.244,0.244,0.244,2
1779622800,0.2441,0.2441,0.2441,0.2441,2
1779622860,0.2441,0.2441,0.2441,0.2441,2
1779622980,0.2441,0.2441,0.244,0.244,4
1779623040,0.2441,0.2441,0.2441,0.2441,2
1779623160,0.2442,0.2442,0.2441,0.2441,4
1779623340,0.2442,0.2442,0.2441,0.2441,4
1779623400,0.2439,0.244,0.2439,0.2439,10
1779623460,0.244,0.244,0.244,0.244,2
1779623520,0.2441,0.2441,0.2441,0.2441,2
1779623580,0.2442,0.2442,0.2441,0.2441,4
1779623700,0.2443,0.2443,0.2443,0.2443,2
1779623760,0.2444,0.2444,0.2444,0.2444,2
1779623820,0.2441,0.2441,0.244,0.244,4
1779623880,0.244,0.244,0.2438,0.2439,6
1779623940,0.244,0.244,0.244,0.244,2
1779624000,0.244,0.2441,0.244,0.244,6
1779624120,0.2439,0.2439,0.2439,0.2439,2
1779624300,0.2437,0.2437,0.2437,0.2437,2
1779624480,0.2438,0.2438,0.2438,0.2438,2
1779624540,0.2436,0.2436,0.2436,0.2436,2
1779624600,0.2435,0.2435,0.2435,0.2435,2
1779624660,0.2434,0.2434,0.2434,0.2434,2
1779624840,0.2435,0.2435,0.2435,0.2435,2
1779624960,0.2434,0.2435,0.2433,0.2435,6
1779625020,0.2432,0.2432,0.2431,0.2432,6
1779625080,0.2432,0.2433,0.2432,0.2433,4
1779625140,0.2433,0.2433,0.2433,0.2433,2
1779625200,0.2431,0.2431,0.243,0.243,4
1779625260,0.243,0.243,0.243,0.243,2
1779625440,0.2431,0.2431,0.243,0.2431,8
1779625560,0.243,0.243,0.243,0.243,2
1779625680,0.2429,0.2429,0.2428,0.2429,6
1779625800,0.2429,0.2429,0.2429,0.2429,2
1779625860,0.2429,0.2429,0.2429,0.2429,2
1779625920,0.2429,0.2429,0.2429,0.2429,2
1779625980,0.243,0.243,0.2429,0.2429,4
1779626040,0.243,0.243,0.2428,0.2428,6
1779626100,0.243,0.243,0.2429,0.2429,4
1779626220,0.2431,0.2431,0.2431,0.2431,2
1779626280,0.2431,0.2432,0.2431,0.2432,4
1779626340,0.2433,0.2433,0.2433,0.2433,2
1779626460,0.2434,0.2434,0.2434,0.2434,2
1779626580,0.2433,0.2434,0.2433,0.2434,4
1779626700,0.2434,0.2434,0.2434,0.2434,2
1779626880,0.2435,0.2435,0.2435,0.2435,2
1779626940,0.2434,0.2434,0.2434,0.2434,2
1779627000,0.2434,0.2434,0.2434,0.2434,2
1779627060,0.2435,0.2435,0.2434,0.2434,4
1779627120,0.2433,0.2433,0.2433,0.2433,2
1779627180,0.2434,0.2434,0.2434,0.2434,2
1779627540,0.2433,0.2433,0.2433,0.2433,2
1779627600,0.2435,0.2435,0.2435,0.2435,2
1779627660,0.2436,0.2436,0.2436,0.2436,2
1779627780,0.2433,0.2433,0.2433,0.2433,2
1779627840,0.2434,0.2434,0.2434,0.2434,2
1779627900,0.2434,0.2435,0.2434,0.2434,6
1779627960,0.2435,0.2435,0.2434,0.2435,6
