time,open,high,low,close,volume
1779545100,2.052,2.058,2.051,2.054,7305.78
1779545400,2.053,2.057,2.052,2.053,1367.91
1779545700,2.053,2.053,2.049,2.05,1570.81
1779546000,2.05,2.054,2.049,2.053,10622.88
1779546300,2.053,2.057,2.052,2.057,19626.43
1779546600,2.057,2.058,2.056,2.057,1631.79
1779546900,2.055,2.055,2.053,2.053,912.92
1779547200,2.052,2.055,2.051,2.054,143
1779547500,2.055,2.056,2.051,2.053,1963.2
1779547800,2.054,2.054,2.053,2.054,857.61
1779548100,2.055,2.063,2.052,2.052,9828.52
1779548400,2.053,2.058,2.053,2.055,1551.24
1779548700,2.056,2.063,2.056,2.062,723.7
1779549000,2.061,2.064,2.061,2.063,4987.73
1779549300,2.062,2.062,2.058,2.062,2188.16
1779549600,2.062,2.063,2.061,2.062,157.66
1779549900,2.062,2.067,2.062,2.064,4257.77
1779550200,2.065,2.067,2.064,2.066,1883.23
1779550500,2.066,2.068,2.066,2.066,872.53
1779550800,2.065,2.067,2.065,2.066,918.33
1779551100,2.067,2.072,2.067,2.072,4878.69
1779551400,2.07,2.072,2.069,2.071,2889.11
1779551700,2.07,2.07,2.069,2.069,1143.23
1779552000,2.069,2.073,2.069,2.07,2005.87
1779552300,2.07,2.074,2.068,2.074,7111.66
1779552600,2.072,2.072,2.069,2.07,6962.18
1779552900,2.071,2.071,2.066,2.067,8070.9
1779553200,2.068,2.07,2.066,2.067,1932.3
1779553500,2.067,2.068,2.065,2.068,597.42
1779553800,2.068,2.071,2.065,2.071,1748.7
1779554100,2.071,2.079,2.07,2.077,8061.23
1779554400,2.078,2.078,2.073,2.074,1749.65
1779554700,2.074,2.076,2.07,2.073,7371.15
1779555000,2.072,2.077,2.072,2.076,2171.24
1779555300,2.077,2.08,2.077,2.078,1130.52
1779555600,2.079,2.08,2.074,2.077,21126.82
1779555900,2.077,2.077,2.074,2.076,1163.51
1779556200,2.075,2.076,2.073,2.076,3478.88
1779556500,2.076,2.081,2.076,2.081,929.46
1779556800,2.082,2.082,2.077,2.078,5059.67
1779557100,2.078,2.078,2.074,2.075,565.78
1779557400,2.075,2.076,2.067,2.07,2070.93
1779557700,2.068,2.068,2.064,2.067,1416.03
1779558000,2.067,2.067,2.066,2.066,191.29
1779558300,2.065,2.065,2.06,2.062,6880.47
1779558600,2.062,2.064,2.062,2.063,2355.11
1779558900,2.064,2.064,2.062,2.062,306.9
1779559200,2.061,2.063,2.061,2.063,536.1
1779559500,2.063,2.065,2.063,2.065,712.92
1779559800,2.066,2.077,2.066,2.077,1829.35
1779560100,2.077,2.079,2.074,2.078,1572.58
1779560400,2.079,2.081,2.078,2.081,4411.83
1779560700,2.082,2.087,2.078,2.087,7461.8
1779561000,2.088,2.093,2.086,2.092,9985.49
1779561300,2.092,2.096,2.088,2.089,5225.96
1779561600,2.089,2.092,2.088,2.088,2217.64
1779561900,2.087,2.087,2.082,2.084,5934.85
1779562200,2.084,2.089,2.084,2.089,2639.77
1779562500,2.089,2.095,2.085,2.085,6510.73
1779562800,2.085,2.086,2.081,2.084,1453.97
1779563100,2.083,2.083,2.08,2.083,3309.02
1779563400,2.082,2.083,2.082,2.082,3044.86
1779563700,2.084,2.093,2.084,2.091,2184.32
1779564000,2.091,2.093,2.091,2.092,471.14
1779564300,2.092,2.093,2.089,2.089,1509.7
1779564600,2.088,2.089,2.084,2.085,598.26
1779564900,2.085,2.087,2.084,2.086,244.56
1779565200,2.085,2.086,2.081,2.082,424.12
1779565500,2.082,2.085,2.081,2.085,643.61
1779565800,2.084,2.085,2.081,2.082,360.24
1779566100,2.082,2.086,2.082,2.085,253.98
1779566400,2.085,2.088,2.083,2.086,554.62
1779566700,2.086,2.09,2.086,2.089,2334.97
1779567000,2.089,2.094,2.086,2.087,3984.74
1779567300,2.087,2.088,2.085,2.087,3420.28
1779567600,2.086,2.089,2.086,2.086,1420.1
1779567900,2.086,2.089,2.085,2.087,851.86
1779568200,2.086,2.097,2.084,2.095,3074.31
1779568500,2.095,2.13,2.095,2.127,50800.54
1779568800,2.126,2.138,2.126,2.135,14778.59
1779569100,2.134,2.137,2.132,2.136,4478.08
1779569400,2.136,2.138,2.132,2.135,8281.58
1779569700,2.135,2.146,2.135,2.146,15202.77
1779570000,2.146,2.15,2.125,2.128,19500.85
1779570300,2.129,2.13,2.125,2.127,13870.06
1779570600,2.127,2.13,2.126,2.13,19957.2
1779570900,2.129,2.134,2.129,2.131,6392.09
1779571200,2.131,2.136,2.128,2.128,3447.82
1779571500,2.128,2.128,2.119,2.119,9386.48
1779571800,2.119,2.128,2.112,2.128,18153.6
1779572100,2.129,2.132,2.127,2.13,5657.04
1779572400,2.128,2.13,2.122,2.124,5031.09
1779572700,2.125,2.127,2.121,2.121,191.53
1779573000,2.124,2.128,2.123,2.123,2238.93
1779573300,2.125,2.13,2.125,2.128,794.58
1779573600,2.128,2.136,2.128,2.134,4980.24
1779573900,2.134,2.134,2.124,2.124,2108.75
1779574200,2.124,2.127,2.123,2.125,411.9
1779574500,2.125,2.129,2.125,2.129,2214.41
1779574800,2.129,2.129,2.122,2.126,8348.77
1779575100,2.126,2.131,2.119,2.121,27132.05
1779575400,2.121,2.121,2.116,2.116,6195.83
1779575700,2.115,2.115,2.106,2.107,11395.51
1779576000,2.108,2.112,2.107,2.11,3227.93
1779576300,2.111,2.113,2.109,2.111,1078.19
1779576600,2.111,2.112,2.11,2.111,1032.64
1779576900,2.112,2.113,2.11,2.11,2514.24
1779577200,2.109,2.112,2.108,2.112,835.94
1779577500,2.112,2.117,2.111,2.111,11210.67
1779577800,2.112,2.112,2.109,2.111,406.38
1779578100,2.111,2.117,2.111,2.112,2002.83
1779578400,2.111,2.112,2.11,2.112,1982.72
1779578700,2.11,2.112,2.106,2.106,2643.66
1779579000,2.106,2.11,2.106,2.109,2495.14
1779579300,2.108,2.108,2.107,2.108,2691.97
1779579600,2.109,2.11,2.108,2.109,1539.55
1779579900,2.107,2.107,2.106,2.106,420.86
1779580200,2.106,2.107,2.104,2.106,1883.73
1779580500,2.107,2.112,2.107,2.11,2610.2
1779580800,2.11,2.113,2.109,2.109,4333.32
1779581100,2.109,2.11,2.105,2.105,1148.06
1779581400,2.105,2.108,2.105,2.107,834.34
1779581700,2.107,2.108,2.103,2.104,808.18
1779582000,2.104,2.105,2.104,2.105,530.15
1779582300,2.105,2.109,2.105,2.109,207.22
1779582600,2.11,2.113,2.11,2.111,2752.17
1779582900,2.112,2.117,2.112,2.117,835.43
1779583200,2.117,2.117,2.108,2.108,1631.9
1779583500,2.108,2.111,2.106,2.108,5777.15
1779583800,2.107,2.107,2.105,2.106,513.76
1779584100,2.106,2.111,2.106,2.108,1707.67
1779584400,2.109,2.113,2.108,2.111,819.46
1779584700,2.111,2.111,2.108,2.109,1264.77
1779585000,2.109,2.11,2.107,2.107,941.79
1779585300,2.107,2.11,2.107,2.109,356.31
1779585600,2.11,2.114,2.11,2.112,639.58
1779585900,2.112,2.113,2.106,2.109,7484.9
1779586200,2.109,2.111,2.107,2.11,792.02
1779586500,2.11,2.112,2.11,2.111,1403.72
1779586800,2.112,2.112,2.108,2.108,828.75
1779587100,2.108,2.11,2.107,2.11,833.77
1779587400,2.109,2.111,2.107,2.111,7446.54
1779587700,2.111,2.115,2.109,2.114,3065.01
1779588000,2.114,2.118,2.113,2.113,1744.24
1779588300,2.113,2.116,2.112,2.114,2147.11
1779588600,2.115,2.116,2.111,2.115,1635.61
1779588900,2.115,2.121,2.115,2.12,2082.06
1779589200,2.121,2.123,2.116,2.116,897.22
1779589500,2.116,2.116,2.112,2.114,2607.61
1779589800,2.114,2.115,2.112,2.113,325.08
1779590100,2.112,2.115,2.104,2.105,7326.46
1779590400,2.106,2.109,2.106,2.109,1001.27
1779590700,2.109,2.115,2.108,2.113,540.4
1779591000,2.113,2.115,2.112,2.113,1426.82
1779591300,2.112,2.112,2.107,2.108,446.01
1779591600,2.107,2.107,2.101,2.106,2122.28
1779591900,2.107,2.109,2.107,2.108,660.12
1779592200,2.108,2.108,2.1,2.102,1094.58
1779592500,2.1,2.106,2.1,2.105,1629.66
1779592800,2.105,2.111,2.105,2.109,1461.14
1779593100,2.11,2.114,2.11,2.114,521.94
1779593400,2.115,2.115,2.107,2.107,2199.44
1779593700,2.107,2.108,2.105,2.106,1254.46
1779594000,2.107,2.107,2.103,2.103,516.95
1779594300,2.104,2.109,2.104,2.106,2923.05
1779594600,2.105,2.107,2.103,2.105,2091.1
1779594900,2.106,2.106,2.105,2.105,412.75
1779595200,2.105,2.112,2.105,2.11,1644.51
1779595500,2.109,2.109,2.104,2.104,753.65
1779595800,2.103,2.107,2.103,2.103,12975.8
1779596100,2.103,2.106,2.101,2.101,4084.5
1779596400,2.101,2.101,2.099,2.099,875.38
1779596700,2.099,2.099,2.097,2.099,2033.65
1779597000,2.099,2.099,2.095,2.097,3162.49
1779597300,2.098,2.099,2.096,2.096,932.55
1779597600,2.097,2.098,2.097,2.098,382.48
1779597900,2.096,2.098,2.095,2.098,1216.88
1779598200,2.098,2.098,2.098,2.098,204.54
1779598500,2.097,2.097,2.095,2.095,174.58
1779598800,2.094,2.094,2.089,2.09,6239.5
1779599100,2.091,2.091,2.086,2.086,5106.61
1779599400,2.085,2.085,2.083,2.083,1568.08
1779599700,2.083,2.083,2.079,2.079,4258.36
1779600000,2.078,2.079,2.074,2.074,3325.1
1779600300,2.075,2.076,2.073,2.074,2360.81
1779600600,2.076,2.08,2.076,2.08,1555.54
1779600900,2.078,2.083,2.078,2.078,1530.94
1779601200,2.078,2.078,2.075,2.075,1208.65
1779601500,2.075,2.084,2.074,2.084,867.25
1779601800,2.083,2.087,2.083,2.085,4100.36
1779602100,2.085,2.086,2.084,2.086,142.98
1779602400,2.085,2.088,2.085,2.086,3722.47
1779602700,2.087,2.089,2.087,2.089,1989.69
1779603000,2.087,2.089,2.087,2.088,257.35
1779603300,2.088,2.088,2.086,2.086,226.21
1779603600,2.088,2.09,2.086,2.086,2101.26
1779603900,2.088,2.09,2.086,2.086,2483.99
1779604200,2.087,2.089,2.086,2.089,1199.65
1779604500,2.088,2.091,2.088,2.09,1007.29
1779604800,2.091,2.105,2.091,2.103,20831.17
1779605100,2.104,2.108,2.102,2.107,3396.31
1779605400,2.108,2.108,2.103,2.106,4105.51
1779605700,2.105,2.108,2.105,2.105,1169.75
1779606000,2.105,2.107,2.102,2.106,9481.68
1779606300,2.105,2.108,2.103,2.107,15980.74
1779606600,2.107,2.107,2.101,2.101,5007.51
1779606900,2.101,2.102,2.099,2.1,3766.29
1779607200,2.099,2.099,2.096,2.096,1604.4
1779607500,2.096,2.096,2.094,2.096,1515.25
1779607800,2.096,2.101,2.096,2.101,1986.92
1779608100,2.099,2.099,2.098,2.098,1353.23
1779608400,2.098,2.098,2.096,2.098,2087.42
1779608700,2.098,2.098,2.093,2.096,4423.42
1779609000,2.096,2.103,2.096,2.1,24373.56
1779609300,2.1,2.101,2.099,2.101,1799.17
1779609600,2.102,2.104,2.101,2.101,6547.13
1779609900,2.101,2.101,2.097,2.097,4618.74
1779610200,2.096,2.097,2.096,2.097,557.91
1779610500,2.096,2.096,2.094,2.095,1989.6
1779610800,2.094,2.097,2.094,2.096,1883.09
1779611100,2.096,2.098,2.095,2.096,1383.73
1779611400,2.096,2.106,2.096,2.105,32213.11
1779611700,2.106,2.112,2.106,2.11,8026.63
1779612000,2.11,2.112,2.108,2.11,5684.16
1779612300,2.109,2.114,2.109,2.113,1211.89
1779612600,2.112,2.117,2.112,2.116,2955.54
1779612900,2.116,2.122,2.115,2.118,18779.79
1779613200,2.117,2.117,2.113,2.115,546.66
1779613500,2.115,2.116,2.111,2.111,3634.62
1779613800,2.111,2.117,2.109,2.117,2836.59
1779614100,2.118,2.121,2.118,2.12,2081.01
1779614400,2.12,2.12,2.115,2.118,9866.75
1779614700,2.117,2.121,2.115,2.121,1258.26
1779615000,2.12,2.122,2.12,2.122,1226.21
1779615300,2.123,2.132,2.123,2.123,25144.29
1779615600,2.124,2.125,2.121,2.123,3557.93
1779615900,2.123,2.123,2.117,2.117,1475.35
1779616200,2.118,2.123,2.116,2.12,2056.47
1779616500,2.121,2.128,2.118,2.124,11353.27
1779616800,2.123,2.123,2.117,2.117,5473.7
1779617100,2.117,2.117,2.113,2.114,1238.48
1779617400,2.113,2.114,2.108,2.109,1673.69
1779617700,2.108,2.111,2.108,2.111,309.57
1779618000,2.11,2.11,2.107,2.109,959.7
1779618300,2.108,2.12,2.107,2.11,5369.21
1779618600,2.109,2.109,2.1,2.104,26359.54
1779618900,2.103,2.105,2.102,2.103,1109.87
1779619200,2.103,2.112,2.103,2.109,14598.79
1779619500,2.108,2.109,2.103,2.105,4081.54
1779619800,2.106,2.107,2.101,2.101,9642.56
1779620100,2.1,2.101,2.096,2.1,33316.73
1779620400,2.101,2.101,2.096,2.098,4234.73
1779620700,2.098,2.1,2.095,2.098,27719.79
1779621000,2.098,2.099,2.096,2.096,417.76
1779621300,2.097,2.097,2.095,2.095,572.85
1779621600,2.095,2.097,2.093,2.094,2291.64
1779621900,2.094,2.096,2.094,2.095,2640.88
1779622200,2.096,2.101,2.096,2.101,524.91
1779622500,2.102,2.102,2.098,2.098,331.52
1779622800,2.097,2.101,2.095,2.1,7091.29
1779623100,2.099,2.1,2.098,2.1,1393.64
1779623400,2.098,2.102,2.098,2.102,227.07
1779623700,2.102,2.106,2.101,2.101,1266.97
1779624000,2.102,2.102,2.1,2.1,836.81
1779624300,2.1,2.1,2.097,2.097,1183.69
1779624600,2.098,2.098,2.096,2.098,1117.85
1779624900,2.098,2.098,2.086,2.087,5946.98
1779625200,2.086,2.086,2.083,2.085,3789.84
1779625500,2.085,2.086,2.083,2.085,4944.45
1779625800,2.086,2.088,2.085,2.086,539.93
1779626100,2.087,2.088,2.084,2.087,1023.91
1779626400,2.088,2.089,2.088,2.089,404.08
1779626700,2.089,2.089,2.088,2.089,187.1
1779627000,2.089,2.089,2.089,2.089,74.96
1779627300,2.089,2.089,2.088,2.088,110.9
1779627600,2.089,2.09,2.087,2.089,518.13
1779627900,2.088,2.088,2.086,2.086,604.57
1779628200,2.086,2.086,2.083,2.083,940.45
1779628500,2.083,2.083,2.08,2.082,3241.25
1779628800,2.082,2.087,2.082,2.087,1569.06
1779629100,2.087,2.087,2.084,2.085,739.35
1779629400,2.085,2.087,2.082,2.083,2707.12
1779629700,2.082,2.085,2.079,2.085,8760.46
1779630000,2.086,2.09,2.084,2.085,1719.32
1779630300,2.084,2.087,2.081,2.082,4205.47
1779630600,2.082,2.082,2.076,2.076,3138.17
1779630900,2.076,2.076,2.065,2.073,11984.49
1779631200,2.073,2.078,2.072,2.073,12316.36
1779631500,2.074,2.075,2.073,2.073,886.22
1779631800,2.073,2.075,2.053,2.061,21988.91
1779632100,2.061,2.061,2.041,2.047,16688.55
1779632400,2.048,2.058,2.047,2.055,2492.82
1779632700,2.055,2.055,2.046,2.049,5514.85
1779633000,2.049,2.054,2.049,2.052,797.49
1779633300,2.051,2.051,2.049,2.05,9048.45
1779633600,2.049,2.052,2.047,2.052,1228.55
1779633900,2.05,2.054,2.05,2.052,438.86
1779634200,2.051,2.057,2.051,2.052,716.74
1779634500,2.052,2.052,2.05,2.05,224.81
1779634800,2.05,2.054,2.05,2.053,2067.55
1779635100,2.052,2.055,2.051,2.054,4154.45
1779635400,2.056,2.057,2.053,2.053,524.15
1779635700,2.053,2.053,2.047,2.05,2948.18
1779636000,2.05,2.052,2.048,2.052,1430.63
1779636300,2.052,2.053,2.051,2.053,289.31
1779636600,2.053,2.06,2.053,2.058,1494.51
1779636900,2.058,2.058,2.056,2.057,1157.18
1779637200,2.057,2.057,2.055,2.057,1697.1
1779637500,2.057,2.057,2.056,2.057,189.9
