time,open,high,low,close,volume
1736200800,0.89468,0.89941,0.89384,0.89541,114240
1736287200,0.89477,0.8961,0.89077,0.89353,118648
1736373600,0.89244,0.89345,0.8889,0.89159,90803
1736460000,0.89148,0.89343,0.88548,0.88598,114189
1736719200,0.88573,0.8889,0.88549,0.8881,114030
1736805600,0.8878,0.89136,0.88653,0.88874,114890
1736892000,0.8882,0.89383,0.88741,0.89287,99336
1736978400,0.89168,0.89582,0.88964,0.89399,114977
1737064800,0.89314,0.89694,0.89107,0.8961,98971
1737324000,0.89578,0.89902,0.89564,0.89728,106128
1737410400,0.89646,0.90344,0.89592,0.89835,131381
1737496800,0.89796,0.90271,0.89689,0.90195,105710
1737583200,0.90061,0.90386,0.90016,0.90386,112274
1737669600,0.90376,0.90676,0.90278,0.90529,121798
1737928800,0.90406,0.90575,0.90279,0.90435,131699
1738015200,0.90409,0.90447,0.89797,0.90045,116898
1738101600,0.89979,0.90059,0.89705,0.89852,117555
1738188000,0.89716,0.90612,0.89661,0.89922,101181
1738274400,0.89884,0.90413,0.89846,0.90246,126736
1738533600,0.90636,0.90862,0.89516,0.89813,181853
1738620000,0.89738,0.89837,0.89385,0.89577,118088
1738706400,0.89496,0.90056,0.89452,0.89966,103735
1738792800,0.89935,0.90002,0.89754,0.89869,91031
1738879200,0.89742,0.90115,0.89516,0.89556,100063
1739138400,0.89426,0.90111,0.89426,0.89864,85626
1739224800,0.8978,0.90099,0.89764,0.89905,85924
1739311200,0.89863,0.90099,0.89354,0.89841,101661
1739397600,0.89718,0.89836,0.89324,0.89655,110147
1739484000,0.89574,0.90178,0.89562,0.90012,91917
1739743200,0.89822,0.90352,0.89822,0.9014,70351
1739829600,0.90086,0.90351,0.89946,0.90144,88948
1739916000,0.90052,0.90414,0.90028,0.90337,93911
1740002400,0.90176,0.90778,0.90112,0.90722,104738
1740088800,0.90592,0.90809,0.90403,0.90414,104995
1740348000,0.90432,0.90662,0.90308,0.9052,113613
1740434400,0.90461,0.90824,0.90257,0.90821,116142
1740520800,0.90716,0.9087,0.90329,0.90375,113590
1740607200,0.90302,0.90518,0.89983,0.89998,123315
1740693600,0.89943,0.90051,0.89517,0.89712,125802
1740952800,0.89654,0.90328,0.89508,0.9011,129098
1741039200,0.90028,0.90553,0.89664,0.90239,163752
1741125600,0.9011,0.90932,0.9005,0.90852,154267
1741212000,0.9075,0.91082,0.90478,0.90504,155467
1741298400,0.90424,0.90744,0.90102,0.90584,144597
1741554000,0.90633,0.91247,0.90514,0.90656,136371
1741640400,0.90619,0.91126,0.9041,0.90902,152026
1741726800,0.90875,0.9102,0.9044,0.90812,123887
1741813200,0.90804,0.9097,0.90242,0.90716,120998
1741899600,0.9073,0.91165,0.90625,0.90869,114758
1742158800,0.90782,0.91288,0.90722,0.91197,98915
1742245200,0.91169,0.91302,0.90786,0.90935,94320
1742331600,0.90912,0.9109,0.90518,0.91064,101305
1742418000,0.91021,0.9113,0.90132,0.90253,105453
1742504400,0.90203,0.90292,0.89873,0.89959,93685
1742763600,0.89862,0.90291,0.89727,0.89999,94280
1742850000,0.89892,0.90334,0.89875,0.89972,88725
1742936400,0.89906,0.90198,0.89766,0.8985,86883
1743022800,0.89815,0.90345,0.89665,0.90172,103832
1743109200,0.90125,0.90293,0.89891,0.8994,85781
1743368400,0.90003,0.90105,0.8942,0.8988,101804
1743454800,0.89815,0.90136,0.89733,0.8979,103453
1743541200,0.89635,0.90446,0.89615,0.8972,96831
1743627600,0.8942,0.89837,0.88935,0.89196,173059
1743714000,0.8902,0.892,0.85283,0.85865,200771
1743973200,0.8521,0.86931,0.84435,0.85275,241580
1744059600,0.8514,0.86194,0.8483,0.8494,198231
1744146000,0.8492,0.86999,0.84405,0.86604,216685
1744232400,0.86545,0.87454,0.86272,0.87015,201161
1744318800,0.86925,0.87427,0.86212,0.87105,206693
1744578000,0.87275,0.87919,0.87118,0.87742,144235
1744664400,0.8761,0.88792,0.876,0.8857,121900
1744750800,0.88445,0.88746,0.88241,0.8826,124444
1744837200,0.8824,0.88584,0.87958,0.884,107833
