time,open,high,low,close,volume
1779480000,0.98527,0.98534,0.98464,0.98504,3916
1779656400,0.98737,0.98737,0.98737,0.98737,2
1779660000,0.98806,0.98815,0.98792,0.98794,44
1779663600,0.98794,0.98799,0.98794,0.98799,9
1779667200,0.98778,0.98789,0.98778,0.98781,57
1779670800,0.98812,0.9882,0.98812,0.9882,10
1779674400,0.98882,0.98889,0.98882,0.98884,14
1779678000,0.98865,0.98885,0.98865,0.98885,30
1779681600,0.98881,0.9889,0.98881,0.98886,31
1779685200,0.98968,0.98976,0.98966,0.98972,42
1779688800,0.98948,0.98948,0.98934,0.98943,39
1779692400,0.98961,0.98963,0.98957,0.98958,39
1779696000,0.98925,0.98956,0.98907,0.9893,1582
