time,open,high,low,close,volume
1775332800,1.256,1.257,1.247,1.254,235228.86
1775347200,1.254,1.255,1.246,1.251,438427.53
1775361600,1.25,1.251,1.224,1.227,787017.45
1775376000,1.227,1.231,1.223,1.226,370432.14
1775390400,1.226,1.27,1.216,1.232,2185156.41
1775404800,1.232,1.239,1.224,1.227,441460.48
1775419200,1.228,1.249,1.221,1.245,767741.7
1775433600,1.245,1.269,1.245,1.259,704590.68
1775448000,1.259,1.275,1.255,1.271,694473.91
1775462400,1.272,1.309,1.268,1.304,1507453.15
1775476800,1.304,1.317,1.275,1.284,1295744.71
1775491200,1.283,1.288,1.267,1.27,716653.08
1775505600,1.27,1.277,1.232,1.241,698016.36
1775520000,1.24,1.248,1.231,1.242,618997.81
1775534400,1.242,1.244,1.226,1.235,509644.98
1775548800,1.235,1.241,1.23,1.234,586097.49
1775563200,1.234,1.234,1.205,1.22,1188860.53
1775577600,1.219,1.235,1.216,1.234,828254.09
1775592000,1.234,1.33,1.229,1.314,2534739.39
1775606400,1.314,1.322,1.293,1.306,1332786.48
1775620800,1.307,1.335,1.306,1.327,1122963.12
1775635200,1.326,1.331,1.302,1.306,1013725.53
1775649600,1.306,1.315,1.281,1.293,1159318.58
1775664000,1.293,1.302,1.272,1.281,516029.29
1775678400,1.282,1.29,1.265,1.269,375001.88
1775692800,1.268,1.269,1.25,1.255,655241.16
1775707200,1.254,1.261,1.249,1.256,504715.87
1775721600,1.257,1.259,1.245,1.249,633264.72
1775736000,1.248,1.289,1.235,1.281,1291484.24
1775750400,1.282,1.311,1.271,1.307,1470663.74
1775764800,1.308,1.361,1.295,1.3,1962173.42
1775779200,1.3,1.309,1.285,1.287,617264.6
1775793600,1.287,1.309,1.282,1.289,730639.18
1775808000,1.289,1.301,1.286,1.29,589207.48
1775822400,1.29,1.328,1.289,1.31,1491350.61
1775836800,1.311,1.321,1.304,1.318,562510.23
1775851200,1.318,1.32,1.301,1.305,564819.31
1775865600,1.306,1.309,1.288,1.296,494942.18
1775880000,1.295,1.296,1.275,1.282,722032.9
1775894400,1.282,1.286,1.275,1.284,475776.91
1775908800,1.283,1.286,1.265,1.279,631751.52
1775923200,1.279,1.315,1.277,1.308,1058163.14
1775937600,1.309,1.309,1.28,1.286,786318.36
1775952000,1.287,1.288,1.24,1.242,1225907.38
1775966400,1.243,1.244,1.223,1.229,1229701.18
1775980800,1.228,1.232,1.217,1.229,1019281
1775995200,1.228,1.235,1.218,1.228,841420.49
1776009600,1.229,1.248,1.224,1.236,716153.63
1776024000,1.237,1.246,1.221,1.225,587616.21
1776038400,1.225,1.24,1.224,1.229,433812.31
1776052800,1.228,1.229,1.148,1.187,7708411.62
1776067200,1.187,1.202,1.154,1.166,2810715.33
1776081600,1.166,1.185,1.157,1.172,2135281.26
1776096000,1.171,1.205,1.162,1.201,2584061.7
1776110400,1.201,1.242,1.17,1.229,3432866.86
1776124800,1.23,1.231,1.203,1.206,1174900.95
