time,open,high,low,close,volume
1779618600,2121.09,2121.1,2117.65,2117.91,206
1779619500,2116.7,2116.7,2116.49,2116.49,12
1779620400,2118.05,2119.02,2117.92,2119.02,74
1779621300,2121.39,2121.39,2121.01,2121.11,40
1779622200,2120.93,2123.01,2120.16,2121.2,1100
1779623100,2121.26,2121.35,2121.18,2121.3,8
1779624000,2121.75,2122.23,2121.75,2122.17,20
1779624900,2119.8,2119.8,2119.8,2119.8,2
1779625800,2114.21,2114.66,2114.2,2114.66,10
1779626700,2117.16,2117.33,2116.05,2116.06,146
1779627600,2115.89,2116.1,2115.89,2115.96,30
