time,open,high,low,close,volume
1779480000,0.86357,0.86379,0.86329,0.86379,2774
1779656400,0.86398,0.86409,0.86398,0.864,12
1779660000,0.86437,0.86438,0.8634,0.86346,602
1779663600,0.86346,0.86349,0.86343,0.86344,122
1779667200,0.86356,0.8636,0.86336,0.86342,310
1779670800,0.86329,0.8633,0.8632,0.8633,467
1779674400,0.86343,0.86344,0.8634,0.86344,180
1779678000,0.8635,0.86362,0.86347,0.86359,187
1779681600,0.86359,0.86359,0.86352,0.86353,150
1779685200,0.86343,0.86345,0.86331,0.86333,245
1779688800,0.86328,0.86335,0.86327,0.86334,237
1779692400,0.86318,0.86331,0.86317,0.86328,263
1779696000,0.863,0.86307,0.86288,0.86297,960
