time,open,high,low,close,volume
1779480000,184.725,184.735,184.62,184.698,3676
1779656400,184.772,184.815,184.744,184.784,54
1779660000,184.939,184.953,184.846,184.85,818
1779663600,184.986,185.001,184.973,185,483
1779667200,185.047,185.058,184.961,184.981,635
1779670800,184.899,184.92,184.868,184.912,977
1779674400,184.919,184.933,184.913,184.932,302
1779678000,184.86,184.879,184.845,184.868,533
1779681600,184.899,184.899,184.874,184.883,280
1779685200,184.943,184.969,184.94,184.961,492
1779688800,184.966,184.983,184.939,184.941,680
1779692400,184.977,185.022,184.973,184.991,676
1779696000,185.003,185.022,184.949,184.993,1953
