time,open,high,low,close,volume
1779480000,1.88449,1.88555,1.88389,1.88401,5061
1779656400,1.87849,1.87912,1.87796,1.87858,668
1779660000,1.88069,1.8829,1.88066,1.88276,1371
1779663600,1.88372,1.88372,1.88314,1.88354,745
1779667200,1.88366,1.88412,1.8832,1.88331,1470
1779670800,1.88283,1.88289,1.88165,1.88165,2183
1779674400,1.88106,1.88106,1.88013,1.88032,868
1779678000,1.88111,1.88125,1.8808,1.88112,860
1779681600,1.88165,1.88165,1.8813,1.88141,578
1779685200,1.88083,1.88103,1.88047,1.88078,1300
1779688800,1.88169,1.88169,1.88083,1.8809,1111
1779692400,1.88188,1.88349,1.88176,1.88317,7446
1779696000,1.88315,1.88352,1.88284,1.88343,1096
